valid/loss,epoch,step,train/loss
88.4668197631836,0,9,
80.06216430664062,1,19,
74.40483093261719,2,29,
71.79955291748047,3,39,
69.25153350830078,4,49,
67.94273376464844,5,59,
64.47012329101562,6,69,
60.363521575927734,7,79,
58.8502082824707,8,89,
,9,99,23.538999557495117
56.99757766723633,9,99,
54.712100982666016,10,109,
52.85750198364258,11,119,
51.612735748291016,12,129,
52.5013427734375,13,139,
49.571685791015625,14,149,
47.869041442871094,15,159,
48.653438568115234,16,169,
47.84526824951172,17,179,
46.883358001708984,18,189,
,19,199,46.92734909057617
46.422584533691406,19,199,
45.65882110595703,20,209,
41.93303298950195,21,219,
42.093299865722656,22,229,
40.37548828125,23,239,
41.67820358276367,24,249,
43.095760345458984,25,259,
40.65190124511719,26,269,
39.69395446777344,27,279,
37.61769485473633,28,289,
,29,299,42.92930603027344
40.46512985229492,29,299,
38.810081481933594,30,309,
37.391361236572266,31,319,
36.76475524902344,32,329,
36.96332550048828,33,339,
42.47827911376953,34,349,
35.53641891479492,35,359,
50.647884368896484,36,369,
49.8625373840332,37,379,
37.596107482910156,38,389,
,39,399,37.34516525268555
36.77811813354492,39,399,
34.7184944152832,40,409,
33.805519104003906,41,419,
33.73099136352539,42,429,
33.706058502197266,43,439,
31.817487716674805,44,449,
31.494800567626953,45,459,
35.987144470214844,46,469,
33.89889907836914,47,479,
34.11734390258789,48,489,
,49,499,38.20621871948242
34.801788330078125,49,499,
38.16403579711914,50,509,
32.806941986083984,51,519,
33.51376724243164,52,529,
31.79611587524414,53,539,
32.13375473022461,54,549,
29.798311233520508,55,559,
29.751995086669922,56,569,
30.31976890563965,57,579,
42.4248161315918,58,589,
,59,599,34.35054397583008
34.70380783081055,59,599,
30.793907165527344,60,609,
28.965234756469727,61,619,
29.25719451904297,62,629,
31.095394134521484,63,639,
28.65590476989746,64,649,
28.340972900390625,65,659,
35.244327545166016,66,669,
30.872678756713867,67,679,
28.86993408203125,68,689,
,69,699,26.14494514465332
28.47702407836914,69,699,
30.992637634277344,70,709,
27.994918823242188,71,719,
29.115428924560547,72,729,
29.90220069885254,73,739,
27.668928146362305,74,749,
28.58001708984375,75,759,
27.0262393951416,76,769,
30.031246185302734,77,779,
31.030088424682617,78,789,
,79,799,10.866352081298828
28.602294921875,79,799,
27.340557098388672,80,809,
28.177398681640625,81,819,
28.802337646484375,82,829,
30.359798431396484,83,839,
30.166542053222656,84,849,
28.873807907104492,85,859,
28.422086715698242,86,869,
27.831748962402344,87,879,
25.888675689697266,88,889,
,89,899,29.463228225708008
29.833534240722656,89,899,
27.28727912902832,90,909,
28.03255844116211,91,919,
28.607206344604492,92,929,
25.301387786865234,93,939,
26.134092330932617,94,949,
29.49070930480957,95,959,
25.97205924987793,96,969,
25.230695724487305,97,979,
27.269956588745117,98,989,
,99,999,25.424589157104492
29.34580421447754,99,999,
24.7768611907959,100,1009,
24.950838088989258,101,1019,
25.579727172851562,102,1029,
24.589786529541016,103,1039,
24.4951171875,104,1049,
27.21544075012207,105,1059,
28.374879837036133,106,1069,
29.89240264892578,107,1079,
25.153461456298828,108,1089,
,109,1099,8.64262580871582
25.369720458984375,109,1099,
25.88720703125,110,1109,
25.124853134155273,111,1119,
25.15166664123535,112,1129,
25.567781448364258,113,1139,
36.5782470703125,114,1149,
26.58486557006836,115,1159,
25.3345890045166,116,1169,
31.75035858154297,117,1179,
25.46025276184082,118,1189,
,119,1199,8.275529861450195
24.87046241760254,119,1199,
27.586896896362305,120,1209,
24.14264678955078,121,1219,
25.97913360595703,122,1229,
24.632352828979492,123,1239,
26.73348045349121,124,1249,
25.340991973876953,125,1259,
28.975954055786133,126,1269,
25.459386825561523,127,1279,
24.200042724609375,128,1289,
,129,1299,17.009368896484375
25.812633514404297,129,1299,
24.072181701660156,130,1309,
22.595903396606445,131,1319,
24.233871459960938,132,1329,
24.586938858032227,133,1339,
23.543760299682617,134,1349,
24.863805770874023,135,1359,
23.756425857543945,136,1369,
23.79258918762207,137,1379,
22.598188400268555,138,1389,
,139,1399,16.581064224243164
25.243755340576172,139,1399,
23.579010009765625,140,1409,
26.195636749267578,141,1419,
24.22378921508789,142,1429,
22.020254135131836,143,1439,
31.08498764038086,144,1449,
27.257801055908203,145,1459,
28.089879989624023,146,1469,
24.490360260009766,147,1479,
22.828889846801758,148,1489,
,149,1499,6.8752617835998535
21.564355850219727,149,1499,
23.932588577270508,150,1509,
23.902997970581055,151,1519,
21.602401733398438,152,1529,
22.38999366760254,153,1539,
21.163742065429688,154,1549,
20.996797561645508,155,1559,
20.60691261291504,156,1569,
23.250885009765625,157,1579,
29.563264846801758,158,1589,
,159,1599,18.401227951049805
22.34320640563965,159,1599,
24.324739456176758,160,1609,
23.03170394897461,161,1619,
22.438581466674805,162,1629,
23.16620635986328,163,1639,
20.44135093688965,164,1649,
21.30764389038086,165,1659,
22.63364601135254,166,1669,
25.70600700378418,167,1679,
23.47885513305664,168,1689,
,169,1699,18.894771575927734
21.639087677001953,169,1699,
22.331649780273438,170,1709,
22.628267288208008,171,1719,
22.253040313720703,172,1729,
21.020357131958008,173,1739,
22.647817611694336,174,1749,
35.12357711791992,175,1759,
24.02955436706543,176,1769,
22.377290725708008,177,1779,
21.151445388793945,178,1789,
,179,1799,9.734103202819824
19.825695037841797,179,1799,
20.74131202697754,180,1809,
22.087112426757812,181,1819,
22.448266983032227,182,1829,
20.53595542907715,183,1839,
21.057819366455078,184,1849,
20.31551170349121,185,1859,
20.583736419677734,186,1869,
24.912351608276367,187,1879,
