train/loss,step,epoch,valid/loss
0.8623141050338745,1,0,
0.8797972202301025,3,0,
,3,0,0.8803970217704773
0.865077018737793,5,1,
0.8692782521247864,7,1,
,7,1,0.8803948760032654
0.8575981259346008,9,2,
0.8901891112327576,11,2,
,11,2,0.88039231300354
0.8644458651542664,13,3,
0.8587738871574402,15,3,
,15,3,0.8803893327713013
0.8665053844451904,17,4,
0.877954363822937,19,4,
,19,4,0.8803865313529968
0.8659210801124573,21,5,
0.8757094144821167,23,5,
,23,5,0.8803837299346924
0.8672851920127869,25,6,
0.8749368190765381,27,6,
,27,6,0.8803809881210327
0.8589167594909668,29,7,
0.8744162321090698,31,7,
,31,7,0.880378246307373
0.8696601390838623,33,8,
0.8666826486587524,35,8,
,35,8,0.8803756237030029
0.8740128874778748,37,9,
0.8745559453964233,39,9,
,39,9,0.8803731799125671
0.8637905716896057,41,10,
0.8599655032157898,43,10,
,43,10,0.8803701996803284
0.863579511642456,45,11,
0.8685557246208191,47,11,
,47,11,0.8803673386573792
0.8604878187179565,49,12,
0.8549396395683289,51,12,
,51,12,0.8803643584251404
0.8652961850166321,53,13,
0.8782838582992554,55,13,
,55,13,0.8803617358207703
0.8669260144233704,57,14,
0.8560699224472046,59,14,
,59,14,0.880358874797821
0.8663802146911621,61,15,
0.8416280746459961,63,15,
,63,15,0.8803560733795166
0.8621488809585571,65,16,
0.8896870017051697,67,16,
,67,16,0.8803533315658569
0.8676950931549072,69,17,
0.8593752384185791,71,17,
,71,17,0.8803504705429077
0.8490656018257141,73,18,
0.8698763251304626,75,18,
,75,18,0.8803478479385376
0.8703094720840454,77,19,
0.8609982132911682,79,19,
,79,19,0.8803449869155884
0.8781294226646423,81,20,
0.8604938387870789,83,20,
,83,20,0.8803421854972839
0.86356520652771,85,21,
0.8810560703277588,87,21,
,87,21,0.880339503288269
0.8576269745826721,89,22,
0.8880911469459534,91,22,
,91,22,0.8803367018699646
0.8699070811271667,93,23,
0.8822563886642456,95,23,
,95,23,0.8803338408470154
0.8658963441848755,97,24,
0.8527899980545044,99,24,
,99,24,0.8803310990333557
0.8679040670394897,101,25,
0.8751785159111023,103,25,
,103,25,0.8803284168243408
0.8648294806480408,105,26,
0.8522428870201111,107,26,
,107,26,0.8803263902664185
0.8703378438949585,109,27,
0.8934580683708191,111,27,
,111,27,0.8803241848945618
0.8756135106086731,113,28,
0.870100736618042,115,28,
,115,28,0.8803218603134155
0.8627045154571533,117,29,
0.8691411018371582,119,29,
,119,29,0.8803194165229797
0.8722184896469116,121,30,
0.8915765881538391,123,30,
,123,30,0.8803170919418335
0.8759591579437256,125,31,
0.8480762839317322,127,31,
,127,31,0.8803145885467529
0.8601036667823792,129,32,
0.8528582453727722,131,32,
,131,32,0.8803121447563171
0.8656885027885437,133,33,
0.8660352230072021,135,33,
,135,33,0.880309522151947
0.8635434508323669,137,34,
0.8722650408744812,139,34,
,139,34,0.8803070187568665
0.8790141940116882,141,35,
0.872531533241272,143,35,
,143,35,0.8803041577339172
0.8723448514938354,145,36,
0.8468373417854309,147,36,
,147,36,0.8803015947341919
0.8646482229232788,149,37,
0.8371551632881165,151,37,
,151,37,0.880298912525177
0.8575170040130615,153,38,
0.8846801519393921,155,38,
,155,38,0.8802962303161621
0.8622229695320129,157,39,
0.8610069751739502,159,39,
,159,39,0.880293607711792
0.8700458407402039,161,40,
0.8629308938980103,163,40,
,163,40,0.8802910447120667
0.863592803478241,165,41,
0.880113422870636,167,41,
,167,41,0.8802886009216309
0.8567824959754944,169,42,
0.872631847858429,171,42,
,171,42,0.8802858591079712
0.8704740405082703,173,43,
0.8608478307723999,175,43,
,175,43,0.880282998085022
0.8687995672225952,177,44,
0.8564853668212891,179,44,
,179,44,0.880280613899231
0.8645100593566895,181,45,
0.8322303891181946,183,45,
,183,45,0.8802782297134399
0.868168830871582,185,46,
0.8825473785400391,187,46,
,187,46,0.8802759051322937
0.8614121675491333,189,47,
0.8672950267791748,191,47,
,191,47,0.8802738785743713
0.8663923740386963,193,48,
0.8744067549705505,195,48,
,195,48,0.880271852016449
0.8722341656684875,197,49,
0.8595294952392578,199,49,
,199,49,0.8802697658538818
0.8746865391731262,201,50,
0.8651142716407776,203,50,
,203,50,0.8802672028541565
0.8647729754447937,205,51,
0.8707181215286255,207,51,
,207,51,0.8802645206451416
0.8626439571380615,209,52,
0.8657988905906677,211,52,
,211,52,0.8802618384361267
0.8706657886505127,213,53,
0.8577815890312195,215,53,
,215,53,0.8802595734596252
0.863684892654419,217,54,
0.8647312521934509,219,54,
,219,54,0.8802573680877686
0.8652825355529785,221,55,
0.880283772945404,223,55,
,223,55,0.8802548050880432
0.8617990016937256,225,56,
0.8751073479652405,227,56,
,227,56,0.880252480506897
0.8645945191383362,229,57,
0.8454697132110596,231,57,
,231,57,0.8802499175071716
0.8623769283294678,233,58,
0.8706955909729004,235,58,
,235,58,0.8802474141120911
0.8714758157730103,237,59,
0.8758048415184021,239,59,
,239,59,0.8802450299263
0.8661665916442871,241,60,
0.8559404611587524,243,60,
,243,60,0.8802425861358643
0.8648968935012817,245,61,
0.8644804954528809,247,61,
,247,61,0.8802402019500732
0.8694593906402588,249,62,
0.8684542775154114,251,62,
,251,62,0.8802379369735718
0.8668900728225708,253,63,
0.8741690516471863,255,63,
,255,63,0.8802357316017151
0.8579301834106445,257,64,
0.8822137713432312,259,64,
,259,64,0.8802335858345032
0.8615992665290833,261,65,
0.8761181235313416,263,65,
,263,65,0.880231499671936
0.862997829914093,265,66,
0.872341513633728,267,66,
,267,66,0.8802291750907898
0.863627552986145,269,67,
0.8462304472923279,271,67,
,271,67,0.8802270293235779
0.8638204336166382,273,68,
0.8688457608222961,275,68,
,275,68,0.8802245855331421
0.8689215183258057,277,69,
0.8591246604919434,279,69,
,279,69,0.8802222609519958
0.8626779913902283,281,70,
0.8876934051513672,283,70,
,283,70,0.8802198767662048
0.8709015250205994,285,71,
0.8605478405952454,287,71,
,287,71,0.8802176117897034
0.8686515092849731,289,72,
0.8421385884284973,291,72,
,291,72,0.8802154064178467
0.8714725375175476,293,73,
0.8694422841072083,295,73,
,295,73,0.8802130818367004
0.872044026851654,297,74,
0.838322103023529,299,74,
,299,74,0.8802109360694885
0.869591236114502,301,75,
0.8553617000579834,303,75,
,303,75,0.8802086710929871
0.8670706152915955,305,76,
0.8390190601348877,307,76,
,307,76,0.8802063465118408
0.8682401776313782,309,77,
0.888772189617157,311,77,
,311,77,0.8802043795585632
0.8695130944252014,313,78,
0.8438135981559753,315,78,
,315,78,0.880202054977417
0.8612486720085144,317,79,
0.8630669116973877,319,79,
,319,79,0.8801997900009155
0.8665227890014648,321,80,
0.8760359287261963,323,80,
,323,80,0.8801974654197693
0.8694717288017273,325,81,
0.8949609994888306,327,81,
,327,81,0.880194902420044
0.8643558621406555,329,82,
0.8633825778961182,331,82,
,331,82,0.8801925778388977
0.8652778267860413,333,83,
0.8465627431869507,335,83,
,335,83,0.8801901936531067
0.8599758744239807,337,84,
0.8554661870002747,339,84,
,339,84,0.8801881670951843
0.8651713132858276,341,85,
0.8499240875244141,343,85,
,343,85,0.8801860809326172
0.8671908974647522,345,86,
0.876595139503479,347,86,
,347,86,0.8801838755607605
0.8587347269058228,349,87,
0.8555806279182434,351,87,
,351,87,0.8801813721656799
0.8597975969314575,353,88,
0.8446033596992493,355,88,
,355,88,0.8801789879798889
0.8709474802017212,357,89,
0.8593021035194397,359,89,
,359,89,0.8801764845848083
0.8661710619926453,361,90,
0.8595238327980042,363,90,
,363,90,0.8801740407943726
0.8679797649383545,365,91,
0.8696966767311096,367,91,
,367,91,0.8801717162132263
0.8709129095077515,369,92,
0.8589664101600647,371,92,
,371,92,0.8801692724227905
0.8630514740943909,373,93,
0.8489733338356018,375,93,
,375,93,0.8801670074462891
0.8683040738105774,377,94,
0.8910869359970093,379,94,
,379,94,0.8801648020744324
0.8576658368110657,381,95,
0.8830705881118774,383,95,
,383,95,0.8801624774932861
0.860516369342804,385,96,
0.8588625192642212,387,96,
,387,96,0.8801601529121399
0.8591185808181763,389,97,
0.8869035243988037,391,97,
,391,97,0.8801576495170593
0.870211124420166,393,98,
0.8528373837471008,395,98,
,395,98,0.8801552057266235
0.8716824054718018,397,99,
0.8633900284767151,399,99,
,399,99,0.8801527619361877
0.8749765753746033,401,100,
0.8812828660011292,403,100,
,403,100,0.880150318145752
0.8598059415817261,405,101,
0.8545045852661133,407,101,
,407,101,0.8801476955413818
0.8643152117729187,409,102,
0.8522464632987976,411,102,
,411,102,0.8801453113555908
0.8518681526184082,413,103,
0.9094244837760925,415,103,
,415,103,0.8801428079605103
0.8658347129821777,417,104,
0.878419816493988,419,104,
,419,104,0.880140483379364
0.8677459359169006,421,105,
0.8742130994796753,423,105,
,423,105,0.880138099193573
0.8758822679519653,425,106,
0.8661920428276062,427,106,
,427,106,0.8801357746124268
0.8646159172058105,429,107,
0.8567166924476624,431,107,
,431,107,0.8801333904266357
0.8560845255851746,433,108,
0.885831356048584,435,108,
,435,108,0.8801310658454895
0.8598012924194336,437,109,
0.8572478890419006,439,109,
,439,109,0.8801286816596985
0.8628884553909302,441,110,
0.8814735412597656,443,110,
,443,110,0.8801264762878418
0.8648717403411865,445,111,
0.8462063670158386,447,111,
,447,111,0.8801243305206299
0.8692096471786499,449,112,
0.8693858981132507,451,112,
,451,112,0.8801222443580627
0.8686487674713135,453,113,
0.8686261177062988,455,113,
,455,113,0.8801201581954956
0.8679840564727783,457,114,
0.8719105124473572,459,114,
,459,114,0.8801179528236389
0.8675627708435059,461,115,
0.8741304278373718,463,115,
,463,115,0.8801156878471375
0.8631571531295776,465,116,
0.8587701916694641,467,116,
,467,116,0.880113422870636
0.8708687424659729,469,117,
0.88444983959198,471,117,
,471,117,0.8801109790802002
0.8674471378326416,473,118,
0.8091731667518616,475,118,
,475,118,0.8801085948944092
0.8579573035240173,477,119,
0.8653505444526672,479,119,
,479,119,0.8801063299179077
0.8636626601219177,481,120,
0.8676944375038147,483,120,
,483,120,0.880104124546051
0.8711246848106384,485,121,
0.8327897787094116,487,121,
,487,121,0.8801019191741943
0.863359808921814,489,122,
0.8534674644470215,491,122,
,491,122,0.880099892616272
0.8653876185417175,493,123,
0.8941024541854858,495,123,
,495,123,0.8800975680351257
0.8655203580856323,497,124,
0.8414742946624756,499,124,
,499,124,0.8800952434539795
0.8706485033035278,501,125,
0.881122887134552,503,125,
,503,125,0.8800928592681885
0.8706260323524475,505,126,
0.8750825524330139,507,126,
,507,126,0.8800904750823975
0.8696794509887695,509,127,
0.8627778887748718,511,127,
,511,127,0.880088210105896
0.8660061359405518,513,128,
0.8742648363113403,515,128,
,515,128,0.8800857663154602
0.8641224503517151,517,129,
0.85459303855896,519,129,
,519,129,0.880083441734314
0.856728196144104,521,130,
0.8494603633880615,523,130,
,523,130,0.8800811767578125
0.8654504418373108,525,131,
0.8629132509231567,527,131,
,527,131,0.8800787329673767
0.869458794593811,529,132,
0.8575747013092041,531,132,
,531,132,0.8800762295722961
0.8503454923629761,533,133,
0.8910835385322571,535,133,
,535,133,0.8800737261772156
0.8573062419891357,537,134,
0.8839474320411682,539,134,
,539,134,0.8800711631774902
0.8597536087036133,541,135,
0.8370826840400696,543,135,
,543,135,0.8800686597824097
0.8663192391395569,545,136,
0.8513824343681335,547,136,
,547,136,0.8800662159919739
0.8695115447044373,549,137,
0.8554889559745789,551,137,
,551,137,0.8800640106201172
0.8587363958358765,553,138,
0.8587476015090942,555,138,
,555,138,0.8800617456436157
0.8652146458625793,557,139,
0.8836687207221985,559,139,
,559,139,0.8800594806671143
0.8619575500488281,561,140,
0.8923495411872864,563,140,
,563,140,0.8800573945045471
0.8684589266777039,565,141,
0.8623634576797485,567,141,
,567,141,0.88005530834198
0.8670145273208618,569,142,
0.8371449708938599,571,142,
,571,142,0.8800531029701233
0.8574168086051941,573,143,
0.8518288731575012,575,143,
,575,143,0.8800508379936218
0.8623259663581848,577,144,
0.8721056580543518,579,144,
,579,144,0.880048394203186
0.8662296533584595,581,145,
0.875322163105011,583,145,
,583,145,0.880046010017395
0.8676072359085083,585,146,
0.8423579931259155,587,146,
,587,146,0.8800437450408936
0.8628876209259033,589,147,
0.8745263814926147,591,147,
,591,147,0.8800413608551025
0.8576979041099548,593,148,
0.8661520481109619,595,148,
,595,148,0.8800389766693115
0.8678026795387268,597,149,
0.8591302037239075,599,149,
,599,149,0.8800365924835205
0.8683042526245117,601,150,
0.8356075286865234,603,150,
,603,150,0.880034327507019
0.8575785160064697,605,151,
0.8827106356620789,607,151,
,607,151,0.8800320625305176
0.8655530214309692,609,152,
0.87655109167099,611,152,
,611,152,0.8800298571586609
0.8681150078773499,613,153,
0.849578857421875,615,153,
,615,153,0.8800275921821594
0.8701954483985901,617,154,
0.8722236156463623,619,154,
,619,154,0.8800255060195923
0.8680693507194519,621,155,
0.8611854910850525,623,155,
,623,155,0.8800232410430908
0.8588001728057861,625,156,
0.8421290516853333,627,156,
,627,156,0.8800209760665894
0.8752238154411316,629,157,
0.8815089464187622,631,157,
,631,157,0.880018949508667
0.8748429417610168,633,158,
0.8788987994194031,635,158,
,635,158,0.8800163865089417
0.8654689192771912,637,159,
0.8654865026473999,639,159,
,639,159,0.8800138831138611
0.8643567562103271,641,160,
0.863253116607666,643,160,
,643,160,0.8800113797187805
0.8651676177978516,645,161,
0.843315064907074,647,161,
,647,161,0.8800091743469238
0.8599683046340942,649,162,
