step,epoch,train/loss,valid/loss
163,40,,0.8802807331085205
165,41,0.863579511642456,
167,41,0.8800978064537048,
167,41,,0.8802781105041504
169,42,0.856778621673584,
171,42,0.872588574886322,
171,42,,0.8802751302719116
173,43,0.8704653978347778,
175,43,0.8608558773994446,
175,43,,0.8802720904350281
177,44,0.8687893748283386,
179,44,0.8564973473548889,
179,44,,0.8802692890167236
181,45,0.8645060658454895,
183,45,0.832225501537323,
183,45,,0.8802669048309326
185,46,0.8681514263153076,
187,46,0.8825444579124451,
187,46,,0.8802643418312073
189,47,0.8614026308059692,
191,47,0.867319643497467,
191,47,,0.880262017250061
193,48,0.8663711547851562,
195,48,0.8744016289710999,
195,48,,0.8802597522735596
197,49,0.8722166419029236,
199,49,0.8594881892204285,
199,49,,0.8802574276924133
201,50,0.8746733665466309,
203,50,0.8650744557380676,
203,50,,0.8802546858787537
205,51,0.8647613525390625,
207,51,0.8706979155540466,
207,51,,0.8802517652511597
209,52,0.8626337051391602,
211,52,0.8657916784286499,
211,52,,0.8802490234375
213,53,0.8706366419792175,
215,53,0.8578044772148132,
215,53,,0.8802464008331299
217,54,0.8636803030967712,
219,54,0.8646983504295349,
219,54,,0.8802438974380493
221,55,0.8652610182762146,
223,55,0.8802621364593506,
223,55,,0.8802412152290344
225,56,0.8617866635322571,
227,56,0.8750866055488586,
227,56,,0.8802386522293091
229,57,0.8645786643028259,
231,57,0.8454477190971375,
231,57,,0.8802359104156494
233,58,0.8623579740524292,
235,58,0.8706910014152527,
235,58,,0.8802330493927002
237,59,0.8714492321014404,
239,59,0.8757832646369934,
239,59,,0.8802306652069092
241,60,0.8661589622497559,
243,60,0.8559220433235168,
243,60,,0.8802278637886047
245,61,0.8648788332939148,
247,61,0.8644859790802002,
247,61,,0.8802253007888794
249,62,0.8694463968276978,
251,62,0.8684508204460144,
251,62,,0.8802228569984436
253,63,0.8668718338012695,
255,63,0.8741616010665894,
255,63,,0.8802202343940735
257,64,0.8579217791557312,
259,64,0.8822304606437683,
259,64,,0.8802177906036377
261,65,0.8615802526473999,
263,65,0.8761036396026611,
263,65,,0.880215585231781
265,66,0.8629734516143799,
267,66,0.8723281621932983,
267,66,,0.8802131414413452
269,67,0.8636056780815125,
271,67,0.8462120890617371,
271,67,,0.8802106976509094
273,68,0.8638027906417847,
275,68,0.8688068985939026,
275,68,,0.8802082538604736
277,69,0.8689010143280029,
279,69,0.8591291904449463,
279,69,,0.880205512046814
281,70,0.8626643419265747,
283,70,0.8876796364784241,
283,70,,0.8802029490470886
285,71,0.8708861470222473,
287,71,0.8605490922927856,
287,71,,0.8802004456520081
289,72,0.868640124797821,
291,72,0.8421262502670288,
291,72,,0.8801978826522827
293,73,0.8714537024497986,
295,73,0.8694379329681396,
295,73,,0.8801954388618469
297,74,0.8720181584358215,
299,74,0.8382995128631592,
299,74,,0.8801931142807007
301,75,0.8695662021636963,
303,75,0.8553656935691833,
303,75,,0.8801906108856201
305,76,0.8670502305030823,
307,76,0.8390291929244995,
307,76,,0.8801881670951843
309,77,0.8682204484939575,
311,77,0.8887265920639038,
311,77,,0.8801857829093933
313,78,0.8694992065429688,
315,78,0.8438141345977783,
315,78,,0.8801832795143127
317,79,0.8612309694290161,
319,79,0.8630603551864624,
319,79,,0.8801807165145874
321,80,0.8665085434913635,
323,80,0.8760006427764893,
323,80,,0.8801782727241516
325,81,0.8694543242454529,
327,81,0.8949269652366638,
327,81,,0.8801756501197815
329,82,0.8643302321434021,
331,82,0.8633835911750793,
331,82,,0.8801729679107666
333,83,0.8652570843696594,
335,83,0.8465666174888611,
335,83,,0.8801702857017517
337,84,0.8599510192871094,
339,84,0.8554930090904236,
339,84,,0.8801680207252502
341,85,0.8651427626609802,
343,85,0.8498809933662415,
343,85,,0.8801658153533936
345,86,0.8671766519546509,
347,86,0.8765477538108826,
347,86,,0.8801632523536682
349,87,0.8587083220481873,
351,87,0.8555658459663391,
351,87,,0.8801605701446533
353,88,0.8597777485847473,
355,88,0.8445771932601929,
355,88,,0.8801579475402832
357,89,0.8709331750869751,
359,89,0.859274685382843,
359,89,,0.8801552057266235
361,90,0.8661399483680725,
363,90,0.8595167398452759,
363,90,,0.8801525831222534
365,91,0.8679568767547607,
367,91,0.8696625232696533,
367,91,,0.8801500201225281
369,92,0.8708839416503906,
371,92,0.858952522277832,
371,92,,0.880147397518158
373,93,0.863037645816803,
375,93,0.848992645740509,
375,93,,0.8801448345184326
377,94,0.8682828545570374,
379,94,0.8910557627677917,
379,94,,0.8801424503326416
381,95,0.8576468825340271,
383,95,0.8830429315567017,
383,95,,0.880139946937561
385,96,0.8604990839958191,
387,96,0.858806312084198,
387,96,,0.8801373243331909
389,97,0.859104335308075,
391,97,0.8868931531906128,
391,97,,0.8801345825195312
393,98,0.8701789975166321,
395,98,0.8528242707252502,
395,98,,0.8801318407058716
397,99,0.8716505765914917,
399,99,0.8633592128753662,
399,99,,0.8801292181015015
401,100,0.8749566078186035,
403,100,0.8812134861946106,
403,100,,0.8801267147064209
405,101,0.8597891330718994,
407,101,0.8545026183128357,
407,101,,0.8801239132881165
409,102,0.8642911314964294,
411,102,0.8522092700004578,
411,102,,0.8801211714744568
413,103,0.8518490195274353,
415,103,0.9094024896621704,
415,103,,0.8801184892654419
417,104,0.8658066987991333,
419,104,0.8784195780754089,
419,104,,0.8801158666610718
421,105,0.8677132725715637,
423,105,0.8741829991340637,
423,105,,0.8801132440567017
425,106,0.875847339630127,
427,106,0.8661521673202515,
427,106,,0.8801108002662659
429,107,0.8645975589752197,
431,107,0.8567138910293579,
431,107,,0.880108118057251
433,108,0.8560702800750732,
435,108,0.8857873678207397,
435,108,,0.8801056146621704
437,109,0.8597821593284607,
439,109,0.8572651743888855,
439,109,,0.8801029324531555
441,110,0.8628573417663574,
443,110,0.8814727067947388,
443,110,,0.8801006078720093
445,111,0.8648455142974854,
447,111,0.8461753129959106,
447,111,,0.880098283290863
449,112,0.8691855669021606,
451,112,0.869403064250946,
451,112,,0.8800957202911377
453,113,0.8686320781707764,
455,113,0.8686122298240662,
455,113,,0.880093514919281
457,114,0.8679515719413757,
459,114,0.8718611001968384,
459,114,,0.8800910711288452
461,115,0.8675307631492615,
463,115,0.8741148114204407,
463,115,,0.8800886273384094
465,116,0.8631404042243958,
467,116,0.8587367534637451,
467,116,,0.8800860643386841
469,117,0.8708357810974121,
471,117,0.8843907713890076,
471,117,,0.8800835609436035
473,118,0.8674243688583374,
475,118,0.8091965913772583,
475,118,,0.8800809383392334
477,119,0.8579302430152893,
479,119,0.86532062292099,
479,119,,0.8800784349441528
481,120,0.8636361360549927,
483,120,0.8676759004592896,
483,120,,0.8800759315490723
485,121,0.8711100220680237,
487,121,0.8328096270561218,
487,121,,0.8800735473632812
489,122,0.8633453845977783,
491,122,0.8534345626831055,
491,122,,0.8800712823867798
493,123,0.8653531074523926,
495,123,0.894052267074585,
495,123,,0.8800687193870544
497,124,0.8654766082763672,
499,124,0.8414443731307983,
499,124,,0.8800661563873291
501,125,0.8706257939338684,
503,125,0.8810832500457764,
503,125,,0.8800636529922485
505,126,0.8705911636352539,
507,126,0.8750709295272827,
507,126,,0.8800609707832336
509,127,0.8696417808532715,
511,127,0.8627398014068604,
511,127,,0.8800584673881531
513,128,0.8659765720367432,
515,128,0.8742596507072449,
515,128,,0.880055844783783
517,129,0.8640865683555603,
519,129,0.854559063911438,
519,129,,0.8800534009933472
521,130,0.8566904664039612,
523,130,0.8494051694869995,
523,130,,0.8800508379936218
525,131,0.8654233813285828,
527,131,0.8628551959991455,
527,131,,0.8800480365753174
529,132,0.8694221377372742,
531,132,0.8575285077095032,
531,132,,0.8800452947616577
533,133,0.8503163456916809,
535,133,0.8910535573959351,
535,133,,0.880042552947998
537,134,0.8572734594345093,
539,134,0.8838950395584106,
