epoch,step,train/loss,valid/loss
0,1,5.014017581939697,
0,3,0.9362538456916809,
0,3,,1.084977626800537
1,5,1.023305892944336,
1,7,0.9235553741455078,
1,7,,0.9808123111724854
2,9,0.8973001837730408,
2,11,0.8972055912017822,
2,11,,1.0046029090881348
3,13,0.998004674911499,
3,15,0.8818975687026978,
3,15,,0.9177780747413635
4,17,0.8697500824928284,
4,19,0.9030160903930664,
4,19,,0.8882047533988953
5,21,0.8619636297225952,
5,23,0.8828230500221252,
5,23,,0.874617338180542
6,25,0.8551827669143677,
6,27,0.8538299798965454,
6,27,,0.8871864080429077
7,29,0.8849151134490967,
7,31,0.8455008864402771,
7,31,,0.8550969958305359
8,33,0.8277806639671326,
8,35,0.7754091024398804,
8,35,,1.3150434494018555
9,37,1.5859078168869019,
9,39,0.8121585845947266,
9,39,,0.9689686298370361
10,41,1.172795295715332,
10,43,0.8650581240653992,
10,43,,0.8952754735946655
11,45,0.8407230377197266,
11,47,0.8559818267822266,
11,47,,0.8507907390594482
12,49,0.8274585604667664,
12,51,0.8251996040344238,
12,51,,0.8491489887237549
13,53,0.8454652428627014,
13,55,0.8310986757278442,
13,55,,0.8499428033828735
14,57,0.8676057457923889,
14,59,0.7760223746299744,
14,59,,0.7942272424697876
15,61,0.8724337220191956,
15,63,0.7188319563865662,
15,63,,0.7309606075286865
16,65,0.7063692808151245,
16,67,0.7699186205863953,
16,67,,0.797197163105011
17,69,0.6536156535148621,
17,71,1.1607004404067993,
17,71,,0.8354399800300598
18,73,0.7040857076644897,
18,75,0.6359848380088806,
18,75,,0.7823644876480103
19,77,0.877403736114502,
19,79,0.6867148876190186,
19,79,,0.737820565700531
20,81,0.6493769884109497,
20,83,0.6901208162307739,
20,83,,0.6976191997528076
21,85,0.6533336043357849,
21,87,0.5939491391181946,
21,87,,0.7030901312828064
22,89,0.6936151385307312,
22,91,0.6056992411613464,
22,91,,0.6997759342193604
23,93,0.6286448240280151,
23,95,0.7680458426475525,
23,95,,0.677651047706604
24,97,0.6552140116691589,
24,99,0.6281548142433167,
24,99,,0.6861790418624878
25,101,0.7405716180801392,
25,103,0.6730331182479858,
25,103,,0.6935563683509827
26,105,0.6026107668876648,
26,107,0.58170086145401,
26,107,,0.6364533305168152
27,109,0.644737720489502,
27,111,0.6034723520278931,
27,111,,0.6509387493133545
28,113,0.7202368378639221,
28,115,0.7036594748497009,
28,115,,0.6740838885307312
29,117,0.5992560386657715,
29,119,0.5396992564201355,
29,119,,0.6233725547790527
30,121,0.5922306776046753,
