epoch,train/loss,step,valid/loss
0,3.5652379989624023,1,
0,1.6020071506500244,3,
0,,3,1.361079454421997
1,1.1226754188537598,5,
1,1.617701530456543,7,
1,,7,1.3293821811676025
2,0.9779917001724243,9,
2,0.9983181357383728,11,
2,,11,0.9670588970184326
3,0.9509952068328857,13,
3,0.8914365768432617,15,
3,,15,0.9511455297470093
4,0.9178534150123596,17,
4,0.9684264659881592,19,
4,,19,0.9299790263175964
5,0.9084879159927368,21,
5,0.9031805992126465,23,
5,,23,0.9215959906578064
6,0.9127486348152161,25,
6,0.9007675647735596,27,
6,,27,0.9120503067970276
7,0.8914675712585449,29,
7,0.8648229241371155,31,
7,,31,0.8999632000923157
8,0.8697545528411865,33,
8,0.8834590315818787,35,
8,,35,0.905531108379364
9,0.8911668062210083,37,
9,0.859046220779419,39,
9,,39,0.8846747875213623
10,0.8687149286270142,41,
10,0.8281117081642151,43,
10,,43,0.8794539570808411
11,0.8669578433036804,45,
11,0.8668130040168762,47,
11,,47,0.8737128973007202
12,0.8477994799613953,49,
12,0.8424011468887329,51,
12,,51,0.8757880926132202
13,0.8636117577552795,53,
13,0.8823907971382141,55,
13,,55,0.865338921546936
14,0.8627514243125916,57,
14,0.8577888607978821,59,
14,,59,0.8691446185112
15,0.8437770009040833,61,
15,0.8113478422164917,63,
15,,63,0.8873094916343689
16,0.8806842565536499,65,
16,0.8739795088768005,67,
16,,67,0.8974704742431641
17,0.8633078336715698,69,
17,0.8370956182479858,71,
17,,71,0.8695943355560303
18,0.8797685503959656,73,
18,0.8505668044090271,75,
18,,75,0.8540148138999939
19,0.8431133031845093,77,
19,0.8343061208724976,79,
19,,79,0.8509238958358765
20,0.8425349593162537,81,
20,0.8410667181015015,83,
20,,83,0.8488497734069824
21,0.8257002234458923,85,
21,0.8472323417663574,87,
21,,87,0.8561508655548096
22,0.8174739480018616,89,
22,0.846919059753418,91,
22,,91,0.8269334435462952
23,0.8395147323608398,93,
23,0.8528492450714111,95,
23,,95,0.818510890007019
24,0.8169867396354675,97,
24,0.7832214832305908,99,
24,,99,0.827867865562439
25,0.8066302537918091,101,
25,0.9318776726722717,103,
25,,103,0.8656055927276611
