valid/loss,step,epoch,train/loss
1.154142141342163,3,0,
1.126469373703003,7,1,
1.0999739170074463,11,2,
1.074641227722168,15,3,
1.0504556894302368,19,4,
1.0273524522781372,23,5,
1.0052480697631836,27,6,
0.9840433597564697,31,7,
0.9636532068252563,35,8,
0.9439839720726013,39,9,
0.9249547719955444,43,10,
0.9064722657203674,47,11,
0.8884634375572205,51,12,
0.8708685040473938,55,13,
0.8536279797554016,59,14,
0.8366785645484924,63,15,
0.8199878931045532,67,16,
0.8035233020782471,71,17,
0.7872761487960815,75,18,
0.7712175846099854,79,19,
0.7553602457046509,83,20,
0.7397134900093079,87,21,
0.7242435216903687,91,22,
0.7089312672615051,95,23,
,99,24,0.7108736038208008
0.6937375068664551,99,24,
0.6786841750144958,103,25,
0.6637363433837891,107,26,
0.6489084362983704,111,27,
0.6341935396194458,115,28,
0.6195686459541321,119,29,
0.6050328016281128,123,30,
0.5905880331993103,127,31,
0.5762404203414917,131,32,
0.5620304346084595,135,33,
0.547946035861969,139,34,
0.5340190529823303,143,35,
0.5202465057373047,147,36,
0.5066735744476318,151,37,
0.4933643341064453,155,38,
0.4803970754146576,159,39,
0.46780896186828613,163,40,
0.4556024968624115,167,41,
0.4437931776046753,171,42,
0.4323534071445465,175,43,
0.42140910029411316,179,44,
0.4109165072441101,183,45,
0.4008990228176117,187,46,
0.3913070559501648,191,47,
0.38209402561187744,195,48,
,199,49,0.35908472537994385
0.3733452558517456,199,49,
0.3650243878364563,203,50,
0.357077956199646,207,51,
0.3494943678379059,211,52,
0.3422916531562805,215,53,
0.3354586362838745,219,54,
0.3289873003959656,223,55,
0.32290953397750854,227,56,
0.3171474039554596,231,57,
0.31170541048049927,235,58,
0.3065870404243469,239,59,
0.3017939627170563,243,60,
0.29731422662734985,247,61,
0.2931130826473236,251,62,
0.289083868265152,255,63,
0.28530946373939514,259,64,
0.28182950615882874,263,65,
0.2785290479660034,267,66,
0.27544519305229187,271,67,
0.2726036012172699,275,68,
0.2699242830276489,279,69,
0.26743534207344055,283,70,
0.2651282548904419,287,71,
0.26300862431526184,291,72,
0.26105043292045593,295,73,
,299,74,0.26172155141830444
0.2592439651489258,299,74,
0.25757527351379395,303,75,
0.25604644417762756,307,76,
0.2546573579311371,311,77,
0.25333890318870544,315,78,
0.2521662414073944,319,79,
0.2510826587677002,323,80,
0.25010424852371216,327,81,
0.249237060546875,331,82,
0.24844570457935333,335,83,
0.24771825969219208,339,84,
0.24704457819461823,343,85,
0.24640360474586487,347,86,
0.24580994248390198,351,87,
0.2453010231256485,355,88,
0.24484604597091675,359,89,
0.2444378137588501,363,90,
0.24402064085006714,367,91,
0.24360120296478271,371,92,
0.24324995279312134,375,93,
0.2429216355085373,379,94,
0.2426602989435196,383,95,
0.2424505352973938,387,96,
0.24223783612251282,391,97,
0.24209484457969666,395,98,
,399,99,0.2463846355676651
0.24195116758346558,399,99,
0.24176739156246185,403,100,
0.2415999472141266,407,101,
0.24145346879959106,411,102,
0.2413126826286316,415,103,
0.24116753041744232,419,104,
0.24101752042770386,423,105,
0.24090799689292908,427,106,
0.24081666767597198,431,107,
0.24068598449230194,435,108,
0.24057379364967346,439,109,
0.24049364030361176,443,110,
0.24040725827217102,447,111,
0.24035754799842834,451,112,
0.2403011918067932,455,113,
0.24025465548038483,459,114,
0.24020037055015564,463,115,
0.2401731312274933,467,116,
0.2400779128074646,471,117,
0.24002617597579956,475,118,
0.23999327421188354,479,119,
0.23988111317157745,483,120,
0.23977890610694885,487,121,
0.23969684541225433,491,122,
0.23963671922683716,495,123,
,499,124,0.23915144801139832
0.2395847886800766,499,124,
0.23955553770065308,503,125,
0.23947036266326904,507,126,
0.23942945897579193,511,127,
0.23938676714897156,515,128,
0.23935359716415405,519,129,
0.23933099210262299,523,130,
0.23932382464408875,527,131,
0.23934264481067657,531,132,
0.2394157350063324,535,133,
0.23944492638111115,539,134,
0.23946133255958557,543,135,
0.23948746919631958,547,136,
0.2394612729549408,551,137,
0.23945127427577972,555,138,
0.23943163454532623,559,139,
0.23937910795211792,563,140,
0.23932047188282013,567,141,
0.23926182091236115,571,142,
0.23924709856510162,575,143,
0.23920540511608124,579,144,
0.23910973966121674,583,145,
0.23903816938400269,587,146,
0.23903757333755493,591,147,
0.23905077576637268,595,148,
,599,149,0.23999926447868347
0.23909920454025269,599,149,
0.23915238678455353,603,150,
0.23921740055084229,607,151,
0.239273801445961,611,152,
0.23930442333221436,615,153,
0.23923639953136444,619,154,
0.239179790019989,623,155,
0.2391350120306015,627,156,
0.23907890915870667,631,157,
0.23903898894786835,635,158,
0.23901519179344177,639,159,
0.23899993300437927,643,160,
0.23899441957473755,647,161,
0.23904499411582947,651,162,
0.23913049697875977,655,163,
0.23916703462600708,659,164,
0.2391824722290039,663,165,
0.23912139236927032,667,166,
0.23909130692481995,671,167,
0.23903436958789825,675,168,
0.2389417141675949,679,169,
0.23887915909290314,683,170,
0.2388358861207962,687,171,
0.23882919549942017,691,172,
0.2388632744550705,695,173,
,699,174,0.24247367680072784
0.23885364830493927,699,174,
0.2388400137424469,703,175,
0.2387632429599762,707,176,
0.2387077361345291,711,177,
0.23873411118984222,715,178,
0.23875637352466583,719,179,
0.23877234756946564,723,180,
0.2387915849685669,727,181,
0.23884382843971252,731,182,
0.2388787716627121,735,183,
0.23889178037643433,739,184,
0.238911971449852,743,185,
0.23892749845981598,747,186,
0.23896294832229614,751,187,
0.23902513086795807,755,188,
0.23902060091495514,759,189,
0.23897500336170197,763,190,
0.2388352006673813,767,191,
