epoch,step,valid/loss,train/loss
0,3,1.180070161819458,
1,7,1.1771420240402222,
2,11,1.1742262840270996,
3,15,1.1713228225708008,
4,19,1.1684324741363525,
5,23,1.1655552387237549,
6,27,1.1626906394958496,
7,31,1.159838318824768,
8,35,1.1569993495941162,
9,39,1.154173493385315,
10,43,1.1513614654541016,
11,47,1.1485620737075806,
12,51,1.1457760334014893,
13,55,1.1430034637451172,
14,59,1.1402448415756226,
15,63,1.1374986171722412,
16,67,1.1347651481628418,
17,71,1.1320440769195557,
18,75,1.1293362379074097,
19,79,1.1266404390335083,
20,83,1.1239581108093262,
21,87,1.1212912797927856,
22,91,1.1186381578445435,
23,95,1.1159981489181519,
24,99,,1.1306899785995483
24,99,1.1133686304092407,
25,103,1.1107523441314697,
26,107,1.1081461906433105,
27,111,1.1055525541305542,
28,115,1.1029713153839111,
29,119,1.100401759147644,
30,123,1.0978442430496216,
31,127,1.0952990055084229,
32,131,1.0927658081054688,
33,135,1.0902444124221802,
34,139,1.087733507156372,
35,143,1.0852357149124146,
36,147,1.082749843597412,
37,151,1.080276370048523,
38,155,1.0778142213821411,
39,159,1.0753637552261353,
40,163,1.0729246139526367,
41,167,1.0704964399337769,
42,171,1.0680795907974243,
43,175,1.0656722784042358,
44,179,1.0632754564285278,
45,183,1.0608887672424316,
46,187,1.0585130453109741,
47,191,1.0561497211456299,
48,195,1.053798794746399,
49,199,,1.0139455795288086
49,199,1.051456093788147,
50,203,1.04912269115448,
51,207,1.046799659729004,
52,211,1.0444871187210083,
53,215,1.0421844720840454,
54,219,1.0398917198181152,
55,223,1.0376102924346924,
56,227,1.0353401899337769,
57,231,1.0330791473388672,
58,235,1.0308252573013306,
59,239,1.0285813808441162,
60,243,1.0263484716415405,
61,247,1.0241258144378662,
62,251,1.0219120979309082,
63,255,1.0197049379348755,
64,259,1.017507791519165,
65,263,1.0153199434280396,
66,267,1.0131409168243408,
67,271,1.0109691619873047,
68,275,1.008806824684143,
69,279,1.0066534280776978,
70,283,1.004508137702942,
71,287,1.00236976146698,
72,291,1.000239372253418,
73,295,0.9981172680854797,
74,299,,1.0089489221572876
74,299,0.9960041642189026,
75,303,0.993899405002594,
76,307,0.9918020367622375,
77,311,0.9897110462188721,
78,315,0.9876249432563782,
79,319,0.9855460524559021,
80,323,0.9834745526313782,
81,327,0.9814109206199646,
82,331,0.9793556332588196,
83,335,0.9773066639900208,
84,339,0.9752639532089233,
85,343,0.9732287526130676,
86,347,0.9712007641792297,
87,351,0.9691791534423828,
88,355,0.9671644568443298,
89,359,0.9651551246643066,
90,363,0.9631524682044983,
91,367,0.9611549973487854,
92,371,0.9591633081436157,
93,375,0.9571778178215027,
94,379,0.9551993608474731,
95,383,0.9532271027565002,
96,387,0.951259970664978,
97,391,0.9492981433868408,
98,395,0.9473429322242737,
99,399,,0.9718084335327148
99,399,0.9453923106193542,
100,403,0.9434471726417542,
101,407,0.941508412361145,
102,411,0.9395750164985657,
103,415,0.9376457333564758,
104,419,0.9357200860977173,
105,423,0.9337995648384094,
106,427,0.9318841695785522,
107,431,0.9299737811088562,
108,435,0.9280676245689392,
109,439,0.9261664748191833,
110,443,0.9242708086967468,
111,447,0.9223788380622864,
112,451,0.9204919934272766,
113,455,0.9186103940010071,
114,459,0.916733980178833,
115,463,0.9148618578910828,
116,467,0.9129940867424011,
117,471,0.9111281037330627,
118,475,0.9092662334442139,
119,479,0.9074085354804993,
120,483,0.9055529236793518,
121,487,0.9037009477615356,
122,491,0.9018527269363403,
123,495,0.900007963180542,
124,499,,0.9108564257621765
124,499,0.8981671929359436,
