epoch,step,train/loss,valid/loss
0,0,83.98970031738281,
0,1,80.84310150146484,
0,2,80.12277221679688,
0,3,77.44033813476562,
0,4,74.20137023925781,
0,5,74.04959869384766,
0,6,71.88414001464844,
0,7,69.43717956542969,
0,8,66.40853881835938,
0,9,62.40393829345703,
0,10,63.412559509277344,
0,11,65.28248596191406,
0,12,62.25741958618164,
0,12,,61.76107406616211
1,13,63.23511505126953,
1,14,61.58420181274414,
1,15,60.43838119506836,
1,16,58.51456069946289,
1,17,56.14442825317383,
1,18,56.58884048461914,
1,19,53.89616394042969,
1,20,53.161617279052734,
1,21,49.720008850097656,
1,22,47.250057220458984,
1,23,48.02475357055664,
1,24,49.233070373535156,
1,25,47.26405334472656,
1,25,,46.288265228271484
2,26,47.43994903564453,
2,27,47.00532531738281,
2,28,45.65979766845703,
2,29,44.30973815917969,
2,30,42.84339141845703,
2,31,43.95417404174805,
2,32,40.73078918457031,
2,33,41.53611373901367,
2,34,37.906280517578125,
2,35,36.99294662475586,
2,36,37.79723358154297,
2,37,38.52400588989258,
2,38,38.150753021240234,
2,38,,36.80187225341797
3,39,37.507259368896484,
3,40,38.4892463684082,
3,41,37.47272872924805,
3,42,36.70000076293945,
3,43,36.4540901184082,
3,44,38.521705627441406,
3,45,35.08209991455078,
3,46,36.76338577270508,
3,47,33.47952651977539,
3,48,33.570255279541016,
3,49,34.38587951660156,
3,50,34.59978103637695,
3,51,35.55730438232422,
3,51,,33.519351959228516
4,52,33.8691291809082,
4,53,35.26008987426758,
4,54,34.122398376464844,
4,55,33.29380416870117,
4,56,33.45650100708008,
4,57,35.64913558959961,
4,58,32.4416618347168,
4,59,33.87030029296875,
4,60,31.149850845336914,
4,61,31.390172958374023,
4,62,32.231842041015625,
4,63,32.522064208984375,
4,64,33.83343505859375,
4,64,,31.909204483032227
5,65,32.27788162231445,
5,66,33.79659652709961,
5,67,32.81415939331055,
5,68,32.11061096191406,
5,69,32.41317367553711,
5,70,34.7005729675293,
5,71,31.68883514404297,
