step,valid/loss,epoch,train/loss
3,1.0695887804031372,0,
7,0.3460352420806885,1,
11,0.2744176685810089,2,
15,0.25102823972702026,3,
19,0.2272539585828781,4,
23,0.22599533200263977,5,
27,0.23110423982143402,6,
31,0.22764496505260468,7,
35,0.22430306673049927,8,
39,0.22257348895072937,9,
43,0.22229596972465515,10,
47,0.2218366116285324,11,
51,0.21934936940670013,12,
55,0.2181321084499359,13,
59,0.2164447158575058,14,
63,0.21342173218727112,15,
67,0.20908677577972412,16,
71,0.2040085345506668,17,
75,0.1985911726951599,18,
79,0.19535107910633087,19,
83,0.18846052885055542,20,
87,0.18390490114688873,21,
91,0.1783679723739624,22,
95,0.17417095601558685,23,
99,,24,0.1610404998064041
99,0.1684434562921524,24,
103,0.163295179605484,25,
107,0.15883581340312958,26,
111,0.15507856011390686,27,
115,0.15730993449687958,28,
119,0.14797207713127136,29,
123,0.13952729105949402,30,
127,0.13651350140571594,31,
131,0.12986493110656738,32,
135,0.12731100618839264,33,
139,0.12185179442167282,34,
143,0.12125372141599655,35,
147,0.11007050424814224,36,
151,0.10459908843040466,37,
155,0.10079571604728699,38,
159,0.09632650017738342,39,
163,0.08811649680137634,40,
167,0.08390849828720093,41,
171,0.07757355272769928,42,
175,0.06864822655916214,43,
179,0.06483577936887741,44,
183,0.058593787252902985,45,
187,0.05552363395690918,46,
191,0.05148874223232269,47,
195,0.046314164996147156,48,
199,,49,0.04114367067813873
199,0.041789740324020386,49,
203,0.04079590365290642,50,
207,0.03736367076635361,51,
211,0.0358385369181633,52,
215,0.03549379110336304,53,
219,0.03154757618904114,54,
223,0.030953504145145416,55,
227,0.028964273631572723,56,
231,0.0281068067997694,57,
235,0.026343824341893196,58,
239,0.02597149647772312,59,
243,0.02591024711728096,60,
247,0.029965292662382126,61,
251,0.02425953932106495,62,
255,0.025462636724114418,63,
259,0.02707527205348015,64,
263,0.024837715551257133,65,
267,0.02120249718427658,66,
271,0.01850971020758152,67,
275,0.02163594216108322,68,
279,0.017523804679512978,69,
283,0.02010449953377247,70,
287,0.01846775785088539,71,
291,0.015116013586521149,72,
295,0.016034483909606934,73,
299,,74,0.01195046491920948
299,0.015333776362240314,74,
303,0.013713058084249496,75,
307,0.01260453462600708,76,
311,0.012501906603574753,77,
315,0.012035608291625977,78,
319,0.009951643645763397,79,
323,0.013706661760807037,80,
327,0.01049803290516138,81,
331,0.009816303849220276,82,
335,0.010422354564070702,83,
339,0.00930151715874672,84,
343,0.011737490072846413,85,
347,0.008725203573703766,86,
351,0.010069266892969608,87,
355,0.01044892705976963,88,
359,0.009149227291345596,89,
363,0.012157560326159,90,
367,0.008502621203660965,91,
371,0.010211649350821972,92,
375,0.010287541896104813,93,
379,0.008993545547127724,94,
383,0.009458820335566998,95,
387,0.008424611762166023,96,
391,0.009537238627672195,97,
395,0.0077129872515797615,98,
