epoch,step,valid/loss,train/loss
0,3,3.4229729175567627,
1,7,1.645839810371399,
2,11,0.7565383315086365,
3,15,0.43740764260292053,
4,19,0.36508244276046753,
5,23,0.34152811765670776,
6,27,0.2962108850479126,
7,31,0.2669304311275482,
8,35,0.2617790699005127,
9,39,0.25449246168136597,
10,43,0.24866218864917755,
11,47,0.244977205991745,
12,51,0.2429618239402771,
13,55,0.2410060465335846,
14,59,0.23854601383209229,
15,63,0.23575666546821594,
16,67,0.235469251871109,
17,71,0.2344689816236496,
18,75,0.23404879868030548,
19,79,0.23412205278873444,
20,83,0.23470869660377502,
21,87,0.23507824540138245,
22,91,0.23285843431949615,
23,95,0.23186852037906647,
24,99,,0.2362084984779358
24,99,0.23100057244300842,
25,103,0.23168174922466278,
26,107,0.2304268777370453,
27,111,0.2308928668498993,
28,115,0.22970719635486603,
29,119,0.2312191128730774,
30,123,0.23087848722934723,
31,127,0.23029431700706482,
32,131,0.22979755699634552,
33,135,0.2290922999382019,
34,139,0.22837936878204346,
35,143,0.2294551283121109,
36,147,0.22876064479351044,
37,151,0.229038804769516,
38,155,0.2291666865348816,
39,159,0.22943873703479767,
40,163,0.22831764817237854,
41,167,0.2293490469455719,
42,171,0.2303554117679596,
43,175,0.23514214158058167,
44,179,0.22934788465499878,
45,183,0.22974750399589539,
46,187,0.22924986481666565,
47,191,0.2278524935245514,
48,195,0.22752004861831665,
49,199,,0.22839798033237457
49,199,0.227566659450531,
50,203,0.2288150042295456,
51,207,0.22884687781333923,
52,211,0.22758644819259644,
53,215,0.22708779573440552,
54,219,0.22796769440174103,
55,223,0.22686000168323517,
56,227,0.2271077036857605,
57,231,0.22729064524173737,
58,235,0.22716134786605835,
59,239,0.22774310410022736,
60,243,0.22913941740989685,
61,247,0.2271822988986969,
62,251,0.22660458087921143,
63,255,0.2264045774936676,
64,259,0.22677968442440033,
65,263,0.22777004539966583,
66,267,0.2285846322774887,
67,271,0.2269396334886551,
68,275,0.22868278622627258,
69,279,0.22670906782150269,
70,283,0.2285805195569992,
71,287,0.22856612503528595,
72,291,0.22885607182979584,
73,295,0.2267383635044098,
74,299,,0.2236592173576355
74,299,0.22743989527225494,
75,303,0.22752995789051056,
76,307,0.22612228989601135,
77,311,0.22597135603427887,
78,315,0.2268827110528946,
79,319,0.2289227992296219,
80,323,0.23001377284526825,
81,327,0.22623354196548462,
82,331,0.22625312209129333,
83,335,0.22587190568447113,
84,339,0.2258262187242508,
85,343,0.2270563542842865,
86,347,0.22668831050395966,
87,351,0.22636912763118744,
88,355,0.22630390524864197,
89,359,0.2260494828224182,
90,363,0.22674424946308136,
91,367,0.22519581019878387,
92,371,0.2264024019241333,
93,375,0.2270742654800415,
94,379,0.22784210741519928,
95,383,0.22666822373867035,
96,387,0.22566114366054535,
97,391,0.22737088799476624,
98,395,0.22509260475635529,
99,399,,0.23364253342151642
99,399,0.22661858797073364,
100,403,0.22552841901779175,
101,407,0.22499379515647888,
102,411,0.22620145976543427,
103,415,0.22516974806785583,
104,419,0.22550874948501587,
105,423,0.22512708604335785,
106,427,0.22491580247879028,
107,431,0.22504447400569916,
108,435,0.22498296201229095,
109,439,0.22511252760887146,
110,443,0.22492168843746185,
111,447,0.22551488876342773,
112,451,0.22561988234519958,
113,455,0.22434256970882416,
114,459,0.22484438121318817,
115,463,0.22751973569393158,
116,467,0.22700807452201843,
117,471,0.22496728599071503,
118,475,0.22616325318813324,
119,479,0.2277696281671524,
120,483,0.2258232831954956,
121,487,0.2250973880290985,
122,491,0.22493340075016022,
123,495,0.22450031340122223,
124,499,,0.22360169887542725
124,499,0.2253996729850769,
125,503,0.22490036487579346,
126,507,0.2254924774169922,
127,511,0.2252519279718399,
128,515,0.22525359690189362,
129,519,0.2252006083726883,
130,523,0.22397533059120178,
131,527,0.22487424314022064,
132,531,0.22496379911899567,
133,535,0.22576197981834412,
134,539,0.22408315539360046,
135,543,0.22612056136131287,
136,547,0.22474849224090576,
137,551,0.22572235763072968,
138,555,0.223633274435997,
139,559,0.22392159700393677,
140,563,0.22369541227817535,
141,567,0.2238490730524063,
142,571,0.22650223970413208,
143,575,0.2265511006116867,
144,579,0.2239871621131897,
145,583,0.22552229464054108,
146,587,0.2236044853925705,
147,591,0.22407421469688416,
148,595,0.22359652817249298,
149,599,,0.2196340709924698
149,599,0.22403673827648163,
150,603,0.22343608736991882,
151,607,0.22381140291690826,
152,611,0.2240789532661438,
153,615,0.2236979901790619,
154,619,0.22464501857757568,
155,623,0.22402091324329376,
156,627,0.22507989406585693,
157,631,0.22401708364486694,
158,635,0.223619744181633,
159,639,0.22309550642967224,
160,643,0.2233847975730896,
161,647,0.22311614453792572,
162,651,0.22370824217796326,
163,655,0.2239244282245636,
164,659,0.22575609385967255,
165,663,0.22399525344371796,
166,667,0.22312436997890472,
167,671,0.22323158383369446,
168,675,0.22363072633743286,
169,679,0.22554726898670197,
170,683,0.22517788410186768,
171,687,0.22359107434749603,
172,691,0.22451937198638916,
173,695,0.22505104541778564,
174,699,,0.22022870182991028
174,699,0.2258850485086441,
175,703,0.2223457545042038,
176,707,0.22300496697425842,
177,711,0.22388163208961487,
178,715,0.22301332652568817,
179,719,0.2228749692440033,
180,723,0.22299376130104065,
181,727,0.2238975465297699,
182,731,0.22356753051280975,
183,735,0.22442609071731567,
184,739,0.22247786819934845,
185,743,0.22219224274158478,
186,747,0.2231084406375885,
187,751,0.22245150804519653,
188,755,0.22252608835697174,
189,759,0.22195611894130707,
190,763,0.2226911038160324,
191,767,0.22206276655197144,
192,771,0.2222246676683426,
193,775,0.2227669209241867,
194,779,0.2226717323064804,
195,783,0.22249208390712738,
196,787,0.22245705127716064,
