valid/loss,epoch,step,train/loss
0.34949931502342224,0,3,
0.30118438601493835,1,7,
0.268955260515213,2,11,
0.2470775544643402,3,15,
0.2360203117132187,4,19,
0.2287212759256363,5,23,
0.22556275129318237,6,27,
0.2271479219198227,7,31,
0.22469744086265564,8,35,
0.22480931878089905,9,39,
0.22469186782836914,10,43,
0.2238885909318924,11,47,
0.22247272729873657,12,51,
0.2229006439447403,13,55,
0.22230368852615356,14,59,
0.22137373685836792,15,63,
0.2210349440574646,16,67,
0.22065001726150513,17,71,
0.22024963796138763,18,75,
0.2198249250650406,19,79,
0.21946187317371368,20,83,
0.22011429071426392,21,87,
0.21862198412418365,22,91,
0.22021254897117615,23,95,
,24,99,0.21894201636314392
0.21843472123146057,24,99,
0.21792010962963104,25,103,
0.2166222333908081,26,107,
0.21564172208309174,27,111,
0.2138550579547882,28,115,
0.21365341544151306,29,119,
0.2119777649641037,30,123,
0.21228954195976257,31,127,
0.21051864326000214,32,131,
0.2101849615573883,33,135,
0.20750756561756134,34,139,
0.20551513135433197,35,143,
0.20410285890102386,36,147,
0.20568236708641052,37,151,
0.20258788764476776,38,155,
0.2029549926519394,39,159,
0.20008163154125214,40,163,
0.20204144716262817,41,167,
0.21889899671077728,42,171,
0.20346516370773315,43,175,
0.20005987584590912,44,179,
0.1977171003818512,45,183,
0.19618870317935944,46,187,
0.1984999030828476,47,191,
0.19357164204120636,48,195,
,49,199,0.20109052956104279
0.19188478589057922,49,199,
0.19018664956092834,50,203,
0.1888623982667923,51,207,
0.1870187222957611,52,211,
0.1850556582212448,53,215,
0.18505460023880005,54,219,
0.18354272842407227,55,223,
0.18147993087768555,56,227,
0.18270626664161682,57,231,
0.18136921525001526,58,235,
0.18171414732933044,59,239,
0.17618247866630554,60,243,
0.17679494619369507,61,247,
0.17437843978405,62,251,
0.1748490184545517,63,255,
0.17863956093788147,64,259,
0.18682613968849182,65,263,
0.17489057779312134,66,267,
0.17126548290252686,67,271,
0.1683458387851715,68,275,
0.16958409547805786,69,279,
0.1648266762495041,70,283,
0.16818630695343018,71,287,
