epoch,valid/loss,step,train/loss
0,0.46296778321266174,3,
1,0.2722223401069641,7,
2,0.24894548952579498,11,
3,0.23633112013339996,15,
4,0.23229734599590302,19,
5,0.2317555546760559,23,
6,0.24530479311943054,27,
7,0.23601122200489044,31,
8,0.23112104833126068,35,
9,0.23184260725975037,39,
10,0.2325940579175949,43,
11,0.23103421926498413,47,
12,0.2313838005065918,51,
13,0.23113851249217987,55,
14,0.23433932662010193,59,
15,0.23214972019195557,63,
16,0.23378713428974152,67,
17,0.23329228162765503,71,
18,0.23398807644844055,75,
19,0.23428234457969666,79,
20,0.23550502955913544,83,
21,0.235163152217865,87,
22,0.2341993749141693,91,
23,0.23424504697322845,95,
24,,99,0.23786643147468567
24,0.2340417355298996,99,
25,0.23429995775222778,103,
26,0.2336338758468628,107,
27,0.23419228196144104,111,
28,0.23390090465545654,115,
29,0.23349958658218384,119,
30,0.2336975485086441,123,
31,0.23392416536808014,127,
32,0.23322710394859314,131,
33,0.233729749917984,135,
34,0.23333844542503357,139,
35,0.23353922367095947,143,
36,0.2336011826992035,147,
37,0.23360036313533783,151,
38,0.2334681749343872,155,
39,0.23369675874710083,159,
40,0.23359286785125732,163,
41,0.2336784154176712,167,
42,0.23370185494422913,171,
43,0.23343800008296967,175,
44,0.23397116363048553,179,
45,0.23350143432617188,183,
46,0.2335427850484848,187,
47,0.23384232819080353,191,
48,0.23353727161884308,195,
49,,199,0.22876912355422974
49,0.2339179664850235,199,
50,0.23326610028743744,203,
51,0.23412078619003296,207,
52,0.23353303968906403,211,
53,0.2334713488817215,215,
54,0.23376347124576569,219,
55,0.23431864380836487,223,
56,0.2335864007472992,227,
57,0.23339582979679108,231,
58,0.23360151052474976,235,
59,0.2340126484632492,239,
60,0.23400479555130005,243,
61,0.2338409572839737,247,
62,0.2334691435098648,251,
63,0.23359081149101257,255,
64,0.23475542664527893,259,
65,0.2334696352481842,263,
66,0.23339150846004486,267,
67,0.23413918912410736,271,
68,0.23383991420269012,275,
69,0.23328381776809692,279,
70,0.23377305269241333,283,
71,0.2334488034248352,287,
72,0.23401200771331787,291,
73,0.23380140960216522,295,
74,,299,0.23108410835266113
74,0.2335009127855301,299,
75,0.23402218520641327,303,
76,0.23380526900291443,307,
77,0.23357385396957397,311,
78,0.23323911428451538,315,
79,0.23430606722831726,319,
80,0.23341964185237885,323,
81,0.23340635001659393,327,
82,0.23342731595039368,331,
83,0.23352044820785522,335,
84,0.2333574742078781,339,
85,0.23377080261707306,343,
86,0.2340059131383896,347,
87,0.233665332198143,351,
88,0.23389333486557007,355,
89,0.233842670917511,359,
90,0.23390968143939972,363,
91,0.23352035880088806,367,
92,0.23339468240737915,371,
93,0.23318538069725037,375,
94,0.23368996381759644,379,
95,0.2343963086605072,383,
96,0.23329725861549377,387,
97,0.23336443305015564,391,
98,0.23553119599819183,395,
99,,399,0.24337852001190186
99,0.23357854783535004,399,
100,0.2335136979818344,403,
101,0.23494869470596313,407,
102,0.2332850992679596,411,
103,0.23354481160640717,415,
104,0.23319239914417267,419,
105,0.2340994030237198,423,
106,0.23350659012794495,427,
107,0.23326848447322845,431,
108,0.23349085450172424,435,
109,0.23459845781326294,439,
110,0.23347656428813934,443,
111,0.2332054078578949,447,
112,0.23377016186714172,451,
113,0.23417825996875763,455,
114,0.23346750438213348,459,
115,0.23341745138168335,463,
116,0.23378349840641022,467,
117,0.23349088430404663,471,
118,0.2342170774936676,475,
119,0.23368710279464722,479,
120,0.23354072868824005,483,
121,0.2341647893190384,487,
122,0.23339971899986267,491,
123,0.23330505192279816,495,
124,,499,0.232148677110672
124,0.2335127592086792,499,
125,0.23334065079689026,503,
126,0.23325148224830627,507,
127,0.233927920460701,511,
128,0.23342366516590118,515,
129,0.2330542504787445,519,
130,0.23329882323741913,523,
131,0.2332933396100998,527,
132,0.23412536084651947,531,
133,0.23398073017597198,535,
134,0.23418724536895752,539,
135,0.23390361666679382,543,
136,0.2335812747478485,547,
137,0.23322339355945587,551,
138,0.2335217446088791,555,
139,0.23335370421409607,559,
140,0.23349422216415405,563,
141,0.2336317002773285,567,
142,0.2338249534368515,571,
143,0.23341898620128632,575,
144,0.23389528691768646,579,
145,0.2335895299911499,583,
146,0.23381057381629944,587,
147,0.23361940681934357,591,
148,0.23335474729537964,595,
149,,599,0.23578977584838867
149,0.23345088958740234,599,
150,0.23381930589675903,603,
151,0.23360341787338257,607,
152,0.2334548383951187,611,
153,0.23398229479789734,615,
154,0.23342213034629822,619,
155,0.23369520902633667,623,
156,0.23379212617874146,627,
157,0.2336406260728836,631,
158,0.23371820151805878,635,
159,0.23322416841983795,639,
160,0.2332833856344223,643,
161,0.23377865552902222,647,
162,0.23395651578903198,651,
163,0.23325124382972717,655,
164,0.23339219391345978,659,
165,0.23370590806007385,663,
166,0.23366110026836395,667,
167,0.23375369608402252,671,
168,0.23316361010074615,675,
169,0.23308004438877106,679,
170,0.23393018543720245,683,
171,0.23348969221115112,687,
172,0.23329807817935944,691,
173,0.23332437872886658,695,
174,,699,0.23513692617416382
174,0.23400135338306427,699,
175,0.2335425317287445,703,
176,0.23336245119571686,707,
177,0.2333596795797348,711,
178,0.23407863080501556,715,
179,0.2339623123407364,719,
180,0.23353345692157745,723,
181,0.23371058702468872,727,
182,0.23360425233840942,731,
183,0.2335365116596222,735,
184,0.23403054475784302,739,
185,0.23375755548477173,743,
186,0.23321926593780518,747,
187,0.2334994077682495,751,
188,0.2334306836128235,755,
189,0.23312057554721832,759,
190,0.23307335376739502,763,
191,0.23339682817459106,767,
192,0.2335072010755539,771,
193,0.23325197398662567,775,
194,0.23320943117141724,779,
195,0.23331880569458008,783,
196,0.233502596616745,787,
197,0.23322978615760803,791,
198,0.23339244723320007,795,
199,,799,0.237448051571846
199,0.23321832716464996,799,
200,0.23316112160682678,803,
201,0.23357141017913818,807,
202,0.23337191343307495,811,
203,0.23407116532325745,815,
204,0.2336938977241516,819,
205,0.23360209167003632,823,
206,0.2334839254617691,827,
207,0.23363108932971954,831,
208,0.23352056741714478,835,
