step,valid/loss,epoch,train/loss
3,0.5886653065681458,0,
7,0.4190230667591095,1,
11,0.33111268281936646,2,
15,0.290164589881897,3,
19,0.25904691219329834,4,
23,0.2482500970363617,5,
27,0.23750370740890503,6,
31,0.23497390747070312,7,
35,0.23423129320144653,8,
39,0.234815776348114,9,
43,0.23377710580825806,10,
47,0.23190289735794067,11,
51,0.2311730831861496,12,
55,0.232720285654068,13,
59,0.23199710249900818,14,
63,0.23170989751815796,15,
67,0.23227965831756592,16,
71,0.23188742995262146,17,
75,0.23148784041404724,18,
79,0.23091179132461548,19,
83,0.23166848719120026,20,
87,0.23078103363513947,21,
91,0.2325650155544281,22,
95,0.23149456083774567,23,
99,,24,0.23568660020828247
99,0.23285703361034393,24,
103,0.2311597615480423,25,
107,0.23146601021289825,26,
111,0.23163089156150818,27,
115,0.23072047531604767,28,
119,0.2302924543619156,29,
123,0.23031307756900787,30,
127,0.23043088614940643,31,
131,0.22953671216964722,32,
135,0.22978651523590088,33,
139,0.23000408709049225,34,
143,0.22942781448364258,35,
147,0.22947406768798828,36,
151,0.2297368198633194,37,
155,0.22922858595848083,38,
159,0.22978004813194275,39,
163,0.2292168289422989,40,
167,0.22919343411922455,41,
171,0.2302730232477188,42,
175,0.22912949323654175,43,
179,0.22923129796981812,44,
183,0.22962132096290588,45,
187,0.22924011945724487,46,
191,0.23039917647838593,47,
195,0.2291221171617508,48,
199,,49,0.22620654106140137
199,0.22943373024463654,49,
203,0.2297513633966446,50,
207,0.2293676882982254,51,
211,0.2288309931755066,52,
215,0.22885239124298096,53,
219,0.2291525900363922,54,
223,0.2292613983154297,55,
227,0.22883161902427673,56,
231,0.22897067666053772,57,
235,0.22890052199363708,58,
239,0.22926270961761475,59,
243,0.2295253872871399,60,
247,0.22924411296844482,61,
251,0.22894708812236786,62,
255,0.22872799634933472,63,
259,0.22941263020038605,64,
263,0.22890429198741913,65,
267,0.22858822345733643,66,
271,0.2286979705095291,67,
275,0.22982220351696014,68,
279,0.22864879667758942,69,
283,0.2283739596605301,70,
287,0.22921478748321533,71,
291,0.22903971374034882,72,
295,0.22939838469028473,73,
299,,74,0.22658997774124146
299,0.22868306934833527,74,
303,0.2284764051437378,75,
307,0.2290157824754715,76,
311,0.2283768206834793,77,
315,0.22856010496616364,78,
319,0.22828660905361176,79,
323,0.22892886400222778,80,
327,0.22850562632083893,81,
331,0.22851528227329254,82,
335,0.22828669846057892,83,
339,0.22838018834590912,84,
343,0.22859521210193634,85,
347,0.2284443974494934,86,
351,0.22834421694278717,87,
355,0.22830192744731903,88,
359,0.22814598679542542,89,
363,0.22843942046165466,90,
367,0.22872084379196167,91,
371,0.22819599509239197,92,
375,0.2280483841896057,93,
379,0.22866730391979218,94,
383,0.22882285714149475,95,
387,0.22913257777690887,96,
391,0.22831697762012482,97,
395,0.22870194911956787,98,
399,,99,0.2384336292743683
399,0.22915004193782806,99,
403,0.22846907377243042,100,
407,0.22856499254703522,101,
411,0.22859039902687073,102,
415,0.22820255160331726,103,
419,0.22850392758846283,104,
423,0.22841785848140717,105,
427,0.22846612334251404,106,
431,0.22878147661685944,107,
435,0.2280130237340927,108,
439,0.22814135253429413,109,
443,0.22880521416664124,110,
447,0.2281011939048767,111,
451,0.22807520627975464,112,
455,0.22822310030460358,113,
459,0.22835208475589752,114,
463,0.22841161489486694,115,
467,0.22813719511032104,116,
471,0.22879227995872498,117,
475,0.2284497320652008,118,
479,0.22902624309062958,119,
483,0.22874142229557037,120,
487,0.22817811369895935,121,
491,0.22824770212173462,122,
495,0.22794117033481598,123,
499,,124,0.22724658250808716
499,0.22802883386611938,124,
503,0.2282792031764984,125,
507,0.22777630388736725,126,
511,0.2277398556470871,127,
515,0.22799375653266907,128,
519,0.22779428958892822,129,
523,0.22775055468082428,130,
527,0.22783489525318146,131,
531,0.2280438244342804,132,
535,0.22827953100204468,133,
539,0.22932890057563782,134,
543,0.2281704694032669,135,
547,0.22795221209526062,136,
551,0.2280893176794052,137,
555,0.2279994636774063,138,
559,0.22882162034511566,139,
563,0.22819605469703674,140,
567,0.22801603376865387,141,
571,0.22835098206996918,142,
575,0.22808754444122314,143,
579,0.22875958681106567,144,
583,0.228053018450737,145,
587,0.22794142365455627,146,
591,0.22864723205566406,147,
595,0.22809487581253052,148,
599,,149,0.22802484035491943
599,0.2279013991355896,149,
603,0.22823303937911987,150,
607,0.2280515879392624,151,
611,0.22823983430862427,152,
615,0.22901348769664764,153,
619,0.22797338664531708,154,
623,0.22804389894008636,155,
627,0.22837647795677185,156,
631,0.22820499539375305,157,
635,0.22843463718891144,158,
639,0.2278396487236023,159,
643,0.22780051827430725,160,
647,0.22780853509902954,161,
651,0.22817212343215942,162,
655,0.22849152982234955,163,
659,0.2278629094362259,164,
663,0.22789019346237183,165,
667,0.22829632461071014,166,
671,0.2282058298587799,167,
675,0.22835083305835724,168,
679,0.22783754765987396,169,
683,0.2278854250907898,170,
687,0.22808238863945007,171,
691,0.22784371674060822,172,
695,0.22785182297229767,173,
699,,174,0.22913989424705505
699,0.22832156717777252,174,
703,0.22793206572532654,175,
707,0.22827807068824768,176,
711,0.22783273458480835,177,
715,0.22791671752929688,178,
719,0.22946582734584808,179,
723,0.2283092439174652,180,
727,0.2283783107995987,181,
731,0.22824040055274963,182,
735,0.22826513648033142,183,
739,0.22832606732845306,184,
743,0.2284793257713318,185,
747,0.2281438261270523,186,
751,0.22799959778785706,187,
755,0.22805213928222656,188,
759,0.227985680103302,189,
763,0.22793161869049072,190,
767,0.22886280715465546,191,
771,0.22781389951705933,192,
775,0.227887362241745,193,
779,0.2281469851732254,194,
783,0.22786609828472137,195,
787,0.22784443199634552,196,
791,0.2278771847486496,197,
795,0.2278139442205429,198,
799,,199,0.22961926460266113
799,0.22811174392700195,199,
803,0.2278185337781906,200,
807,0.22786679863929749,201,
811,0.2283710539340973,202,
815,0.2281663566827774,203,
819,0.22825130820274353,204,
823,0.2282852679491043,205,
827,0.2282908856868744,206,
831,0.22798274457454681,207,
835,0.22803141176700592,208,
839,0.22831569612026215,209,
843,0.2280239313840866,210,
847,0.22823870182037354,211,
851,0.22803644835948944,212,
855,0.22777535021305084,213,
859,0.22851666808128357,214,
863,0.22783344984054565,215,
867,0.22804442048072815,216,
871,0.22835028171539307,217,
875,0.2281985878944397,218,
879,0.22800002992153168,219,
883,0.2283581793308258,220,
887,0.2282702624797821,221,
891,0.22814255952835083,222,
895,0.22836604714393616,223,
899,,224,0.2295537143945694
899,0.22849468886852264,224,
903,0.2282751500606537,225,
907,0.22907105088233948,226,
911,0.22872300446033478,227,
915,0.2284022867679596,228,
919,0.22918324172496796,229,
923,0.2285786122083664,230,
927,0.22861263155937195,231,
931,0.22867059707641602,232,
935,0.22852931916713715,233,
939,0.22846542298793793,234,
943,0.22875872254371643,235,
947,0.2284804880619049,236,
951,0.2283882200717926,237,
955,0.22854478657245636,238,
959,0.22853833436965942,239,
963,0.22891893982887268,240,
967,0.22859595715999603,241,
971,0.22859260439872742,242,
975,0.22922241687774658,243,
979,0.22897350788116455,244,
983,0.22889062762260437,245,
987,0.22850343585014343,246,
991,0.22840999066829681,247,
995,0.22898830473423004,248,
999,,249,0.2258961945772171
999,0.2287290245294571,249,
1003,0.22873176634311676,250,
1007,0.22939442098140717,251,
1011,0.2285194844007492,252,
1015,0.22837409377098083,253,
1019,0.22918519377708435,254,
1023,0.22887395322322845,255,
1027,0.22855323553085327,256,
1031,0.2284030169248581,257,
1035,0.22846344113349915,258,
1039,0.2286955714225769,259,
1043,0.22852788865566254,260,
1047,0.22881093621253967,261,
1051,0.22857683897018433,262,
1055,0.22862140834331512,263,
1059,0.22886662185192108,264,
1063,0.22851179540157318,265,
