valid/loss,epoch,step,train/loss
0.8667212724685669,0,3,
0.23178711533546448,1,7,
0.2281486839056015,2,11,
0.22707585990428925,3,15,
0.226545512676239,4,19,
0.22357958555221558,5,23,
0.22633333504199982,6,27,
0.22385890781879425,7,31,
0.21780690550804138,8,35,
0.21582946181297302,9,39,
0.21263664960861206,10,43,
0.20877164602279663,11,47,
0.20472998917102814,12,51,
0.20673774182796478,13,55,
0.19549626111984253,14,59,
0.19278913736343384,15,63,
0.19048410654067993,16,67,
0.18436366319656372,17,71,
0.17912429571151733,18,75,
0.1852438598871231,19,79,
0.17949290573596954,20,83,
0.1754467636346817,21,87,
0.1704326570034027,22,91,
0.15987640619277954,23,95,
,24,99,0.15106609463691711
0.15579697489738464,24,99,
0.15648020803928375,25,103,
0.15897421538829803,26,107,
0.14821135997772217,27,111,
0.14557121694087982,28,115,
0.1414778232574463,29,119,
0.13729697465896606,30,123,
0.1342431902885437,31,127,
0.13210108876228333,32,131,
0.1274699568748474,33,135,
0.1239733099937439,34,139,
0.12197340279817581,35,143,
0.1229342445731163,36,147,
0.11892213672399521,37,151,
0.11386511474847794,38,155,
0.10861144214868546,39,159,
0.10581972450017929,40,163,
0.10531516373157501,41,167,
0.0940619632601738,42,171,
0.08792582154273987,43,175,
0.084882952272892,44,179,
0.08186636865139008,45,183,
0.07070818543434143,46,187,
0.06791950762271881,47,191,
0.06320495158433914,48,195,
,49,199,0.06046900525689125
0.0543728768825531,49,199,
0.051905252039432526,50,203,
0.04648948833346367,51,207,
0.04175450652837753,52,211,
0.037246737629175186,53,215,
0.03367537260055542,54,219,
0.030061986297369003,55,223,
0.02632480300962925,56,227,
0.024460148066282272,57,231,
0.020681435242295265,58,235,
0.019961634650826454,59,239,
0.017973609268665314,60,243,
0.02541450783610344,61,247,
0.016741493716835976,62,251,
0.018225515261292458,63,255,
0.01932411827147007,64,259,
0.015555390156805515,65,263,
0.015023332089185715,66,267,
0.011514853686094284,67,271,
0.014444759115576744,68,275,
0.011747774668037891,69,279,
0.012757588177919388,70,283,
0.010341057553887367,71,287,
0.010571474209427834,72,291,
0.008548437617719173,73,295,
,74,299,0.006960573606193066
0.00928876269608736,74,299,
0.008094861172139645,75,303,
0.010387611575424671,76,307,
0.00814826786518097,77,311,
0.009100211784243584,78,315,
0.007967560552060604,79,319,
0.008070557378232479,80,323,
0.007830140180885792,81,327,
0.0072170440107584,82,331,
0.007001993712037802,83,335,
0.006566421594470739,84,339,
0.006307773757725954,85,343,
0.006410598289221525,86,347,
0.006060147192329168,87,351,
0.006128844805061817,88,355,
0.0059337373822927475,89,359,
0.00589340552687645,90,363,
0.00580568565055728,91,367,
0.005664220079779625,92,371,
0.005673802923411131,93,375,
0.0057754842564463615,94,379,
0.006698137149214745,95,383,
0.0062500303611159325,96,387,
0.007494231685996056,97,391,
0.005805189721286297,98,395,
,99,399,0.008907333947718143
0.005382782779633999,99,399,
0.027191517874598503,100,403,
0.01688517816364765,101,407,
0.013831202872097492,102,411,
0.03709091246128082,103,415,
0.014672193676233292,104,419,
0.021666517481207848,105,423,
0.020766666159033775,106,427,
0.013810299336910248,107,431,
0.012088046409189701,108,435,
0.009777947328984737,109,439,
0.008461746387183666,110,443,
0.010444317944347858,111,447,
0.009646687656641006,112,451,
0.009440748021006584,113,455,
0.007759588770568371,114,459,
0.006794741377234459,115,463,
0.0060335248708724976,116,467,
0.007481852080672979,117,471,
0.009935158304870129,118,475,
0.016494186595082283,119,479,
0.009153441525995731,120,483,
0.009686683304607868,121,487,
0.0052434043027460575,122,491,
0.005892330780625343,123,495,
,124,499,0.006187838036566973
0.005466996226459742,124,499,
0.005179343279451132,125,503,
0.005741365719586611,126,507,
0.0057192714884877205,127,511,
0.008576390333473682,128,515,
0.006956881377846003,129,519,
0.006967149209231138,130,523,
0.0059866635128855705,131,527,
0.007613394409418106,132,531,
0.007273839320987463,133,535,
0.006803704425692558,134,539,
0.010822828859090805,135,543,
0.008695242926478386,136,547,
0.010767987929284573,137,551,
0.013272751122713089,138,555,
0.006190766580402851,139,559,
0.00895518995821476,140,563,
0.010419336147606373,141,567,
0.008204999379813671,142,571,
0.006949275732040405,143,575,
0.006098100915551186,144,579,
0.006475703790783882,145,583,
0.0056192753836512566,146,587,
0.005206103902310133,147,591,
0.0052115824073553085,148,595,
,149,599,0.006247812416404486
0.0071899364702403545,149,599,
0.00763691496104002,150,603,
0.006854905281215906,151,607,
0.009045403450727463,152,611,
0.007138322573155165,153,615,
0.006398370489478111,154,619,
0.00599499000236392,155,623,
0.005776049103587866,156,627,
0.00721509987488389,157,631,
0.012558533810079098,158,635,
0.03534388169646263,159,639,
0.012537834234535694,160,643,
0.011439812369644642,161,647,
0.008661249652504921,162,651,
0.008408104069530964,163,655,
0.004422131925821304,164,659,
0.005335723981261253,165,663,
0.004874804988503456,166,667,
0.007437835447490215,167,671,
0.0054197050631046295,168,675,
0.005307494197040796,169,679,
0.0052253264002501965,170,683,
0.005329964216798544,171,687,
0.005004956852644682,172,691,
0.00430487934499979,173,695,
,174,699,0.002258549677208066
0.004330763593316078,174,699,
0.00423955824226141,175,703,
0.00419899495318532,176,707,
0.004795445129275322,177,711,
0.00427676597610116,178,715,
0.004297469276934862,179,719,
0.004118890967220068,180,723,
0.004256631247699261,181,727,
0.004233269952237606,182,731,
0.00417097145691514,183,735,
0.004074973985552788,184,739,
0.004061578307300806,185,743,
0.004066484980285168,186,747,
0.004415737930685282,187,751,
0.005517080891877413,188,755,
0.00413382425904274,189,759,
0.004613860044628382,190,763,
