epoch,train/loss,step,valid/loss
0,144.77000427246094,1,
0,1.0973668098449707,3,
0,,3,0.9777629971504211
1,0.9364664554595947,5,
1,0.8904939293861389,7,
1,,7,0.9007177948951721
2,0.8680166602134705,9,
2,0.896988570690155,11,
2,,11,0.8836928009986877
3,0.8709220886230469,13,
3,0.8503212928771973,15,
3,,15,0.8732910752296448
4,0.8594704866409302,17,
4,0.8573225736618042,19,
4,,19,0.8707544207572937
5,0.8505609631538391,21,
5,0.8513839244842529,23,
5,,23,0.8611651062965393
6,0.8773964047431946,25,
6,0.8674590587615967,27,
6,,27,0.8543434143066406
7,0.8236950039863586,29,
7,0.8651251792907715,31,
7,,31,0.8633887767791748
8,0.8571790456771851,33,
8,0.8269005417823792,35,
8,,35,0.8364304304122925
9,0.8197306990623474,37,
9,0.8003398180007935,39,
9,,39,0.8057219982147217
10,0.7853833436965942,41,
10,0.7161567807197571,43,
10,,43,0.7652841806411743
11,0.7211743593215942,45,
11,0.7015040516853333,47,
11,,47,0.5924439430236816
12,0.9914681911468506,49,
12,1.3723561763763428,51,
12,,51,0.7555190324783325
13,0.7350824475288391,53,
13,0.47749361395835876,55,
13,,55,0.6035664677619934
14,0.5667608976364136,57,
14,0.6440078020095825,59,
14,,59,0.6476555466651917
15,0.5679613947868347,61,
15,0.6603854894638062,63,
15,,63,0.5859702825546265
16,0.5334230065345764,65,
16,0.5999614000320435,67,
16,,67,0.5489459037780762
17,0.7181696891784668,69,
17,0.6086493134498596,71,
17,,71,0.7653796672821045
18,0.9384851455688477,73,
18,0.6612684726715088,75,
18,,75,0.6027975678443909
19,0.5892617702484131,77,
19,0.6397508978843689,79,
19,,79,0.5321047306060791
20,0.7592951059341431,81,
20,0.7102388143539429,83,
20,,83,0.5571345686912537
21,0.5572378039360046,85,
21,0.6255538463592529,87,
21,,87,0.6922365427017212
22,0.5273301005363464,89,
22,0.6114616394042969,91,
22,,91,0.5777064561843872
23,0.5561614036560059,93,
23,0.5745299458503723,95,
23,,95,0.6143556237220764
24,0.6810713410377502,97,
24,0.48754075169563293,99,
24,,99,0.6736476421356201
25,0.7113847136497498,101,
25,0.717970609664917,103,
25,,103,0.9282593727111816
26,0.8031411170959473,105,
26,0.6949099898338318,107,
26,,107,1.1408686637878418
27,1.063921332359314,109,
