epoch,step,train/loss,valid/loss
56,227,0.7012863159179688,
56,227,,0.7804685235023499
57,229,0.8361296653747559,
57,231,0.7532729506492615,
57,231,,0.6841427087783813
58,233,0.7307871580123901,
58,235,0.771430253982544,
58,235,,0.678831934928894
59,237,0.7357423305511475,
59,239,0.7844167351722717,
59,239,,0.7470648884773254
60,241,0.6709959506988525,
60,243,0.8579331636428833,
60,243,,0.8841509222984314
61,245,0.821692168712616,
61,247,0.6681547164916992,
61,247,,0.7956253290176392
62,249,0.812142014503479,
62,251,0.7126596570014954,
62,251,,0.7439683675765991
63,253,0.8415347337722778,
63,255,0.7177080512046814,
63,255,,0.6938985586166382
64,257,0.7296510338783264,
64,259,0.7443054914474487,
64,259,,0.7584911584854126
65,261,0.6581456065177917,
65,263,0.87766033411026,
65,263,,0.8037669658660889
66,265,0.7413293719291687,
66,267,0.7055552005767822,
66,267,,0.8361064791679382
67,269,0.8417862057685852,
67,271,0.7161849737167358,
67,271,,0.7027273774147034
68,273,0.7710955142974854,
68,275,0.8024033904075623,
68,275,,0.6703988909721375
69,277,0.7171793580055237,
69,279,0.8653115034103394,
69,279,,0.7731291055679321
70,281,0.6850448250770569,
70,283,0.7786700129508972,
70,283,,0.780480146408081
71,285,0.7229242324829102,
71,287,0.7287165522575378,
71,287,,0.8015069365501404
72,289,0.8204761147499084,
72,291,0.675190806388855,
72,291,,0.7043587565422058
73,293,0.7626325488090515,
73,295,0.7327319979667664,
73,295,,0.6755673885345459
74,297,0.7012486457824707,
74,299,0.8391535878181458,
74,299,,0.741058886051178
75,301,0.676163375377655,
75,303,0.7621429562568665,
75,303,,0.7961333990097046
76,305,0.7483391761779785,
76,307,0.7086253762245178,
76,307,,0.7629876136779785
77,309,0.7571890950202942,
77,311,0.6606838703155518,
77,311,,0.6674680113792419
78,313,0.6609681844711304,
78,315,0.697721004486084,
78,315,,0.6708412170410156
79,317,0.6763954162597656,
79,319,0.6891328692436218,
79,319,,0.7310563921928406
80,321,0.6861956119537354,
80,323,0.7745236158370972,
80,323,,0.7821462154388428
81,325,0.7370757460594177,
81,327,0.6087929010391235,
81,327,,0.7685396075248718
82,329,0.8387942314147949,
82,331,0.7730640172958374,
82,331,,0.6710456609725952
83,333,0.6893699169158936,
83,335,0.7223244309425354,
83,335,,0.7420071959495544
84,337,0.6572462320327759,
84,339,0.8251121044158936,
84,339,,0.7822574377059937
85,341,0.692531168460846,
85,343,0.8253547549247742,
85,343,,0.7991760969161987
86,345,0.7845967411994934,
86,347,0.7026005983352661,
86,347,,0.6739656329154968
87,349,0.7385720610618591,
87,351,0.6569631695747375,
87,351,,0.6480915546417236
88,353,0.6807829737663269,
88,355,0.8828768730163574,
