epoch,train/loss,step,valid/loss
27,,111,0.6852285861968994
28,0.6616602540016174,113,
28,0.6484460830688477,115,
28,,115,0.614143967628479
29,0.600384533405304,117,
29,0.5282937288284302,119,
29,,119,0.6306830048561096
30,0.6246351003646851,121,
30,0.6154699325561523,123,
30,,123,0.8357623219490051
31,0.7259455919265747,125,
31,0.6024978160858154,127,
31,,127,0.9403541684150696
32,0.9340166449546814,129,
32,0.5594640970230103,131,
32,,131,0.6713573932647705
33,0.6411128640174866,133,
33,0.6737948656082153,135,
33,,135,0.7800086736679077
34,0.7625199556350708,137,
34,0.5851936340332031,139,
34,,139,0.8069885969161987
35,0.7193686366081238,141,
35,0.5487375855445862,143,
35,,143,0.6573489904403687
36,0.6347313523292542,145,
36,0.6185768246650696,147,
36,,147,0.7111254334449768
37,0.6592661738395691,149,
37,0.7264077067375183,151,
37,,151,0.9679148197174072
38,0.9372418522834778,153,
38,0.5112615823745728,155,
38,,155,0.8464579582214355
39,1.051193356513977,157,
39,0.8985521793365479,159,
39,,159,0.741974413394928
40,0.663205623626709,161,
40,0.9001685380935669,163,
40,,163,0.8370765447616577
41,0.7617485523223877,165,
41,0.6852392554283142,167,
41,,167,0.7181451320648193
42,0.7185349464416504,169,
42,0.6136847734451294,171,
42,,171,0.6382255554199219
43,0.6012280583381653,173,
43,0.6456408500671387,175,
43,,175,0.6299038529396057
44,0.5513493418693542,177,
44,0.4873916506767273,179,
44,,179,0.533183217048645
45,0.6168303489685059,181,
45,0.5835353136062622,183,
45,,183,0.5212040543556213
46,0.5089275240898132,185,
46,0.47566819190979004,187,
46,,187,0.5058225393295288
47,0.4879398047924042,189,
47,0.4624927341938019,191,
47,,191,0.4990478456020355
48,0.551897406578064,193,
48,0.5640981197357178,195,
48,,195,0.4574221670627594
49,0.48934927582740784,197,
49,0.4997451603412628,199,
49,,199,0.5025089383125305
50,0.4669976532459259,201,
50,0.580193817615509,203,
50,,203,0.4843195974826813
51,0.4721618890762329,205,
51,0.4685591161251068,207,
51,,207,0.5093100666999817
52,0.6016750335693359,209,
52,0.4193838834762573,211,
52,,211,0.49313950538635254
53,0.4348655641078949,213,
53,0.4059557020664215,215,
53,,215,0.43312323093414307
54,0.4760703444480896,217,
54,0.4741993248462677,219,
54,,219,0.41295987367630005
55,0.44252854585647583,221,
55,0.3519253134727478,223,
55,,223,0.47158926725387573
56,0.4983658790588379,225,
56,0.5159265398979187,227,
56,,227,0.6169260740280151
57,0.6207093000411987,229,
57,0.4249843955039978,231,
57,,231,0.4374464154243469
58,0.419948935508728,233,
58,0.511233925819397,235,
58,,235,0.41147682070732117
59,0.4828920066356659,237,
59,0.45026081800460815,239,
59,,239,0.3826833963394165
60,0.5126792192459106,241,
60,0.5924693942070007,243,
60,,243,0.4043390154838562
61,0.6217135787010193,245,
61,0.5844280123710632,247,
61,,247,0.395048588514328
62,0.41398873925209045,249,
62,0.38889655470848083,251,
62,,251,0.41939276456832886
63,0.4243132472038269,253,
63,0.3630777895450592,255,
63,,255,0.5032270550727844
64,0.5401506423950195,257,
64,0.4115818738937378,259,
64,,259,0.4433083236217499
65,0.43725284934043884,261,
65,0.4762648642063141,263,
65,,263,0.36340123414993286
66,0.43436574935913086,265,
66,0.36720791459083557,267,
66,,267,0.40209734439849854
67,0.42710238695144653,269,
67,0.4743216335773468,271,
67,,271,0.4011188745498657
68,0.4097030758857727,273,
68,0.5184532403945923,275,
68,,275,0.4171501398086548
69,0.38366878032684326,277,
69,0.36193567514419556,279,
69,,279,0.3738977909088135
70,0.4302087724208832,281,
70,0.4073067009449005,283,
70,,283,0.4402380883693695
71,0.3544146418571472,285,
71,0.48598793148994446,287,
71,,287,0.3570161759853363
72,0.3721586763858795,289,
72,0.3948321044445038,291,
72,,291,0.38720181584358215
73,0.429222971200943,293,
73,0.3688231110572815,295,
73,,295,0.3466596305370331
74,0.3297627866268158,297,
74,0.5483002066612244,299,
74,,299,0.3784435987472534
75,0.3522649109363556,301,
75,0.30935966968536377,303,
75,,303,0.364970862865448
76,0.4340335428714752,305,
76,0.3582323491573334,307,
76,,307,0.3719429075717926
77,0.33631816506385803,309,
77,0.4510899782180786,311,
77,,311,0.32471007108688354
78,0.3491823971271515,313,
78,0.37003767490386963,315,
78,,315,0.3521187901496887
79,0.4044336676597595,317,
79,0.33841514587402344,319,
79,,319,0.3511623442173004
80,0.315886914730072,321,
80,0.46983233094215393,323,
80,,323,0.33124688267707825
81,0.3278036415576935,325,
81,0.285662978887558,327,
81,,327,0.3394263982772827
82,0.36859431862831116,329,
82,0.3680309057235718,331,
82,,331,0.4324193596839905
83,0.37438973784446716,333,
83,0.3423866331577301,335,
83,,335,0.29016226530075073
84,0.3930058777332306,337,
84,0.3582494556903839,339,
84,,339,0.3094523251056671
85,0.3703765571117401,341,
85,0.38220587372779846,343,
85,,343,0.3632712662220001
86,0.3249835968017578,345,
86,0.49527856707572937,347,
86,,347,0.298542857170105
87,0.3395640552043915,349,
87,0.2859865725040436,351,
87,,351,0.32035714387893677
88,0.37276211380958557,353,
88,0.3466750681400299,355,
88,,355,0.354363352060318
89,0.3030570149421692,357,
89,0.42599809169769287,359,
89,,359,0.28836679458618164
90,0.3354171812534332,361,
90,0.2859627306461334,363,
90,,363,0.3009122908115387
91,0.3361976444721222,365,
91,0.3333219885826111,367,
91,,367,0.35154715180397034
92,0.2893025577068329,369,
92,0.42636600136756897,371,
92,,371,0.28854745626449585
93,0.3366905748844147,373,
93,0.29009315371513367,375,
93,,375,0.3047294318675995
94,0.34286484122276306,377,
94,0.28975149989128113,379,
94,,379,0.32455894351005554
95,0.31132766604423523,381,
95,0.32154151797294617,383,
95,,383,0.3000275194644928
96,0.3147750496864319,385,
96,0.30849552154541016,387,
96,,387,0.297209769487381
97,0.33210858702659607,389,
97,0.355494886636734,391,
97,,391,0.33070430159568787
98,0.30192410945892334,393,
98,0.24688977003097534,395,
98,,395,0.29352831840515137
99,0.306283175945282,397,
99,0.32851076126098633,399,
99,,399,0.31412047147750854
100,0.35294172167778015,401,
100,0.3355211317539215,403,
100,,403,0.3038167357444763
101,0.2980823516845703,405,
101,0.3315248489379883,407,
101,,407,0.28663715720176697
102,0.29487496614456177,409,
102,0.31085890531539917,411,
102,,411,0.3033130466938019
103,0.38323774933815,413,
103,0.24130311608314514,415,
103,,415,0.31144478917121887
104,0.29546454548835754,417,
104,0.2952810227870941,419,
104,,419,0.2724516987800598
105,0.30596020817756653,421,
105,0.24802376329898834,423,
105,,423,0.2844138741493225
106,0.35525599122047424,425,
106,0.26659059524536133,427,
106,,427,0.3006359934806824
107,0.2837136685848236,429,
107,0.36210376024246216,431,
107,,431,0.2778817415237427
108,0.3008808195590973,433,
108,0.22416777908802032,435,
108,,435,0.28205543756484985
109,0.33385810256004333,437,
109,0.24682801961898804,439,
109,,439,0.3205622136592865
110,0.28203901648521423,441,
110,0.27990496158599854,443,
110,,443,0.2552213966846466
111,0.30753278732299805,445,
111,0.35253024101257324,447,
111,,447,0.2659788131713867
112,0.26799261569976807,449,
112,0.33072176575660706,451,
112,,451,0.30812180042266846
113,0.2893353998661041,453,
113,0.2866379916667938,455,
113,,455,0.2713754177093506
114,0.2745725214481354,457,
114,0.23282964527606964,459,
114,,459,0.27343904972076416
115,0.31475237011909485,461,
115,0.2695116400718689,463,
115,,463,0.324599027633667
116,0.30016082525253296,465,
116,0.274222731590271,467,
116,,467,0.23933745920658112
117,0.33861470222473145,469,
117,0.27386781573295593,471,
117,,471,0.24241366982460022
118,0.2659322917461395,473,
118,0.4146651327610016,475,
118,,475,0.3314470648765564
119,0.3068959712982178,477,
119,0.3541666269302368,479,
119,,479,0.24347944557666779
120,0.2847561836242676,481,
120,0.2764481008052826,483,
120,,483,0.26948902010917664
121,0.3209727108478546,485,
121,0.33969324827194214,487,
121,,487,0.27218756079673767
122,0.2607831060886383,489,
122,0.34873127937316895,491,
122,,491,0.26786041259765625
123,0.26020094752311707,493,
123,0.20677688717842102,495,
123,,495,0.27645623683929443
124,0.34728357195854187,497,
124,0.38576021790504456,499,
124,,499,0.29189324378967285
125,0.24610531330108643,501,
125,0.24732695519924164,503,
125,,503,0.23293732106685638
126,0.27927133440971375,505,
126,0.29404181241989136,507,
126,,507,0.24748842418193817
127,0.28992322087287903,509,
127,0.27877840399742126,511,
127,,511,0.2842446267604828
128,0.2651576101779938,513,
128,0.299230694770813,515,
128,,515,0.23950748145580292
129,0.2722528278827667,517,
129,0.2641140818595886,519,
129,,519,0.25184205174446106
130,0.3222157061100006,521,
130,0.31225350499153137,523,
130,,523,0.28190943598747253
131,0.2598924934864044,525,
131,0.2566726803779602,527,
131,,527,0.22835718095302582
132,0.277721643447876,529,
132,0.25130704045295715,531,
132,,531,0.24628140032291412
133,0.31267720460891724,533,
133,0.20285673439502716,535,
133,,535,0.27703794836997986
134,0.2625201642513275,537,
134,0.2749647796154022,539,
134,,539,0.23270012438297272
135,0.24712122976779938,541,
135,0.3658566176891327,543,
135,,543,0.259156197309494
136,0.3203749358654022,545,
136,0.2432010918855667,547,
136,,547,0.24906033277511597
137,0.22940976917743683,549,
137,0.4195951819419861,551,
137,,551,0.2501254677772522
138,0.2612048387527466,553,
138,0.1993812620639801,555,
138,,555,0.2686696946620941
139,0.3426215648651123,557,
139,0.2386825531721115,559,
139,,559,0.2432645857334137
140,0.23868298530578613,561,
140,0.28068557381629944,563,
140,,563,0.2346336990594864
141,0.2429967224597931,565,
141,0.2263343632221222,567,
141,,567,0.23618082702159882
142,0.28530818223953247,569,
142,0.2643203139305115,571,
142,,571,0.27084478735923767
143,0.2516461908817291,573,
143,0.3092317581176758,575,
143,,575,0.2214011251926422
144,0.273468017578125,577,
144,0.2630584239959717,579,
144,,579,0.23701339960098267
145,0.2939024269580841,581,
145,0.20215259492397308,583,
145,,583,0.2553151845932007
146,0.24197529256343842,585,
146,0.2814723551273346,587,
146,,587,0.22145682573318481
147,0.23831063508987427,589,
147,0.25394806265830994,591,
147,,591,0.23851464688777924
148,0.30169981718063354,593,
148,0.2610292136669159,595,
148,,595,0.23427201807498932
149,0.2203848659992218,597,
149,0.2889511287212372,599,
149,,599,0.2467014342546463
150,0.2375953197479248,601,
150,0.24403581023216248,603,
150,,603,0.2576863169670105
151,0.3101683557033539,605,
151,0.2458551973104477,607,
151,,607,0.2579575777053833
152,0.2499690055847168,609,
152,0.1979583501815796,611,
152,,611,0.21452154219150543
153,0.2878931760787964,613,
153,0.2756551504135132,615,
153,,615,0.26034095883369446
154,0.3269406259059906,617,
154,0.24219529330730438,619,
154,,619,0.2178095281124115
155,0.2011415958404541,621,
155,0.3194133937358856,623,
155,,623,0.32000091671943665
156,0.3154756426811218,625,
156,0.23661841452121735,627,
156,,627,0.29868459701538086
157,0.3206719756126404,629,
157,0.30157214403152466,631,
157,,631,0.3653651475906372
158,0.38705652952194214,633,
158,0.27324220538139343,635,
158,,635,0.23922967910766602
159,0.27781087160110474,637,
159,0.20512421429157257,639,
159,,639,0.20780248939990997
160,0.24376805126667023,641,
160,0.17271524667739868,643,
160,,643,0.27592143416404724
161,0.29412904381752014,645,
161,0.2616274356842041,647,
161,,647,0.2867147922515869
162,0.2813958525657654,649,
162,0.23523369431495667,651,
162,,651,0.20063868165016174
163,0.22611378133296967,653,
163,0.24417485296726227,655,
163,,655,0.197139173746109
164,0.27942192554473877,657,
164,0.3492949903011322,659,
164,,659,0.19151103496551514
165,0.36161625385284424,661,
165,0.4222734570503235,663,
165,,663,0.28038913011550903
166,0.22955597937107086,665,
166,0.2480403631925583,667,
166,,667,0.18269619345664978
167,0.25655046105384827,669,
167,0.2532268762588501,671,
167,,671,0.2550729215145111
168,0.2433786392211914,673,
168,0.16162164509296417,675,
168,,675,0.21429423987865448
169,0.232169508934021,677,
169,0.2185484766960144,679,
169,,679,0.20361663401126862
170,0.23018167912960052,681,
170,0.26850149035453796,683,
170,,683,0.24894627928733826
171,0.21717070043087006,685,
171,0.33691298961639404,687,
171,,687,0.29050150513648987
172,0.24871420860290527,689,
172,0.29799994826316833,691,
172,,691,0.3028314411640167
173,0.22191037237644196,693,
173,0.32718074321746826,695,
173,,695,0.26168081164360046
174,0.220890074968338,697,
174,0.3068598210811615,699,
174,,699,0.3145733177661896
175,0.2351521998643875,701,
175,0.38897034525871277,703,
175,,703,0.2497238665819168
176,0.22942499816417694,705,
176,0.3580910265445709,707,
176,,707,0.30675578117370605
177,0.22815805673599243,709,
177,0.26263660192489624,711,
177,,711,0.23546335101127625
178,0.21540923416614532,713,
178,0.28729385137557983,715,
178,,715,0.28044837713241577
179,0.2433622181415558,717,
179,0.3692242205142975,719,
179,,719,0.30278879404067993
180,0.21871396899223328,721,
180,0.30778342485427856,723,
180,,723,0.23841553926467896
181,0.1929779052734375,725,
181,0.3258708119392395,727,
181,,727,0.29195284843444824
182,0.2111557126045227,729,
182,0.1897095888853073,731,
182,,731,0.2362886220216751
183,0.19278600811958313,733,
183,0.37444186210632324,735,
183,,735,0.2868930697441101
184,0.23599299788475037,737,
184,0.24379421770572662,739,
184,,739,0.24753397703170776
185,0.18645691871643066,741,
185,0.3179416060447693,743,
185,,743,0.27811476588249207
186,0.2460455745458603,745,
186,0.23456446826457977,747,
186,,747,0.2400074005126953
187,0.20108157396316528,749,
187,0.36042100191116333,751,
187,,751,0.2784600853919983
188,0.23823603987693787,753,
188,0.19108349084854126,755,
188,,755,0.2456902116537094
189,0.19261789321899414,757,
189,0.2741904556751251,759,
189,,759,0.25687485933303833
190,0.19993208348751068,761,
190,0.32974910736083984,763,
190,,763,0.2622919976711273
191,0.217305526137352,765,
191,0.23652426898479462,767,
191,,767,0.2401164025068283
192,0.18868295848369598,769,
192,0.24479423463344574,771,
192,,771,0.2700769901275635
193,0.199855238199234,773,
193,0.22924919426441193,775,
193,,775,0.22988460958003998
194,0.19594453275203705,777,
194,0.35253968834877014,779,
194,,779,0.2720809876918793
195,0.20729579031467438,781,
195,0.20803973078727722,783,
195,,783,0.22900702059268951
196,0.190460205078125,785,
196,0.3347592353820801,787,
196,,787,0.27184781432151794
197,0.18617218732833862,789,
197,0.2867322564125061,791,
197,,791,0.2284432202577591
198,0.2039581835269928,793,
198,0.30137091875076294,795,
198,,795,0.2755555510520935
199,0.21388190984725952,797,
199,0.27866506576538086,799,
199,,799,0.21907147765159607
200,0.18665146827697754,801,
200,0.27262136340141296,803,
200,,803,0.2854839265346527
201,0.198843851685524,805,
201,0.2646552622318268,807,
201,,807,0.2138654589653015
202,0.1798754334449768,809,
202,0.2660566568374634,811,
202,,811,0.28284022212028503
203,0.20804162323474884,813,
203,0.2310955673456192,815,
203,,815,0.2117309719324112
204,0.2064267098903656,817,
204,0.2590569257736206,819,
204,,819,0.28210580348968506
205,0.1923411786556244,821,
205,0.2806440591812134,823,
205,,823,0.2088889181613922
206,0.18826144933700562,825,
206,0.3968733847141266,827,
206,,827,0.2890450954437256
207,0.21665260195732117,829,
207,0.2725965976715088,831,
207,,831,0.2030351310968399
208,0.19192668795585632,833,
208,0.40578919649124146,835,
208,,835,0.28483647108078003
209,0.20859357714653015,837,
209,0.23931802809238434,839,
209,,839,0.21034054458141327
210,0.19524618983268738,841,
210,0.32922297716140747,843,
210,,843,0.26721471548080444
211,0.1882232427597046,845,
211,0.16611815989017487,847,
211,,847,0.21112199127674103
212,0.19325615465641022,849,
212,0.22519637644290924,851,
212,,851,0.268167108297348
213,0.1962563842535019,853,
213,0.3320353031158447,855,
213,,855,0.2136186808347702
214,0.17012891173362732,857,
214,0.21715900301933289,859,
214,,859,0.2607955038547516
215,0.17866291105747223,861,
215,0.3177416920661926,863,
215,,863,0.21320299804210663
216,0.1928713023662567,865,
216,0.2852274179458618,867,
216,,867,0.2613460123538971
217,0.21459269523620605,869,
217,0.19257603585720062,871,
217,,871,0.20823794603347778
218,0.15826259553432465,873,
218,0.3450293242931366,875,
218,,875,0.2607903778553009
219,0.20828445255756378,877,
219,0.1912446916103363,879,
219,,879,0.2099526971578598
220,0.18836624920368195,881,
220,0.32435354590415955,883,
220,,883,0.2509182095527649
221,0.18169306218624115,885,
221,0.24105659127235413,887,
221,,887,0.2122315764427185
222,0.19657006859779358,889,
222,0.33546996116638184,891,
222,,891,0.2477128803730011
223,0.20012150704860687,893,
223,0.26564154028892517,895,
223,,895,0.20648890733718872
224,0.18742433190345764,897,
224,0.25843721628189087,899,
224,,899,0.25277549028396606
225,0.18698951601982117,901,
225,0.24467308819293976,903,
225,,903,0.20701682567596436
226,0.18608997762203217,905,
226,0.2581534683704376,907,
226,,907,0.24587465822696686
227,0.1898539513349533,909,
227,0.2642958462238312,911,
227,,911,0.2161324918270111
228,0.17710067331790924,913,
228,0.3422764539718628,915,
228,,915,0.22489717602729797
229,0.17154285311698914,917,
229,0.3690250515937805,919,
229,,919,0.22552286088466644
