step,epoch,train/loss,valid/loss
1,0,120.93412780761719,
3,0,54.948448181152344,
3,0,,39.10118865966797
5,1,27.131589889526367,
7,1,12.947689056396484,
7,1,,8.6953125
9,2,5.713505268096924,
11,2,3.2432665824890137,
11,2,,2.1288158893585205
13,3,1.467952013015747,
15,3,5.616525650024414,
15,3,,7.859532356262207
17,4,7.914793491363525,
19,4,4.744050979614258,
19,4,,3.1429624557495117
21,5,1.9286631345748901,
23,5,1.2024983167648315,
23,5,,1.1787042617797852
25,6,1.1308702230453491,
27,6,1.1756917238235474,
27,6,,1.1571431159973145
29,7,1.0670576095581055,
31,7,1.199161171913147,
31,7,,1.1112161874771118
33,8,1.1223162412643433,
35,8,1.0951497554779053,
35,8,,1.0721232891082764
37,9,1.092454433441162,
39,9,1.1143132448196411,
39,9,,1.0359296798706055
41,10,1.014787197113037,
43,10,1.0379772186279297,
43,10,,1.003206491470337
45,11,0.9920868277549744,
47,11,0.93418949842453,
47,11,,0.9730722308158875
49,12,0.9625831842422485,
51,12,0.9444775581359863,
51,12,,0.949866533279419
53,13,0.9665507078170776,
55,13,0.9568887948989868,
55,13,,0.933424711227417
57,14,0.9112526178359985,
59,14,0.9570802450180054,
59,14,,0.9234834313392639
61,15,0.918346107006073,
63,15,0.9155967831611633,
63,15,,0.9173120260238647
65,16,0.9184538125991821,
67,16,0.9714525938034058,
67,16,,0.9131889343261719
69,17,0.9055934548377991,
71,17,0.8953818678855896,
71,17,,0.9070245623588562
73,18,0.8900831341743469,
75,18,0.898442268371582,
75,18,,0.9032554626464844
77,19,0.8964871168136597,
79,19,0.8891350030899048,
79,19,,0.8952747583389282
81,20,0.9018900990486145,
83,20,0.8871477246284485,
83,20,,0.8925073742866516
85,21,0.8866106271743774,
87,21,0.9012700915336609,
87,21,,0.8881434798240662
89,22,0.8740755915641785,
91,22,0.8792544603347778,
91,22,,0.8943660259246826
93,23,0.8977611660957336,
95,23,0.8792606592178345,
95,23,,0.8829893469810486
97,24,0.8717949986457825,
99,24,0.876144289970398,
99,24,,0.8830956816673279
101,25,0.8775278925895691,
103,25,0.88849937915802,
103,25,,0.8774484992027283
105,26,0.8689492344856262,
107,26,0.8882806301116943,
107,26,,0.8766838908195496
109,27,0.8583242297172546,
111,27,0.8936683535575867,
111,27,,0.8706052303314209
113,28,0.8660694360733032,
115,28,0.9127455949783325,
115,28,,0.909257173538208
117,29,0.9133319854736328,
119,29,0.8685838580131531,
119,29,,0.8604134321212769
121,30,0.8640421032905579,
123,30,0.9065083861351013,
123,30,,0.8492173552513123
125,31,0.8404667973518372,
127,31,0.8771559000015259,
127,31,,0.8452386260032654
129,32,0.8202087879180908,
131,32,0.8181397914886475,
131,32,,0.8335888385772705
133,33,0.8323865532875061,
135,33,0.7997650504112244,
135,33,,0.8417022228240967
137,34,0.830657422542572,
139,34,0.7892301678657532,
139,34,,0.8758156299591064
141,35,0.8712621927261353,
143,35,0.8230427503585815,
143,35,,0.8376728296279907
145,36,0.859205424785614,
147,36,0.8193631768226624,
147,36,,0.8102616667747498
149,37,0.860222339630127,
151,37,1.0435054302215576,
151,37,,0.9368720054626465
153,38,0.8109849095344543,
155,38,0.88138747215271,
155,38,,0.846683144569397
157,39,0.8183807730674744,
159,39,0.8118646740913391,
159,39,,0.802355170249939
161,40,0.8000596165657043,
163,40,0.7727540135383606,
163,40,,0.8313645720481873
165,41,0.8484219908714294,
167,41,0.7708408832550049,
167,41,,0.8267939686775208
169,42,0.821276068687439,
171,42,0.8202216029167175,
171,42,,0.7963501214981079
173,43,0.8011534214019775,
175,43,0.8063279390335083,
175,43,,0.8348608613014221
177,44,0.8511685729026794,
179,44,0.7865437269210815,
179,44,,0.7916462421417236
181,45,1.0020322799682617,
183,45,1.283738136291504,
183,45,,1.1812188625335693
185,46,0.8863101601600647,
187,46,0.8352379202842712,
187,46,,0.871328592300415
189,47,0.860602617263794,
191,47,0.77829509973526,
191,47,,0.8137430548667908
193,48,0.8145706057548523,
195,48,0.9775505661964417,
195,48,,0.922172486782074
197,49,0.8129512071609497,
199,49,0.8617153763771057,
199,49,,0.8211307525634766
201,50,0.8065240979194641,
203,50,0.7716718316078186,
203,50,,0.8050302267074585
205,51,0.7753916382789612,
207,51,0.8151835203170776,
207,51,,0.7882232666015625
209,52,0.7907260060310364,
211,52,0.7517538666725159,
211,52,,0.8258748054504395
213,53,0.8561990261077881,
215,53,0.8058175444602966,
215,53,,0.8072951436042786
217,54,0.8047701716423035,
219,54,0.8170426487922668,
219,54,,0.7847827076911926
221,55,0.8053733110427856,
223,55,0.7601718902587891,
223,55,,0.7847744226455688
225,56,0.7742963433265686,
227,56,0.7871515154838562,
227,56,,0.7812801599502563
229,57,0.7763453722000122,
231,57,0.786664605140686,
231,57,,0.7800291180610657
233,58,0.7691603302955627,
235,58,0.8381205201148987,
235,58,,0.7783409357070923
237,59,0.7889813780784607,
239,59,0.7325417995452881,
239,59,,0.7761627435684204
241,60,0.7714517116546631,
243,60,0.8135841488838196,
243,60,,0.7806195020675659
245,61,0.7677765488624573,
247,61,0.7733446359634399,
247,61,,0.7832121849060059
249,62,0.7621240615844727,
251,62,0.7735978364944458,
251,62,,0.7790844440460205
253,63,0.7733697891235352,
255,63,0.7581323385238647,
255,63,,0.7730720043182373
257,64,0.7630302906036377,
259,64,0.6945803165435791,
259,64,,0.851884126663208
261,65,0.850588321685791,
263,65,0.8401203751564026,
263,65,,0.7831429243087769
265,66,0.8146846294403076,
267,66,0.8269762396812439,
267,66,,0.7733650803565979
269,67,0.7831375598907471,
271,67,0.741214394569397,
271,67,,0.8175438642501831
273,68,0.8356207013130188,
275,68,0.8856619000434875,
275,68,,0.766061007976532
277,69,0.820102870464325,
279,69,1.025848150253296,
279,69,,0.9497687816619873
281,70,0.8119933009147644,
283,70,0.8256645798683167,
283,70,,0.7997653484344482
285,71,0.7662628293037415,
287,71,0.7742528319358826,
287,71,,0.7656801342964172
