train/loss,epoch,step,valid/loss
3.44010591506958,0,1,
1.38064706325531,0,3,
,0,3,1.2532212734222412
1.1452544927597046,1,5,
1.186234474182129,1,7,
,1,7,1.1395052671432495
1.0297987461090088,2,9,
0.8805120587348938,2,11,
,2,11,0.8723644018173218
0.8510571718215942,3,13,
0.8541428446769714,3,15,
,3,15,0.8718345165252686
0.8553822636604309,4,17,
0.872964084148407,4,19,
,4,19,0.8795866370201111
0.8597205877304077,5,21,
0.8353559970855713,5,23,
,5,23,0.8634558320045471
0.9028390049934387,6,25,
0.9574429392814636,6,27,
,6,27,0.906217634677887
0.8515344858169556,7,29,
0.8453529477119446,7,31,
,7,31,0.871605634689331
0.8804140686988831,8,33,
0.809404194355011,8,35,
,8,35,0.8272750377655029
0.8226127624511719,9,37,
0.7963468432426453,9,39,
,9,39,0.8194271326065063
0.8060486316680908,10,41,
0.7827197909355164,10,43,
,10,43,0.8123885989189148
0.8124430179595947,11,45,
0.84696364402771,11,47,
,11,47,0.8096982836723328
0.787075400352478,12,49,
0.7860492467880249,12,51,
,12,51,0.8091210722923279
0.7840898036956787,13,53,
0.7504634857177734,13,55,
,13,55,0.7988907098770142
0.7827058434486389,14,57,
0.8072140216827393,14,59,
,14,59,0.8502395153045654
0.8370069861412048,15,61,
0.839825451374054,15,63,
,15,63,0.8122979998588562
0.7799407243728638,16,65,
0.8067654371261597,16,67,
,16,67,0.8305224776268005
0.7880038022994995,17,69,
0.8192809224128723,17,71,
,17,71,0.8231517672538757
0.8328431844711304,18,73,
0.7847491502761841,18,75,
,18,75,0.821272075176239
0.8141942620277405,19,77,
0.8143248558044434,19,79,
,19,79,0.8235406279563904
0.7906432151794434,20,81,
0.7585883140563965,20,83,
,20,83,0.8180170655250549
0.7986482381820679,21,85,
0.7500078678131104,21,87,
,21,87,0.8167365193367004
0.7904249429702759,22,89,
0.7595128417015076,22,91,
,22,91,0.8142812252044678
0.7835075855255127,23,93,
0.8429300785064697,23,95,
,23,95,0.8116734027862549
0.7947958111763,24,97,
0.7277730107307434,24,99,
,24,99,0.8899977803230286
0.9753610491752625,25,101,
0.7463749051094055,25,103,
,25,103,0.8586926460266113
0.7511968016624451,26,105,
0.9329702854156494,26,107,
,26,107,0.9749957323074341
0.9295164942741394,27,109,
0.762582540512085,27,111,
,27,111,0.7996360659599304
0.8666419386863708,28,113,
0.829088032245636,28,115,
,28,115,0.8018835186958313
0.7465748190879822,29,117,
0.7671958208084106,29,119,
,29,119,0.7699712514877319
0.7596482038497925,30,121,
0.7366122007369995,30,123,
,30,123,0.7663408517837524
0.7528225183486938,31,125,
0.7162659168243408,31,127,
,31,127,0.7711845636367798
0.7658149600028992,32,129,
0.7740270495414734,32,131,
,32,131,0.7713115215301514
0.7637621164321899,33,133,
0.7682599425315857,33,135,
,33,135,0.8360345363616943
0.8105396032333374,34,137,
0.7784902453422546,34,139,
,34,139,0.8739496469497681
0.9642743468284607,35,141,
0.9548632502555847,35,143,
,35,143,0.811709463596344
0.7462987899780273,36,145,
0.8266267776489258,36,147,
,36,147,0.7620031833648682
0.7532560229301453,37,149,
0.760046660900116,37,151,
,37,151,0.7551177740097046
0.7310499548912048,38,153,
0.7636147737503052,38,155,
,38,155,0.752017080783844
0.7332439422607422,39,157,
0.7429972290992737,39,159,
,39,159,0.7649716734886169
0.7479685544967651,40,161,
0.709943413734436,40,163,
,40,163,0.7623069882392883
0.7391291856765747,41,165,
0.7334983348846436,41,167,
,41,167,0.7450920343399048
0.766229510307312,42,169,
0.7549406886100769,42,171,
,42,171,0.7438376545906067
0.7323371171951294,43,173,
0.7566273212432861,43,175,
,43,175,0.7576096057891846
0.7221236824989319,44,177,
0.687903106212616,44,179,
,44,179,0.7599794268608093
0.7267071008682251,45,181,
0.6902815699577332,45,183,
,45,183,0.7386190295219421
0.720687985420227,46,185,
0.713412344455719,46,187,
,46,187,0.7530403137207031
0.7224481701850891,47,189,
0.6597839593887329,47,191,
,47,191,0.8186233043670654
0.8141888380050659,48,193,
0.7305825352668762,48,195,
,48,195,0.7596085071563721
0.7883515357971191,49,197,
0.8223841786384583,49,199,
,49,199,0.7416932582855225
0.7613875269889832,50,201,
0.6760791540145874,50,203,
,50,203,0.7521364092826843
0.7751703262329102,51,205,
0.7329961657524109,51,207,
,51,207,0.7793337106704712
0.8074617981910706,52,209,
0.7005682587623596,52,211,
,52,211,0.7483365535736084
0.7417054772377014,53,213,
0.7328657507896423,53,215,
,53,215,0.7712355256080627
0.7501703500747681,54,217,
0.8256273865699768,54,219,
,54,219,0.7375541925430298
0.7827892303466797,55,221,
0.6963674426078796,55,223,
,55,223,0.7351529598236084
0.7250369787216187,56,225,
0.7595973014831543,56,227,
,56,227,0.753700315952301
0.7650993466377258,57,229,
0.7254462242126465,57,231,
,57,231,0.7264026403427124
0.7348487973213196,58,233,
0.7009517550468445,58,235,
,58,235,0.7551425099372864
0.7838395833969116,59,237,
0.6670306921005249,59,239,
,59,239,0.7252384424209595
0.7221494913101196,60,241,
0.7515034079551697,60,243,
,60,243,0.718920111656189
0.7294121384620667,61,245,
0.6797897219657898,61,247,
,61,247,0.7170553803443909
0.7003774642944336,62,249,
0.6851033568382263,62,251,
,62,251,0.7172749042510986
0.7235371470451355,63,253,
0.6871850490570068,63,255,
,63,255,0.7135202884674072
0.7074511647224426,64,257,
0.6177468299865723,64,259,
,64,259,0.7403809428215027
0.7058675289154053,65,261,
0.7630986571311951,65,263,
,65,263,0.7278780341148376
0.6930779814720154,66,265,
0.7020458579063416,66,267,
