train/loss,step,epoch,valid/loss
4.244156837463379,1,0,
41.71432113647461,3,0,
,3,0,3.2056186199188232
1.007206678390503,5,1,
1.1170012950897217,7,1,
,7,1,1.0443024635314941
0.9734132289886475,9,2,
0.9836620092391968,11,2,
,11,2,0.9122875332832336
0.9124875664710999,13,3,
0.8980717062950134,15,3,
,15,3,0.893547773361206
0.8985072374343872,17,4,
0.8857122659683228,19,4,
,19,4,0.8939523100852966
0.8768912553787231,21,5,
0.8897831439971924,23,5,
,23,5,0.8867138624191284
0.8860040307044983,25,6,
0.8848806619644165,27,6,
,27,6,0.8828969597816467
0.8617144227027893,29,7,
0.8832917809486389,31,7,
,31,7,0.8809590935707092
0.8678292036056519,33,8,
0.8915090560913086,35,8,
,35,8,0.8776767253875732
0.8781355023384094,37,9,
0.886744499206543,39,9,
,39,9,0.8766771554946899
0.8608354926109314,41,10,
0.8513476848602295,43,10,
,43,10,0.8842530846595764
0.8913896679878235,45,11,
0.8632962107658386,47,11,
,47,11,0.8716307282447815
0.8576689958572388,49,12,
0.8438009023666382,51,12,
,51,12,0.8740742206573486
0.8668830394744873,53,13,
0.861328661441803,55,13,
,55,13,0.8700259923934937
0.8858130574226379,57,14,
0.8372750282287598,59,14,
,59,14,0.873791515827179
0.8451641798019409,61,15,
0.8313655257225037,63,15,
,63,15,0.8669788241386414
0.8557829856872559,65,16,
0.8768078684806824,67,16,
,67,16,0.8701823353767395
0.8712707757949829,69,17,
0.8395124673843384,71,17,
,71,17,0.8570412397384644
0.8269256949424744,73,18,
0.8563997745513916,75,18,
,75,18,0.8512042164802551
0.8357884287834167,77,19,
0.8634618520736694,79,19,
,79,19,0.8498809337615967
0.8424229025840759,81,20,
0.8251098990440369,83,20,
,83,20,0.8413894176483154
0.8232203722000122,85,21,
0.7753037810325623,87,21,
,87,21,0.828965425491333
0.7992172837257385,89,22,
0.8740057945251465,91,22,
,91,22,0.8511039018630981
0.8059974908828735,93,23,
1.184517741203308,95,23,
,95,23,1.051236629486084
0.7118071913719177,97,24,
0.8038215041160583,99,24,
,99,24,0.8460729718208313
0.7898144721984863,101,25,
2.1872129440307617,103,25,
,103,25,1.4501030445098877
0.6775786280632019,105,26,
0.7613651156425476,107,26,
,107,26,0.827934741973877
0.7698708772659302,109,27,
0.9731761813163757,111,27,
,111,27,0.9144781231880188
0.7069259285926819,113,28,
0.8099851608276367,115,28,
,115,28,0.7988871932029724
0.7297676205635071,117,29,
1.5200586318969727,119,29,
,119,29,1.189206600189209
0.8073430061340332,121,30,
0.8018106818199158,123,30,
,123,30,0.7597079277038574
0.7110157012939453,125,31,
1.1683213710784912,127,31,
,127,31,0.9026792049407959
0.6826868057250977,129,32,
0.8436993956565857,131,32,
,131,32,0.820331871509552
0.7499255537986755,133,33,
0.9904417991638184,135,33,
,135,33,0.9409797191619873
0.6633694171905518,137,34,
0.907170832157135,139,34,
,139,34,0.8274765610694885
0.7721997499465942,141,35,
0.8671714067459106,143,35,
,143,35,0.7564692497253418
0.6542543768882751,145,36,
0.6335434317588806,147,36,
,147,36,0.6618528962135315
0.680817186832428,149,37,
0.6447815895080566,151,37,
,151,37,0.6425293684005737
0.6995421648025513,153,38,
0.6684811115264893,155,38,
,155,38,0.6769068837165833
0.637990415096283,157,39,
0.6903558969497681,159,39,
,159,39,0.7185776233673096
0.623989999294281,161,40,
1.7680845260620117,163,40,
,163,40,1.2314199209213257
0.6531708836555481,165,41,
0.82412189245224,167,41,
,167,41,0.807445764541626
0.7111062407493591,169,42,
0.6729539036750793,171,42,
,171,42,0.7363141775131226
0.643192708492279,173,43,
0.6726940274238586,175,43,
,175,43,0.6256303787231445
0.6267722249031067,177,44,
0.6161468625068665,179,44,
,179,44,0.6139727830886841
0.6806973814964294,181,45,
0.6578367948532104,183,45,
