epoch,valid/loss,step,train/loss
0,0.3574405014514923,3,
1,0.2654959261417389,7,
2,0.24245218932628632,11,
3,0.237003892660141,15,
4,0.23460084199905396,19,
5,0.2283361405134201,23,
6,0.22782844305038452,27,
7,0.22632427513599396,31,
8,0.22450031340122223,35,
9,0.22332733869552612,39,
10,0.2224869728088379,43,
11,0.2213525027036667,47,
12,0.22123609483242035,51,
13,0.22276660799980164,55,
14,0.22115197777748108,59,
15,0.21730509400367737,63,
16,0.216423898935318,67,
17,0.2152472883462906,71,
18,0.21349050104618073,75,
19,0.21690109372138977,79,
20,0.21037614345550537,83,
21,0.21459661424160004,87,
22,0.22876571118831635,91,
23,0.2159109115600586,95,
24,,99,0.20644411444664001
24,0.210008442401886,99,
25,0.2090083658695221,103,
26,0.20831041038036346,107,
27,0.2061968445777893,111,
28,0.20533393323421478,115,
29,0.22333650290966034,119,
30,0.20717960596084595,123,
31,0.20333229005336761,127,
32,0.19940418004989624,131,
33,0.19886645674705505,135,
34,0.19775478541851044,139,
35,0.19449903070926666,143,
36,0.1943800300359726,147,
37,0.1918034702539444,151,
38,0.1903018206357956,155,
39,0.1942012459039688,159,
40,0.19073820114135742,163,
41,0.18721452355384827,167,
42,0.19063729047775269,171,
43,0.19150981307029724,175,
44,0.1932554394006729,179,
45,0.18683786690235138,183,
46,0.18426856398582458,187,
47,0.1818264126777649,191,
48,0.18332821130752563,195,
49,,199,0.17795468866825104
49,0.1794613003730774,199,
50,0.18095892667770386,203,
51,0.17783984541893005,207,
52,0.17706242203712463,211,
53,0.177398219704628,215,
54,0.17520566284656525,219,
55,0.1781269907951355,223,
56,0.17652536928653717,227,
57,0.1747174710035324,231,
58,0.17448806762695312,235,
59,0.17359548807144165,239,
60,0.17332714796066284,243,
61,0.16977331042289734,247,
62,0.17114725708961487,251,
63,0.17007549107074738,255,
64,0.16810619831085205,259,
65,0.16687016189098358,263,
66,0.16740651428699493,267,
67,0.16501599550247192,271,
68,0.16490870714187622,275,
69,0.16439832746982574,279,
70,0.16349004209041595,283,
71,0.16858071088790894,287,
72,0.16254542768001556,291,
73,0.16177640855312347,295,
74,,299,0.156963512301445
74,0.16255541145801544,299,
75,0.16169030964374542,303,
76,0.16253826022148132,307,
77,0.16130651533603668,311,
78,0.15824411809444427,315,
79,0.1595320850610733,319,
80,0.15666447579860687,323,
81,0.16062141954898834,327,
82,0.15911510586738586,331,
83,0.15571682155132294,335,
84,0.1549510657787323,339,
85,0.15393367409706116,343,
86,0.15600736439228058,347,
87,0.1552506983280182,351,
88,0.15265439450740814,355,
89,0.15196441113948822,359,
90,0.15156672894954681,363,
91,0.15179508924484253,367,
92,0.15108107030391693,371,
93,0.15162064135074615,375,
94,0.15007619559764862,379,
95,0.14881013333797455,383,
96,0.14859986305236816,387,
97,0.14779283106327057,391,
98,0.14677776396274567,395,
99,,399,0.14952252805233002
99,0.14619776606559753,399,
100,0.14514751732349396,403,
101,0.14700406789779663,407,
102,0.14424774050712585,411,
103,0.14438599348068237,415,
104,0.14578023552894592,419,
105,0.14198735356330872,423,
106,0.14277784526348114,427,
107,0.14335599541664124,431,
108,0.1404201239347458,435,
109,0.14208395779132843,439,
110,0.1388857215642929,443,
111,0.1400890350341797,447,
112,0.13766486942768097,451,
113,0.13881558179855347,455,
114,0.1420673131942749,459,
115,0.13769227266311646,463,
116,0.1410592645406723,467,
117,0.14253182709217072,471,
118,0.13619621098041534,475,
119,0.1349651962518692,479,
120,0.13643255829811096,483,
121,0.13486580550670624,487,
122,0.13279645144939423,491,
123,0.140517920255661,495,
124,,499,0.13689784705638885
124,0.13534650206565857,499,
125,0.1336984634399414,503,
126,0.1322917491197586,507,
127,0.13086314499378204,511,
128,0.1289224475622177,515,
129,0.13423186540603638,519,
130,0.12747415900230408,523,
131,0.12795187532901764,527,
132,0.12643662095069885,531,
133,0.1288558393716812,535,
134,0.12916161119937897,539,
135,0.12487833201885223,543,
136,0.12481208145618439,547,
137,0.12421625107526779,551,
138,0.12433761358261108,555,
139,0.12193766236305237,559,
140,0.12411290407180786,563,
141,0.12133343517780304,567,
142,0.11985448002815247,571,
143,0.1206679716706276,575,
144,0.1253756582736969,579,
145,0.12023377418518066,583,
146,0.11899713426828384,587,
147,0.11760012805461884,591,
148,0.11712805926799774,595,
149,,599,0.11428924649953842
149,0.11540617048740387,599,
150,0.11613625288009644,603,
151,0.11629100143909454,607,
152,0.11607877910137177,611,
153,0.11836494505405426,615,
154,0.11455223709344864,619,
155,0.11323133111000061,623,
156,0.11753122508525848,627,
157,0.1123817041516304,631,
158,0.11279403418302536,635,
159,0.10987094044685364,639,
160,0.10920235514640808,643,
161,0.11229296028614044,647,
162,0.10987257957458496,651,
163,0.10897919535636902,655,
164,0.10777022689580917,659,
165,0.10965002328157425,663,
166,0.11008092761039734,667,
167,0.11202458292245865,671,
168,0.10632585734128952,675,
169,0.10704205185174942,679,
170,0.10711674392223358,683,
171,0.10546264052391052,687,
172,0.10467271506786346,691,
173,0.1045491024851799,695,
174,,699,0.0967625081539154
174,0.10410241037607193,699,
175,0.1036924421787262,703,
176,0.10455746948719025,707,
177,0.102962926030159,711,
178,0.1037425771355629,715,
179,0.10221628099679947,719,
180,0.10182122886180878,723,
181,0.10235729813575745,727,
182,0.10218854248523712,731,
183,0.10074251890182495,735,
184,0.1011081412434578,739,
185,0.10072623938322067,743,
186,0.10101428627967834,747,
187,0.10261423140764236,751,
188,0.0995408445596695,755,
189,0.1017940416932106,759,
190,0.10381845384836197,763,
191,0.09954027086496353,767,
