step,valid/loss,epoch,train/loss
3,0.5749627351760864,0,
7,0.37447303533554077,1,
11,0.26518943905830383,2,
15,0.2293611764907837,3,
19,0.23350965976715088,4,
23,0.22570234537124634,5,
27,0.23419202864170074,6,
31,0.2242077887058258,7,
35,0.22638273239135742,8,
39,0.22927656769752502,9,
43,0.2247842252254486,10,
47,0.22264154255390167,11,
51,0.22219760715961456,12,
55,0.22145552933216095,13,
59,0.22169406712055206,14,
63,0.21880567073822021,15,
67,0.2172897905111313,16,
71,0.2151670902967453,17,
75,0.21455149352550507,18,
79,0.21315214037895203,19,
83,0.2130199372768402,20,
87,0.20180687308311462,21,
91,0.19769439101219177,22,
95,0.19667787849903107,23,
99,,24,0.1874258667230606
99,0.18944051861763,24,
103,0.18446345627307892,25,
107,0.18043400347232819,26,
111,0.17443639039993286,27,
115,0.1651555895805359,28,
119,0.15746526420116425,29,
123,0.15360328555107117,30,
127,0.14415784180164337,31,
131,0.14270003139972687,32,
135,0.13694076240062714,33,
139,0.12427590042352676,34,
143,0.12471604347229004,35,
147,0.12457036226987839,36,
151,0.11398392915725708,37,
155,0.10690875351428986,38,
159,0.09434355050325394,39,
163,0.08876962959766388,40,
167,0.08500096946954727,41,
171,0.07510525733232498,42,
175,0.06588006764650345,43,
179,0.05832555890083313,44,
183,0.05829809978604317,45,
187,0.051209770143032074,46,
191,0.04558277502655983,47,
195,0.041767314076423645,48,
199,,49,0.03727283328771591
199,0.04163290187716484,49,
203,0.03726566582918167,50,
207,0.03624095022678375,51,
211,0.034190911799669266,52,
215,0.03334445133805275,53,
219,0.030129091814160347,54,
223,0.029248351231217384,55,
227,0.02685702033340931,56,
231,0.024614444002509117,57,
235,0.023992033675312996,58,
239,0.022420071065425873,59,
243,0.021188080310821533,60,
247,0.02056809514760971,61,
251,0.019085707142949104,62,
255,0.017437977716326714,63,
259,0.01654481515288353,64,
263,0.01517019234597683,65,
267,0.014164899475872517,66,
271,0.013169623911380768,67,
275,0.01481261570006609,68,
279,0.010928762145340443,69,
283,0.011092227883636951,70,
287,0.010437515564262867,71,
291,0.010108370333909988,72,
295,0.010336769744753838,73,
299,,74,0.008543968200683594
299,0.009221444837749004,74,
303,0.008728316985070705,75,
307,0.009101714007556438,76,
311,0.008519498631358147,77,
315,0.08252813667058945,78,
319,0.018464885652065277,79,
323,0.016137676313519478,80,
327,0.013904287479817867,81,
331,0.012147086672484875,82,
335,0.012407598085701466,83,
339,0.011472921818494797,84,
343,0.012984739616513252,85,
347,0.011322367005050182,86,
351,0.017264338210225105,87,
355,0.009643333032727242,88,
359,0.009956957772374153,89,
363,0.009304994717240334,90,
367,0.008181959390640259,91,
371,0.007473121862858534,92,
375,0.0074391113594174385,93,
379,0.008039412088692188,94,
383,0.0076828571036458015,95,
387,0.00962888728827238,96,
391,0.009837976656854153,97,
395,0.008711790665984154,98,
399,,99,0.01615646854043007
399,0.01288820430636406,99,
403,0.010612675920128822,100,
407,0.014967609196901321,101,
411,0.01144365593791008,102,
415,0.009520280174911022,103,
419,0.010472490452229977,104,
423,0.010149197652935982,105,
427,0.010883527807891369,106,
431,0.009208240546286106,107,
435,0.007978842593729496,108,
439,0.007316370494663715,109,
443,0.007232683710753918,110,
447,0.006871051620692015,111,
451,0.006623504683375359,112,
455,0.006625490728765726,113,
459,0.006498890928924084,114,
463,0.006405283696949482,115,
467,0.0063491081818938255,116,
471,0.005891148466616869,117,
475,0.005854673217982054,118,
479,0.006172762718051672,119,
483,0.006068804766982794,120,
487,0.005908525083214045,121,
491,0.005659133195877075,122,
495,0.005824071820825338,123,
499,,124,0.004527899902313948
499,0.005760526284575462,124,
503,0.0056219929829239845,125,
507,0.006157441530376673,126,
511,0.005666203331202269,127,
515,0.005008597858250141,128,
519,0.0057361312210559845,129,
523,0.005670960992574692,130,
527,0.027320852503180504,131,
531,0.02186567336320877,132,
535,0.012267912738025188,133,
539,0.020438527688384056,134,
543,0.01261879876255989,135,
547,0.012294874526560307,136,
551,0.009757726453244686,137,
555,0.006974631920456886,138,
559,0.00816289708018303,139,
563,0.007328378967940807,140,
567,0.0067744385451078415,141,
571,0.007096255198121071,142,
575,0.006275360472500324,143,
579,0.006174137815833092,144,
583,0.007032298017293215,145,
587,0.006076475605368614,146,
591,0.005958503112196922,147,
595,0.006896666716784239,148,
599,,149,0.005708291195333004
599,0.005908994469791651,149,
603,0.006840123329311609,150,
607,0.006573022808879614,151,
611,0.00641305185854435,152,
615,0.007359558716416359,153,
619,0.007842903956770897,154,
623,0.016172511503100395,155,
627,0.014140055514872074,156,
631,0.0072976709343492985,157,
635,0.008334760554134846,158,
639,0.006895390804857016,159,
643,0.005772349424660206,160,
647,0.006102056708186865,161,
651,0.005920846946537495,162,
655,0.005144809372723103,163,
659,0.006501179188489914,164,
663,0.005338920745998621,165,
667,0.005882745608687401,166,
671,0.005107759032398462,167,
675,0.010176417417824268,168,
679,0.0064813969656825066,169,
683,0.006119051948189735,170,
687,0.005584619008004665,171,
691,0.02817501872777939,172,
695,0.021153366193175316,173,
699,,174,0.01588600128889084
699,0.02218003198504448,174,
703,0.016122210770845413,175,
707,0.012141224928200245,176,
711,0.008650587871670723,177,
715,0.008050980977714062,178,
719,0.006185518577694893,179,
723,0.006174701265990734,180,
727,0.00698666088283062,181,
731,0.006797150243073702,182,
735,0.005415780935436487,183,
739,0.005434798076748848,184,
743,0.005658062174916267,185,
747,0.005557492841035128,186,
751,0.00502992095425725,187,
755,0.004936586134135723,188,
759,0.004990013781934977,189,
763,0.004969819448888302,190,
