epoch,valid/loss,step,train/loss
0,0.651594877243042,3,
1,0.4423621892929077,7,
2,0.3129279613494873,11,
3,0.2599330246448517,15,
4,0.24527527391910553,19,
5,0.23685339093208313,23,
6,0.23683546483516693,27,
7,0.24260950088500977,31,
8,0.2314678579568863,35,
9,0.23532234132289886,39,
10,0.23692525923252106,43,
11,0.22768917679786682,47,
12,0.23419739305973053,51,
13,0.2319599986076355,55,
14,0.22653087973594666,59,
15,0.22578218579292297,63,
16,0.22696663439273834,67,
17,0.22567635774612427,71,
18,0.22651372849941254,75,
19,0.2256380021572113,79,
20,0.22926181554794312,83,
21,0.2258640080690384,87,
22,0.22745756804943085,91,
23,0.22397059202194214,95,
24,,99,0.2249908447265625
24,0.22470536828041077,99,
25,0.22370223701000214,103,
26,0.22304655611515045,107,
27,0.22310329973697662,111,
28,0.22217367589473724,115,
29,0.22351112961769104,119,
30,0.2219504714012146,123,
31,0.22355987131595612,127,
32,0.22123724222183228,131,
33,0.22102083265781403,135,
34,0.22356826066970825,139,
35,0.22033804655075073,143,
36,0.21981298923492432,147,
37,0.21856926381587982,151,
38,0.21829040348529816,155,
39,0.21665741503238678,159,
40,0.2160991132259369,163,
41,0.21521826088428497,167,
42,0.22007106244564056,171,
43,0.2137366235256195,175,
44,0.2142964005470276,179,
45,0.21229401230812073,183,
46,0.21206972002983093,187,
47,0.21465177834033966,191,
48,0.20990656316280365,195,
49,,199,0.20724889636039734
49,0.21189875900745392,199,
50,0.20808349549770355,203,
51,0.20879818499088287,207,
52,0.20900987088680267,211,
53,0.20631031692028046,215,
54,0.20655418932437897,219,
55,0.20534346997737885,223,
56,0.2021554708480835,227,
57,0.20320501923561096,231,
58,0.20331010222434998,235,
59,0.2041667103767395,239,
60,0.1990419328212738,243,
61,0.19717426598072052,247,
62,0.1986069530248642,251,
63,0.19625654816627502,255,
64,0.19434542953968048,259,
65,0.19573697447776794,263,
66,0.19181978702545166,267,
67,0.19071447849273682,271,
68,0.19123263657093048,275,
69,0.19107702374458313,279,
70,0.1871778815984726,283,
71,0.18690365552902222,287,
72,0.184952050447464,291,
73,0.18321651220321655,295,
74,,299,0.18003126978874207
74,0.18756315112113953,299,
75,0.18002033233642578,303,
76,0.1809372454881668,307,
77,0.180713951587677,311,
78,0.18160001933574677,315,
79,0.179611936211586,319,
80,0.17790760099887848,323,
81,0.17514663934707642,327,
82,0.1754976063966751,331,
83,0.1732049435377121,335,
84,0.17082399129867554,339,
85,0.16953372955322266,343,
86,0.1672268509864807,347,
87,0.1655954122543335,351,
88,0.16437262296676636,355,
89,0.16585417091846466,359,
90,0.1619507074356079,363,
91,0.1641169786453247,367,
92,0.16250495612621307,371,
93,0.16009582579135895,375,
94,0.159309521317482,379,
95,0.16013354063034058,383,
96,0.15800096094608307,387,
97,0.16061678528785706,391,
98,0.1555507928133011,395,
99,,399,0.15682297945022583
99,0.15722721815109253,399,
100,0.15383486449718475,403,
101,0.15361210703849792,407,
102,0.15046659111976624,411,
103,0.14854221045970917,415,
104,0.1481640636920929,419,
105,0.14669419825077057,423,
106,0.1432390809059143,427,
107,0.14222796261310577,431,
108,0.1475014090538025,435,
109,0.13937146961688995,439,
110,0.14018622040748596,443,
111,0.1400437355041504,447,
112,0.13647983968257904,451,
