valid/loss,step,epoch,train/loss
3.4231138229370117,3,0,
1.6463946104049683,7,1,
0.7568764686584473,11,2,
0.43706047534942627,15,3,
0.3651365041732788,19,4,
0.3415585458278656,23,5,
0.2962256669998169,27,6,
0.2669551968574524,31,7,
0.2618523836135864,35,8,
0.25455600023269653,39,9,
0.2485620081424713,43,10,
0.2448563575744629,47,11,
0.2430907040834427,51,12,
0.24106931686401367,55,13,
0.23818057775497437,59,14,
0.23677273094654083,63,15,
0.23637981712818146,67,16,
0.23402148485183716,71,17,
0.2338472306728363,75,18,
0.232927143573761,79,19,
0.23272672295570374,83,20,
0.23249083757400513,87,21,
0.23269270360469818,91,22,
0.23166082799434662,95,23,
,99,24,0.23761270940303802
0.23175378143787384,99,24,
0.23485015332698822,103,25,
0.2338809072971344,107,26,
0.23061692714691162,111,27,
0.23050765693187714,115,28,
0.2315492182970047,119,29,
0.23010024428367615,123,30,
0.23089757561683655,127,31,
0.2307562381029129,131,32,
0.23043443262577057,135,33,
0.23071780800819397,139,34,
0.22970595955848694,143,35,
0.22984673082828522,147,36,
0.22886714339256287,151,37,
0.22958794236183167,155,38,
0.22879955172538757,159,39,
0.22931712865829468,163,40,
0.2283070683479309,167,41,
0.2303960919380188,171,42,
0.23238109052181244,175,43,
0.22806701064109802,179,44,
0.2294354885816574,183,45,
0.22900384664535522,187,46,
0.2296845018863678,191,47,
0.22927531599998474,195,48,
,199,49,0.2302425056695938
0.2301083505153656,199,49,
0.22989697754383087,203,50,
0.2307097613811493,207,51,
0.2292470484972,211,52,
0.22808021306991577,215,53,
0.22763074934482574,219,54,
0.22788472473621368,223,55,
0.2276456505060196,227,56,
0.22863416373729706,231,57,
0.2277221828699112,235,58,
0.22844798862934113,239,59,
0.22758787870407104,243,60,
0.22698692977428436,247,61,
0.22797797620296478,251,62,
0.2311750054359436,255,63,
0.2270873486995697,259,64,
0.22718290984630585,263,65,
0.2274818867444992,267,66,
0.22647430002689362,271,67,
0.22730062901973724,275,68,
0.22772297263145447,279,69,
0.22750355303287506,283,70,
0.2274934947490692,287,71,
0.22643323242664337,291,72,
0.22687271237373352,295,73,
,299,74,0.2247394174337387
0.2264443188905716,299,74,
0.226562038064003,303,75,
0.22781877219676971,307,76,
0.22611041367053986,311,77,
0.2260710597038269,315,78,
0.22800520062446594,319,79,
0.22728820145130157,323,80,
0.22689399123191833,327,81,
0.22707809507846832,331,82,
0.22595983743667603,335,83,
0.22572171688079834,339,84,
0.2257990837097168,343,85,
0.22557328641414642,347,86,
0.2267581820487976,351,87,
0.22594903409481049,355,88,
0.22582150995731354,359,89,
0.2251456379890442,363,90,
0.2262285351753235,367,91,
0.2272065132856369,371,92,
0.22816570103168488,375,93,
0.2289792001247406,379,94,
0.22662657499313354,383,95,
0.22602297365665436,387,96,
0.22528614103794098,391,97,
0.22498615086078644,395,98,
,399,99,0.2319456785917282
0.22487647831439972,399,99,
0.22812002897262573,403,100,
0.2251926064491272,407,101,
0.22631452977657318,411,102,
0.22497327625751495,415,103,
0.22497515380382538,419,104,
0.224627286195755,423,105,
0.22513210773468018,427,106,
0.22660641372203827,431,107,
0.22612720727920532,435,108,
0.22501353919506073,439,109,
0.2260320782661438,443,110,
0.22482842206954956,447,111,
0.22559547424316406,451,112,
0.22510194778442383,455,113,
0.2262597531080246,459,114,
0.2276967167854309,463,115,
0.22734256088733673,467,116,
0.22575005888938904,471,117,
0.22580359876155853,475,118,
0.22637979686260223,479,119,
0.2253386378288269,483,120,
0.22545458376407623,487,121,
0.22551973164081573,491,122,
0.22526653110980988,495,123,
,499,124,0.22297175228595734
0.22513531148433685,499,124,
0.2245575189590454,503,125,
0.2248341590166092,507,126,
0.22446544468402863,511,127,
0.2241424173116684,515,128,
0.22387325763702393,519,129,
0.22433046996593475,523,130,
0.22580869495868683,527,131,
0.22423453629016876,531,132,
0.22863708436489105,535,133,
0.22616949677467346,539,134,
0.22712184488773346,543,135,
0.22560931742191315,547,136,
0.2255094200372696,551,137,
0.22383010387420654,555,138,
0.22696565091609955,559,139,
0.2241148054599762,563,140,
0.22611770033836365,567,141,
0.2248764932155609,571,142,
0.22636395692825317,575,143,
0.22353322803974152,579,144,
0.22699390351772308,583,145,
0.22476114332675934,587,146,
0.22427934408187866,591,147,
0.2236345261335373,595,148,
,599,149,0.222074493765831
0.22356879711151123,599,149,
0.22397631406784058,603,150,
0.22345806658267975,607,151,
0.22527900338172913,611,152,
0.2244843989610672,615,153,
0.2232254445552826,619,154,
0.2234218418598175,623,155,
0.2237551361322403,627,156,
0.22489972412586212,631,157,
0.22347670793533325,635,158,
0.22348275780677795,639,159,
0.2254844605922699,643,160,
0.22357729077339172,647,161,
0.22465892136096954,651,162,
0.2246304154396057,655,163,
0.2257421910762787,659,164,
0.22555507719516754,663,165,
0.22283759713172913,667,166,
0.22300681471824646,671,167,
0.2236720621585846,675,168,
0.2232469618320465,679,169,
0.22596901655197144,683,170,
0.2240706980228424,687,171,
0.22517947852611542,691,172,
0.22376814484596252,695,173,
,699,174,0.2212575227022171
0.22306197881698608,699,174,
0.2234419882297516,703,175,
0.22267693281173706,707,176,
0.22347798943519592,711,177,
0.22285068035125732,715,178,
0.22269561886787415,719,179,
0.22262926399707794,723,180,
0.22249680757522583,727,181,
0.22232145071029663,731,182,
0.22311538457870483,735,183,
0.2225838601589203,739,184,
0.22259582579135895,743,185,
0.22395379841327667,747,186,
0.22247695922851562,751,187,
0.22311900556087494,755,188,
0.22260414063930511,759,189,
0.22324562072753906,763,190,
0.22222021222114563,767,191,
