epoch,step,valid/loss,train/loss
0,3,3.994412422180176,
1,7,1.9753957986831665,
2,11,1.2863388061523438,
3,15,0.9710128307342529,
4,19,0.7468646764755249,
5,23,0.569921612739563,
6,27,0.42714735865592957,
7,31,0.32710525393486023,
8,35,0.3014198839664459,
9,39,0.29909420013427734,
10,43,0.2808094322681427,
11,47,0.2725525498390198,
12,51,0.26192620396614075,
13,55,0.25308534502983093,
14,59,0.24606314301490784,
15,63,0.24084025621414185,
16,67,0.23601692914962769,
17,71,0.23549583554267883,
18,75,0.23414359986782074,
19,79,0.2334490269422531,
20,83,0.23254051804542542,
21,87,0.2312738001346588,
22,91,0.2307911515235901,
23,95,0.23021632432937622,
24,99,,0.23697765171527863
24,99,0.2297513633966446,
25,103,0.22958828508853912,
26,107,0.2288539558649063,
27,111,0.22881358861923218,
28,115,0.2282087504863739,
29,119,0.22763274610042572,
30,123,0.2273937463760376,
31,127,0.22720107436180115,
32,131,0.2271001935005188,
33,135,0.22628766298294067,
34,139,0.22660794854164124,
35,143,0.2261405736207962,
36,147,0.22576884925365448,
37,151,0.22595910727977753,
38,155,0.22542615234851837,
39,159,0.2257446050643921,
40,163,0.22511617839336395,
41,167,0.22509866952896118,
42,171,0.22533702850341797,
43,175,0.22497758269309998,
44,179,0.22477231919765472,
45,183,0.22468677163124084,
46,187,0.22490666806697845,
47,191,0.22504739463329315,
48,195,0.22442588210105896,
49,199,,0.22263386845588684
49,199,0.22427396476268768,
50,203,0.22452090680599213,
51,207,0.22406478226184845,
52,211,0.22403064370155334,
53,215,0.2240169197320938,
54,219,0.22404411435127258,
55,223,0.22396059334278107,
56,227,0.22357754409313202,
57,231,0.2237546145915985,
58,235,0.2235468029975891,
59,239,0.2238573431968689,
60,243,0.2235623300075531,
61,247,0.22321753203868866,
62,251,0.2231140285730362,
63,255,0.22300279140472412,
64,259,0.22316981852054596,
65,263,0.22285743057727814,
66,267,0.22325599193572998,
67,271,0.22264070808887482,
68,275,0.22294026613235474,
69,279,0.22265075147151947,
70,283,0.22303801774978638,
71,287,0.2228640913963318,
72,291,0.22294200956821442,
73,295,0.22316884994506836,
74,299,,0.22064054012298584
74,299,0.22236676514148712,
75,303,0.2229071855545044,
76,307,0.22249411046504974,
77,311,0.22204676270484924,
78,315,0.2220195233821869,
79,319,0.22202028334140778,
80,323,0.2216806858778,
81,327,0.22173331677913666,
82,331,0.22181013226509094,
83,335,0.22164899110794067,
84,339,0.22167912125587463,
85,343,0.22147567570209503,
86,347,0.2217276692390442,
87,351,0.22203180193901062,
88,355,0.22149255871772766,
89,359,0.22144672274589539,
90,363,0.221463143825531,
91,367,0.22157302498817444,
92,371,0.22156934440135956,
93,375,0.22188617289066315,
94,379,0.22121687233448029,
95,383,0.22125285863876343,
96,387,0.2218467742204666,
97,391,0.22107826173305511,
98,395,0.22114646434783936,
99,399,,0.2244510054588318
99,399,0.22050896286964417,
100,403,0.22115255892276764,
101,407,0.22092309594154358,
102,411,0.220692440867424,
103,415,0.22092504799365997,
104,419,0.22029739618301392,
105,423,0.22035986185073853,
106,427,0.2201138287782669,
107,431,0.22110804915428162,
108,435,0.2209392488002777,
109,439,0.22007307410240173,
110,443,0.2208724021911621,
