epoch,valid/loss,step,train/loss
107,,429,0.16382388770580292
107,0.1602785438299179,431,
108,,434,0.16439712047576904
108,0.16004198789596558,435,
109,,439,0.15666356682777405
109,0.16298820078372955,439,
110,0.16106054186820984,443,
111,,444,0.15989314019680023
111,0.1609422117471695,447,
112,,449,0.15887485444545746
112,0.15934713184833527,451,
113,,454,0.16183270514011383
113,0.16114157438278198,455,
114,,459,0.15662246942520142
114,0.15840159356594086,459,
115,0.15993373095989227,463,
116,,464,0.15714126825332642
116,0.1581830531358719,467,
117,,469,0.1617784947156906
117,0.15825730562210083,471,
118,,474,0.15598087012767792
118,0.15686039626598358,475,
119,,479,0.15678970515727997
119,0.15875409543514252,479,
120,0.1559872180223465,483,
121,,484,0.15271882712841034
121,0.15550556778907776,487,
122,,489,0.1535607874393463
122,0.1566859483718872,491,
123,,494,0.1589658558368683
123,0.15956316888332367,495,
124,,499,0.15758252143859863
124,0.1557602882385254,499,
125,0.15490582585334778,503,
126,,504,0.15583084523677826
126,0.1581488996744156,507,
127,,509,0.1531250774860382
127,0.1536828577518463,511,
128,,514,0.1524510681629181
128,0.1555950790643692,515,
129,,519,0.1459311693906784
129,0.1522037237882614,519,
130,0.1518600583076477,523,
131,,524,0.15655288100242615
131,0.1501443237066269,527,
132,,529,0.1525227427482605
132,0.1516246795654297,531,
133,,534,0.15243089199066162
133,0.14989733695983887,535,
134,,539,0.15265171229839325
134,0.14891444146633148,539,
135,0.14923158288002014,543,
136,,544,0.14988592267036438
136,0.1491241753101349,547,
137,,549,0.1491340547800064
137,0.14747068285942078,551,
138,,554,0.1457304209470749
138,0.14843499660491943,555,
139,,559,0.15067268908023834
139,0.1467212736606598,559,
140,0.146585151553154,563,
141,,564,0.14791829884052277
141,0.14639732241630554,567,
142,,569,0.1504494845867157
142,0.14582492411136627,571,
143,,574,0.14629144966602325
143,0.14565692842006683,575,
144,,579,0.13712944090366364
144,0.1443069875240326,579,
145,0.1433625966310501,583,
146,,584,0.14378079771995544
146,0.1449093520641327,587,
147,,589,0.1458938717842102
