epoch,train/loss,step,valid/loss
82,,331,0.8803787231445312
83,0.8654990792274475,333,
83,0.8462628126144409,335,
83,,335,0.8803785443305969
84,0.8602688908576965,337,
84,0.8546813130378723,339,
84,,339,0.8803784251213074
85,0.8655335903167725,341,
85,0.8505984544754028,343,
85,,343,0.8803781867027283
86,0.8672676682472229,345,
86,0.877373218536377,347,
86,,347,0.8803779482841492
87,0.8590498566627502,349,
87,0.8556589484214783,351,
87,,351,0.8803776502609253
88,0.8599733710289001,353,
88,0.8449398875236511,355,
88,,355,0.8803775310516357
89,0.8710178732872009,357,
89,0.8596729636192322,359,
89,,359,0.8803771734237671
90,0.8665816783905029,361,
90,0.8594387769699097,363,
90,,363,0.8803768754005432
91,0.868217408657074,365,
91,0.8701998591423035,367,
91,,367,0.8803766369819641
92,0.8712710738182068,369,
92,0.859019935131073,371,
92,,371,0.8803764581680298
93,0.8631036877632141,373,
93,0.8483014702796936,375,
93,,375,0.8803761005401611
94,0.8685035705566406,377,
94,0.8915031552314758,379,
94,,379,0.8803759217262268
95,0.8578125238418579,381,
95,0.8834236264228821,383,
95,,383,0.8803756833076477
96,0.8606348037719727,385,
96,0.8597875237464905,387,
96,,387,0.8803754448890686
97,0.859154224395752,389,
97,0.8868371248245239,391,
97,,391,0.8803751468658447
98,0.8706373572349548,393,
98,0.8528633713722229,395,
98,,395,0.8803749084472656
99,0.8720926642417908,397,
99,0.8637815117835999,399,
99,,399,0.8803746700286865
100,0.8751219511032104,401,
100,0.8824707269668579,403,
100,,403,0.8803743720054626
101,0.8598874807357788,405,
101,0.8542932271957397,407,
101,,407,0.880374014377594
102,0.8645538687705994,409,
102,0.8527261018753052,411,
102,,411,0.8803738355636597
103,0.851992130279541,413,
103,0.9096469879150391,415,
103,,415,0.8803735971450806
104,0.8661715388298035,417,
104,0.8781538605690002,419,
104,,419,0.8803732395172119
105,0.8681551218032837,421,
105,0.8745602965354919,423,
105,,423,0.8803730010986328
106,0.8763633370399475,425,
106,0.8667517304420471,427,
106,,427,0.8803727626800537
107,0.8647323250770569,429,
107,0.8565090298652649,431,
107,,431,0.8803726434707642
108,0.8560859560966492,433,
108,0.8865206837654114,435,
108,,435,0.8803722858428955
109,0.8599117994308472,437,
109,0.856564998626709,439,
109,,439,0.8803719878196716
110,0.8632653951644897,441,
110,0.8811952471733093,443,
110,,443,0.8803716897964478
111,0.865128219127655,445,
111,0.8465825319290161,447,
111,,447,0.8803714513778687
