epoch,step,train/loss,valid/loss
0,1,0.8618704080581665,
0,3,0.881569504737854,
0,3,,0.8801217079162598
1,5,0.8645175099372864,
1,7,0.8685934543609619,
1,7,,0.8799048066139221
2,9,0.8571881651878357,
2,11,0.888904333114624,
2,11,,0.8796714544296265
3,13,0.863646388053894,
3,15,0.8572896718978882,
3,15,,0.8794534802436829
4,17,0.8652610182762146,
4,19,0.8789839148521423,
4,19,,0.8792480230331421
5,21,0.864640474319458,
5,23,0.8731000423431396,
5,23,,0.8790398240089417
6,25,0.8676638007164001,
6,27,0.873702883720398,
6,27,,0.8788480162620544
7,29,0.8584520816802979,
7,31,0.8721266984939575,
7,31,,0.8786346912384033
8,33,0.8657909631729126,
8,35,0.8676737546920776,
8,35,,0.878409206867218
9,37,0.8708287477493286,
9,39,0.8692387938499451,
9,39,,0.8781819343566895
10,41,0.8617750406265259,
10,43,0.8540906310081482,
10,43,,0.8780000805854797
11,45,0.862616777420044,
11,47,0.8664140105247498,
11,47,,0.8778523206710815
12,49,0.8576526045799255,
12,51,0.8555585741996765,
12,51,,0.8776764869689941
13,53,0.8602025508880615,
13,55,0.8734323382377625,
13,55,,0.8774498701095581
14,57,0.865908145904541,
14,59,0.8485190272331238,
14,59,,0.877265989780426
15,61,0.8609838485717773,
15,63,0.8405908346176147,
15,63,,0.8770959973335266
16,65,0.8575491309165955,
16,67,0.8846127986907959,
16,67,,0.8768718242645264
17,69,0.8640276789665222,
17,71,0.8550013899803162,
17,71,,0.8766604661941528
18,73,0.8490334749221802,
18,75,0.8628101944923401,
18,75,,0.8764615654945374
19,77,0.8633725047111511,
19,79,0.858985960483551,
19,79,,0.8762815594673157
20,81,0.872923731803894,
20,83,0.8584654927253723,
20,83,,0.8760676383972168
21,85,0.8582181334495544,
21,87,0.8713944554328918,
21,87,,0.8758218288421631
22,89,0.8560042381286621,
22,91,0.8836466670036316,
22,91,,0.8756231665611267
23,93,0.8655901551246643,
23,95,0.8739425539970398,
23,95,,0.8754236102104187
24,97,0.8621702790260315,
24,99,0.8504618406295776,
24,99,,0.8752330541610718
25,101,0.8621730804443359,
25,103,0.8806220889091492,
25,103,,0.8749682903289795
26,105,0.8584946990013123,
26,107,0.8508574962615967,
26,107,,0.8746481537818909
