train/loss,epoch,step,valid/loss
0.00031376475817523897,47,189,
0.0003559385659173131,47,191,
,47,191,0.00031281154952012
0.0002793931926134974,48,193,
0.0002680779725778848,48,195,
,48,195,0.00029549779719673097
0.0003116943407803774,49,197,
0.000196333639905788,49,199,
,49,199,0.0002766005345620215
0.00026981436531059444,50,201,
0.00021762968390248716,50,203,
,50,203,0.00026444403920322657
0.0002564122260082513,51,205,
0.00021282173111103475,51,207,
,51,207,0.00025370577350258827
0.0002376498159719631,52,209,
0.00021696877956856042,52,211,
,52,211,0.0002450263418722898
0.00023532826162409037,53,213,
0.0001526465202914551,53,215,
,53,215,0.000236878840951249
0.00023035598860587925,54,217,
0.0002858478110283613,54,219,
,54,219,0.00022919436742085963
0.00022548744163941592,55,221,
0.00024282581580337137,55,223,
,55,223,0.00022197162616066635
0.00021145021310076118,56,225,
0.00014466447464656085,56,227,
,56,227,0.00021526578348129988
0.0002153532550437376,57,229,
0.00019005271315108985,57,231,
,57,231,0.00020917304209433496
0.00020054122433066368,58,233,
0.00019172628526575863,58,235,
,58,235,0.00020307912200223655
0.0001881476491689682,59,237,
0.00015502391033805907,59,239,
,59,239,0.00019752939988393337
0.00018992152763530612,60,241,
0.00013639662938658148,60,243,
,60,243,0.00019264809088781476
0.00016216415679082274,61,245,
0.00014744585496373475,61,247,
,61,247,0.00018821364210452884
0.00015662731311749667,62,249,
0.00016466002853121608,62,251,
,62,251,0.00018395009101368487
0.00017006871348712593,63,253,
0.00015918945427984,63,255,
,63,255,0.00017909528105519712
0.00017565370944794267,64,257,
0.00020942147239111364,64,259,
,64,259,0.0001742764434311539
0.00015689953579567373,65,261,
0.0001759483275236562,65,263,
,65,263,0.00017028293223120272
0.0001456773024983704,66,265,
0.00011242246546316892,66,267,
,66,267,0.00016626394062768668
0.0001350805105175823,67,269,
0.00010924860544037074,67,271,
,67,271,0.00016251744818873703
0.00015601242193952203,68,273,
0.00014454592019319534,68,275,
,68,275,0.0001595567591721192
0.00015433922817464918,69,277,
0.00010976417252095416,69,279,
,69,279,0.0001568691077409312
0.00014040402311366051,70,281,
0.00014072158955968916,70,283,
,70,283,0.00015397925744764507
0.0001270185603061691,71,285,
0.00010738136188592762,71,287,
,71,287,0.00015145930228754878
0.00013757217675447464,72,289,
0.00015262786473613232,72,291,
,72,291,0.00014911851030774415
0.00013933703303337097,73,293,
0.00010089178977068514,73,295,
,73,295,0.0001464373926864937
0.0001176008881884627,74,297,
0.00016947589756455272,74,299,
,74,299,0.00014382523659151047
0.00011680767784127966,75,301,
0.00012891367077827454,75,303,
,75,303,0.00014150203787721694
0.00011390060535632074,76,305,
9.70194159890525e-05,76,307,
,76,307,0.00013966539700049907
0.00011240840831305832,77,309,
0.00015779040404595435,77,311,
,77,311,0.0001377376465825364
0.00011788314441218972,78,313,
0.00012264520046301186,78,315,
,78,315,0.0001352597464574501
0.00011217685823794454,79,317,
0.0001962331880349666,79,319,
,79,319,0.00013344585022423416
0.0001126756178564392,80,321,
0.00011741416528820992,80,323,
,80,323,0.00013135012704879045
0.00010565922275418416,81,325,
0.00011933844507439062,81,327,
,81,327,0.0001299271680181846
0.00010207633022218943,82,329,
0.00011127411562483758,82,331,
,82,331,0.00012923497706651688
9.460549335926771e-05,83,333,
0.00010619556269375607,83,335,
,83,335,0.00012776021321769804
0.00010064657544717193,84,337,
7.649535109521821e-05,84,339,
,84,339,0.00012600621266756207
0.00010509711864870042,85,341,
0.00012594893632922322,85,343,
,85,343,0.00012399532715789974
9.262322419090196e-05,86,345,
0.00010244583972962573,86,347,
,86,347,0.00012091257667634636
9.584200597601011e-05,87,349,
9.511905955150723e-05,87,351,
,87,351,0.00011919883399968967
9.748327283887193e-05,88,353,
0.00014103788998909295,88,355,
,88,355,0.00011766257375711575
9.177245374303311e-05,89,357,
8.423461258644238e-05,89,359,
,89,359,0.00011661600001389161
9.824957669479772e-05,90,361,
7.449377153534442e-05,90,363,
,90,363,0.00011504375288495794
9.037053678184748e-05,91,365,
0.00016348910867236555,91,367,
,91,367,0.00011348011321388185
9.565379878040403e-05,92,369,
8.417756907874718e-05,92,371,
,92,371,0.00011227800860069692
9.463937749387696e-05,93,373,
0.00010777542047435418,93,375,
,93,375,0.00011092943896073848
9.049180516740307e-05,94,377,
8.713207353139296e-05,94,379,
,94,379,0.00010985198605339974
9.114311978919432e-05,95,381,
7.308259228011593e-05,95,383,
,95,383,0.00010986467532347888
8.071732008829713e-05,96,385,
0.00012023451563436538,96,387,
,96,387,0.00010929245763691142
8.726889791432768e-05,97,389,
7.764391193632036e-05,97,391,
,97,391,0.00010813892004080117
8.41759901959449e-05,98,393,
6.211562140379101e-05,98,395,
,98,395,0.00010724286403274164
8.099267142824829e-05,99,397,
0.00011416869529057294,99,399,
,99,399,0.00010714546806411818
8.329275442520157e-05,100,401,
0.0001020674899336882,100,403,
,100,403,0.00010488604311831295
7.4396601121407e-05,101,405,
6.654029130004346e-05,101,407,
,101,407,0.00010375797137385234
7.991014717845246e-05,102,409,
8.461350080324337e-05,102,411,
,102,411,0.00010348792420700192
8.377542690141127e-05,103,413,
6.606253737118095e-05,103,415,
,103,415,0.0001043520460370928
7.242690480779856e-05,104,417,
8.752607391215861e-05,104,419,
,104,419,0.00010345506598241627
7.455558079527691e-05,105,421,
6.964186468394473e-05,105,423,
,105,423,0.00010058125189971179
7.686769095016643e-05,106,425,
8.148782217176631e-05,106,427,
,106,427,9.896305709844455e-05
7.229216862469912e-05,107,429,
7.268312765518203e-05,107,431,
,107,431,9.858515841187909e-05
6.939897139091045e-05,108,433,
5.68329960515257e-05,108,435,
,108,435,9.81356788543053e-05
7.50385588617064e-05,109,437,
5.350624996935949e-05,109,439,
,109,439,9.842832514550537e-05
7.286510663107038e-05,110,441,
5.067841993877664e-05,110,443,
,110,443,9.83438512776047e-05
7.61393821449019e-05,111,445,
5.817045166622847e-05,111,447,
,111,447,9.783471614355221e-05
6.6065535065718e-05,112,449,
8.868341683410108e-05,112,451,
,112,451,9.613333531888202e-05
7.1136855694931e-05,113,453,
5.664921991410665e-05,113,455,
,113,455,9.400192357134074e-05
6.594553269678727e-05,114,457,
5.913096902077086e-05,114,459,
,114,459,9.29080051719211e-05
7.137674401747063e-05,115,461,
6.211091385921463e-05,115,463,
,115,463,9.217226033797488e-05
7.093897147569805e-05,116,465,
7.551814633188769e-05,116,467,
,116,467,9.141090413322672e-05
6.742031837347895e-05,117,469,
5.115460226079449e-05,117,471,
,117,471,9.085678175324574e-05
6.723507249262184e-05,118,473,
6.27366898697801e-05,118,475,
,118,475,9.068431972991675e-05
6.299305823631585e-05,119,477,
6.828983168816194e-05,119,479,
,119,479,9.122351184487343e-05
6.53526876703836e-05,120,481,
5.7220753660658374e-05,120,483,
,120,483,9.150250843958929e-05
6.682894309051335e-05,121,485,
7.393168925773352e-05,121,487,
,121,487,9.23082116059959e-05
6.52804083074443e-05,122,489,
5.8524467021925375e-05,122,491,
,122,491,8.860033995006233e-05
6.438702257582918e-05,123,493,
6.584291259059682e-05,123,495,
,123,495,8.750027336645871e-05
6.312152254395187e-05,124,497,
7.945941615616903e-05,124,499,
,124,499,8.739865734241903e-05
6.270802259678021e-05,125,501,
6.0935028159292415e-05,125,503,
,125,503,8.70916701387614e-05
6.329559982987121e-05,126,505,
5.1319413614692166e-05,126,507,
,126,507,8.424767293035984e-05
6.0899441450601444e-05,127,509,
8.04914379841648e-05,127,511,
,127,511,8.472530316794291e-05
5.9329948271624744e-05,128,513,
8.454288763459772e-05,128,515,
,128,515,8.646464993944392e-05
5.603625686489977e-05,129,517,
6.30337162874639e-05,129,519,
,129,519,8.489375613862649e-05
5.86718633712735e-05,130,521,
6.479124567704275e-05,130,523,
,130,523,8.315160812344402e-05
5.949395563220605e-05,131,525,
5.846791827934794e-05,131,527,
,131,527,8.256809087470174e-05
5.488320311997086e-05,132,529,
6.44545943941921e-05,132,531,
,132,531,8.326084935106337e-05
5.470456017064862e-05,133,533,
3.8176076486706734e-05,133,535,
,133,535,8.235007408075035e-05
5.714626968256198e-05,134,537,
5.613104076473974e-05,134,539,
,134,539,8.133888331940398e-05
6.515079439850524e-05,135,541,
5.6594864872749895e-05,135,543,
,135,543,8.255397551693022e-05
5.406224590842612e-05,136,545,
6.169141852296889e-05,136,547,
,136,547,7.96327949501574e-05
5.919666728004813e-05,137,549,
5.803905878565274e-05,137,551,
,137,551,7.885640661697835e-05
4.964604158885777e-05,138,553,
6.720993405906484e-05,138,555,
,138,555,7.85081647336483e-05
5.131035504746251e-05,139,557,
4.9587393732508644e-05,139,559,
,139,559,7.753525278531015e-05
5.407368371379562e-05,140,561,
8.483944839099422e-05,140,563,
,140,563,7.689215271966532e-05
4.965677362633869e-05,141,565,
8.55041726026684e-05,141,567,
,141,567,7.711583020864055e-05
5.39487627975177e-05,142,569,
6.718602526234463e-05,142,571,
,142,571,7.788981019984931e-05
5.5614800658077e-05,143,573,
5.285140287014656e-05,143,575,
,143,575,7.64618453104049e-05
5.9558311477303505e-05,144,577,
5.027135193813592e-05,144,579,
,144,579,7.509709394071251e-05
5.176031481823884e-05,145,581,
4.3241761886747554e-05,145,583,
,145,583,7.493021985283121e-05
5.3883512009633705e-05,146,585,
6.051545642549172e-05,146,587,
,146,587,7.593179907416925e-05
4.8042580601759255e-05,147,589,
4.504058961174451e-05,147,591,
,147,591,7.441990601364523e-05
4.996527059120126e-05,148,593,
4.816305954591371e-05,148,595,
,148,595,7.431451376760378e-05
4.854840153711848e-05,149,597,
5.860798410139978e-05,149,599,
,149,599,7.429099787259474e-05
5.659141606884077e-05,150,601,
4.006693052360788e-05,150,603,
,150,603,7.277147960849106e-05
5.101066562929191e-05,151,605,
6.384522566804662e-05,151,607,
,151,607,7.257803372340277e-05
4.932341835228726e-05,152,609,
5.512981442734599e-05,152,611,
,152,611,7.192148768808693e-05
5.5697269999654964e-05,153,613,
3.811076749116182e-05,153,615,
,153,615,7.117900531738997e-05
4.894917947240174e-05,154,617,
3.957752414862625e-05,154,619,
,154,619,7.156612991821021e-05
4.956224074703641e-05,155,621,
3.875868787872605e-05,155,623,
,155,623,7.069815183058381e-05
5.11819489474874e-05,156,625,
3.835132883978076e-05,156,627,
,156,627,7.088935672072694e-05
5.58078900212422e-05,157,629,
4.997213545721024e-05,157,631,
,157,631,7.087821722961962e-05
5.0400765758240595e-05,158,633,
3.341948468005285e-05,158,635,
,158,635,7.161868416005746e-05
5.481778134708293e-05,159,637,
3.5105324059259146e-05,159,639,
,159,639,6.981650221860036e-05
4.313325189286843e-05,160,641,
3.470450974418782e-05,160,643,
,160,643,6.919724546605721e-05
4.09436397603713e-05,161,645,
4.171331602265127e-05,161,647,
,161,647,7.018526230240241e-05
4.853038626606576e-05,162,649,
7.703668961767107e-05,162,651,
,162,651,6.874420796521008e-05
4.4001280912198126e-05,163,653,
4.367395376903005e-05,163,655,
,163,655,7.192252815002576e-05
4.633201388060115e-05,164,657,
3.782263593166135e-05,164,659,
,164,659,6.845964526291937e-05
4.715163595392369e-05,165,661,
5.227709698374383e-05,165,663,
,165,663,6.96400020387955e-05
4.4760356104234233e-05,166,665,
6.266046693781391e-05,166,667,
,166,667,6.927314825588837e-05
4.1488634451525286e-05,167,669,
3.312099943286739e-05,167,671,
,167,671,6.706028943881392e-05
4.589906893670559e-05,168,673,
3.812371505773626e-05,168,675,
,168,675,6.689508882118389e-05
4.822414484806359e-05,169,677,
6.35428077657707e-05,169,679,
,169,679,6.803317228332162e-05
4.4105381675763056e-05,170,681,
4.5655109715880826e-05,170,683,
,170,683,6.902033055666834e-05
4.869916301686317e-05,171,685,
3.9157930586952716e-05,171,687,
,171,687,6.601586937904358e-05
4.192713095108047e-05,172,689,
5.8955851272912696e-05,172,691,
,172,691,6.509896775241941e-05
4.2179333831882104e-05,173,693,
4.821543552679941e-05,173,695,
,173,695,6.521491013700143e-05
4.475099194678478e-05,174,697,
4.0624276152811944e-05,174,699,
,174,699,6.472998211393133e-05
5.253917333902791e-05,175,701,
5.1836886996170506e-05,175,703,
,175,703,6.569195829797536e-05
4.19820862589404e-05,176,705,
3.9156569982878864e-05,176,707,
,176,707,6.493991531897336e-05
4.455038288142532e-05,177,709,
4.583758709486574e-05,177,711,
,177,711,6.562640191987157e-05
3.7325960875023156e-05,178,713,
3.741358523257077e-05,178,715,
,178,715,6.409249181160703e-05
3.64402549166698e-05,179,717,
5.0752405513776466e-05,179,719,
,179,719,6.391177157638595e-05
4.175128924543969e-05,180,721,
2.7109166694572195e-05,180,723,
,180,723,6.404808664228767e-05
4.1957897337852046e-05,181,725,
2.9975341021781787e-05,181,727,
,181,727,6.385261076502502e-05
4.014194928458892e-05,182,729,
6.816529639763758e-05,182,731,
,182,731,6.276508793234825e-05
3.725520582520403e-05,183,733,
3.907496284227818e-05,183,735,
,183,735,6.253754690987989e-05
3.576582093955949e-05,184,737,
5.355233952286653e-05,184,739,
,184,739,6.259489600779489e-05
3.97710464312695e-05,185,741,
3.1644209229853004e-05,185,743,
,185,743,6.280942034209147e-05
3.994648432126269e-05,186,745,
3.164368536090478e-05,186,747,
,186,747,6.321275577647611e-05
3.961567927035503e-05,187,749,
3.6200428439769894e-05,187,751,
,187,751,6.352551281452179e-05
3.7370467907749116e-05,188,753,
5.1536735554691404e-05,188,755,
,188,755,6.174548616399989e-05
3.479470615275204e-05,189,757,
5.124982271809131e-05,189,759,
,189,759,6.20381033513695e-05
3.646987897809595e-05,190,761,
3.303504126961343e-05,190,763,
,190,763,6.330635369522497e-05
3.882505916408263e-05,191,765,
3.81753416149877e-05,191,767,
,191,767,6.208715058164671e-05
4.098552744835615e-05,192,769,
4.086122862645425e-05,192,771,
,192,771,6.147519161459059e-05
3.7527359381783754e-05,193,773,
2.5550429199938662e-05,193,775,
,193,775,6.303132977336645e-05
3.6786750570172444e-05,194,777,
3.22848281939514e-05,194,779,
,194,779,6.42903833067976e-05
3.361764902365394e-05,195,781,
4.534026447799988e-05,195,783,
,195,783,6.614615995204076e-05
3.797546378336847e-05,196,785,
3.3283162338193506e-05,196,787,
,196,787,6.364437285810709e-05
3.7300680560292676e-05,197,789,
4.774696208187379e-05,197,791,
,197,791,6.125206709839404e-05
3.698164437082596e-05,198,793,
4.260584319126792e-05,198,795,
,198,795,6.065423440304585e-05
4.181926851742901e-05,199,797,
3.9078600821085274e-05,199,799,
,199,799,6.078220758354291e-05
