train/loss,epoch,step,valid/loss
766818696298496.0,0,1,
62.40865707397461,0,3,
,0,3,0.6010686755180359
1.1205285787582397,1,5,
0.4164453446865082,1,7,
,1,7,0.47924768924713135
0.45376038551330566,2,9,
0.4303629994392395,2,11,
,2,11,0.4620969891548157
0.45188942551612854,3,13,
0.4785425066947937,3,15,
,3,15,0.4586884379386902
0.44861435890197754,4,17,
0.42144858837127686,4,19,
,4,19,0.45539456605911255
0.45084241032600403,5,21,
0.4509211778640747,5,23,
,5,23,0.45388564467430115
0.4559608995914459,6,25,
0.4469221830368042,6,27,
,6,27,0.452884703874588
0.4406178593635559,7,29,
0.44772306084632874,7,31,
,7,31,0.4638674855232239
0.44167667627334595,8,33,
0.46126222610473633,8,35,
,8,35,0.44827529788017273
0.43734070658683777,9,37,
0.4305746555328369,9,39,
,9,39,0.44520455598831177
0.4374100863933563,10,41,
0.44097089767456055,10,43,
,10,43,0.43719804286956787
0.43270954489707947,11,45,
0.39843443036079407,11,47,
,11,47,0.42315155267715454
0.4146776795387268,12,49,
0.4343239367008209,12,51,
,12,51,0.38083237409591675
0.5008227825164795,13,53,
0.6298628449440002,13,55,
,13,55,0.553005039691925
0.4307063817977905,14,57,
0.4496445655822754,14,59,
,14,59,0.4437033534049988
0.4325386881828308,15,61,
0.3916943073272705,15,63,
,15,63,0.4162735044956207
0.404585599899292,16,65,
0.435680627822876,16,67,
,16,67,0.3875798285007477
0.4027566611766815,17,69,
0.3560762107372284,17,71,
,17,71,0.352944016456604
0.35632967948913574,18,73,
0.3326426148414612,18,75,
,18,75,0.2992963492870331
0.322590172290802,19,77,
0.2850475609302521,19,79,
,19,79,0.2526465654373169
0.30264711380004883,20,81,
0.2172524482011795,20,83,
,20,83,0.21876315772533417
0.2563417851924896,21,85,
0.20571744441986084,21,87,
,21,87,0.189302459359169
0.27664846181869507,22,89,
0.17201316356658936,22,91,
,22,91,0.20115284621715546
0.15065965056419373,23,93,
0.8784502148628235,23,95,
,23,95,0.06669870018959045
0.9046604633331299,24,97,
0.4788752794265747,24,99,
,24,99,0.28972554206848145
0.29417622089385986,25,101,
0.3147733509540558,25,103,
,25,103,0.30369070172309875
0.3022790253162384,26,105,
0.2595411539077759,26,107,
,26,107,0.22285793721675873
0.19508887827396393,27,109,
0.19994550943374634,27,111,
,27,111,0.20209495723247528
0.1337810754776001,28,113,
0.2218806892633438,28,115,
,28,115,0.1679762303829193
0.46424010396003723,29,117,
0.11504063010215759,29,119,
,29,119,0.12739790976047516
0.21646663546562195,30,121,
0.1563166230916977,30,123,
,30,123,0.14832803606987
0.0909578874707222,31,125,
0.14015543460845947,31,127,
,31,127,0.07461104542016983
0.19058725237846375,32,129,
0.05128074064850807,32,131,
,32,131,0.4441084563732147
0.28618738055229187,33,133,
0.23433917760849,33,135,
,33,135,0.2906765639781952
0.23923563957214355,34,137,
0.2093343734741211,34,139,
,34,139,0.27161648869514465
0.261116623878479,35,141,
0.1267024576663971,35,143,
,35,143,0.20382395386695862
0.13418561220169067,36,145,
0.10771146416664124,36,147,
,36,147,0.07144385576248169
0.13323086500167847,37,149,
0.06686689704656601,37,151,
,37,151,0.034166574478149414
0.07068898528814316,38,153,
0.06566063314676285,38,155,
,38,155,0.12420081347227097
0.02985215187072754,39,157,
0.03501187264919281,39,159,
,39,159,0.013033097609877586
