step,valid/loss,epoch,train/loss
287,0.1703270673751831,71,
289,,72,0.16689905524253845
291,0.1698237657546997,72,
294,,73,0.17291469871997833
295,0.16917182505130768,73,
299,,74,0.16080407798290253
299,0.16864460706710815,74,
303,0.17127731442451477,75,
304,,76,0.16897419095039368
307,0.16942904889583588,76,
309,,77,0.16381144523620605
311,0.16720300912857056,77,
314,,78,0.16497178375720978
315,0.17135818302631378,78,
319,,79,0.17163196206092834
319,0.165482297539711,79,
323,0.16454371809959412,80,
324,,81,0.16752827167510986
327,0.16520874202251434,81,
329,,82,0.16363093256950378
331,0.16793721914291382,82,
334,,83,0.16215544939041138
335,0.16527357697486877,83,
339,,84,0.16962255537509918
339,0.164342999458313,84,
343,0.1634083241224289,85,
344,,86,0.16261382400989532
347,0.1642666757106781,86,
349,,87,0.1618567258119583
351,0.16275393962860107,87,
354,,88,0.16017015278339386
355,0.1604095995426178,88,
359,,89,0.15198785066604614
359,0.16209794580936432,89,
363,0.15514589846134186,90,
364,,91,0.15770994126796722
367,0.15745589137077332,91,
369,,92,0.15694430470466614
371,0.15783484280109406,92,
374,,93,0.15196138620376587
375,0.15959781408309937,93,
379,,94,0.1522039920091629
379,0.15422813594341278,94,
383,0.15311144292354584,95,
384,,96,0.1566944569349289
387,0.15226761996746063,96,
389,,97,0.1481831669807434
391,0.15097582340240479,97,
394,,98,0.1547686904668808
395,0.15267632901668549,98,
399,,99,0.15853138267993927
399,0.1497049331665039,99,
403,0.1512346714735031,100,
404,,101,0.15561407804489136
407,0.14918801188468933,101,
409,,102,0.14967109262943268
411,0.14867360889911652,102,
414,,103,0.15058059990406036
415,0.14747674763202667,103,
419,,104,0.15341292321681976
419,0.14802005887031555,104,
423,0.1478956788778305,105,
424,,106,0.14785897731781006
427,0.14624828100204468,106,
429,,107,0.14648951590061188
431,0.14898531138896942,107,
434,,108,0.1470699906349182
435,0.1460706740617752,108,
439,,109,0.15750791132450104
439,0.1468053162097931,109,
443,0.14551597833633423,110,
444,,111,0.1451694667339325
447,0.14673900604248047,111,
449,,112,0.1547897905111313
451,0.14481067657470703,112,
454,,113,0.14390365779399872
455,0.14517498016357422,113,
459,,114,0.15632197260856628
459,0.14457270503044128,114,
463,0.14293184876441956,115,
464,,116,0.14632996916770935
467,0.14180129766464233,116,
469,,117,0.14202384650707245
471,0.1415071040391922,117,
474,,118,0.14030085504055023
475,0.14009058475494385,118,
479,,119,0.13129232823848724
479,0.13981278240680695,119,
483,0.13734565675258636,120,
484,,121,0.1417398601770401
487,0.1377464234828949,121,
489,,122,0.13920018076896667
491,0.13600218296051025,122,
494,,123,0.13775241374969482
495,0.13527052104473114,123,
499,,124,0.13954760134220123
499,0.13328634202480316,124,
503,0.13534583151340485,125,
504,,126,0.13258832693099976
507,0.13430514931678772,126,
509,,127,0.13522754609584808
511,0.13130730390548706,127,
514,,128,0.12944407761096954
515,0.13046380877494812,128,
519,,129,0.12263760715723038
519,0.1290634721517563,129,
523,0.12807512283325195,130,
524,,131,0.12594372034072876
527,0.12428640574216843,131,
529,,132,0.12543967366218567
531,0.12287245690822601,132,
534,,133,0.12400119751691818
535,0.12291400134563446,133,
539,,134,0.11485022306442261
539,0.1211366206407547,134,
543,0.11837492883205414,135,
544,,136,0.11402963101863861
547,0.11513259261846542,136,
549,,137,0.1111491397023201
551,0.1142064779996872,137,
554,,138,0.11074039340019226
555,0.11001458019018173,138,
559,,139,0.09240840375423431
559,0.10790552198886871,139,
563,0.10651089996099472,140,
564,,141,0.10571622103452682
567,0.10390982031822205,141,
569,,142,0.10329084098339081
571,0.10023126751184464,142,
574,,143,0.10139607638120651
575,0.10278474539518356,143,
579,,144,0.09928084164857864
579,0.09695644676685333,144,
583,0.09506678581237793,145,
584,,146,0.08973702788352966
587,0.09482888877391815,146,
589,,147,0.0903085470199585
591,0.09266039729118347,147,
594,,148,0.08972389996051788
595,0.08886656165122986,148,
599,,149,0.0866219773888588
599,0.0870780497789383,149,
603,0.08050508797168732,150,
604,,151,0.08138464391231537
607,0.08401214331388474,151,
609,,152,0.07874831557273865
611,0.07966601103544235,152,
614,,153,0.0748467817902565
615,0.07591415196657181,153,
619,,154,0.057644087821245193
619,0.07328719645738602,154,
623,0.06841789931058884,155,
624,,156,0.06517690420150757
627,0.0656558945775032,156,
629,,157,0.06659737229347229
631,0.06471271067857742,157,
634,,158,0.06069992110133171
635,0.06242342293262482,158,
639,,159,0.06277107447385788
639,0.05981355533003807,159,
643,0.06010434031486511,160,
644,,161,0.058225516229867935
647,0.05944589525461197,161,
649,,162,0.05719805881381035
651,0.05810927227139473,162,
654,,163,0.053831882774829865
655,0.05645034462213516,163,
659,,164,0.045082855969667435
659,0.05259890481829643,164,
663,0.05123395472764969,165,
664,,166,0.04742459952831268
667,0.051188454031944275,166,
669,,167,0.04659958928823471
671,0.05366221442818642,167,
674,,168,0.0464143306016922
675,0.05122922733426094,168,
679,,169,0.06234727054834366
679,0.05067514255642891,169,
683,0.05113159120082855,170,
684,,171,0.05085602030158043
687,0.04431183636188507,171,
689,,172,0.04237426817417145
691,0.04395989328622818,172,
694,,173,0.04098878055810928
695,0.043562840670347214,173,
699,,174,0.03905903175473213
699,0.043766699731349945,174,
703,0.045097675174474716,175,
704,,176,0.04595000296831131
707,0.043901123106479645,176,
709,,177,0.0374133437871933
711,0.039887089282274246,177,
714,,178,0.04315462335944176
715,0.041224297136068344,178,
719,,179,0.048504799604415894
719,0.03759317845106125,179,
723,0.0374387726187706,180,
724,,181,0.0329359695315361
727,0.03958333283662796,181,
729,,182,0.03623411804437637
731,0.03826477751135826,182,
734,,183,0.03511293977499008
735,0.03753259405493736,183,
739,,184,0.02997550368309021
739,0.03607451915740967,184,
743,0.03528348729014397,185,
744,,186,0.03418876603245735
747,0.034942060708999634,186,
749,,187,0.032577142119407654
751,0.03721892833709717,187,
754,,188,0.038683708757162094
755,0.03788204491138458,188,
759,,189,0.030983639881014824
759,0.03388642147183418,189,
763,0.038044560700654984,190,
764,,191,0.03634181618690491
767,0.04280129820108414,191,
769,,192,0.04140670970082283
771,0.03477946296334267,192,
774,,193,0.033713359385728836
775,0.032477665692567825,193,
779,,194,0.020750295370817184
779,0.031263552606105804,194,
783,0.031481027603149414,195,
784,,196,0.031332407146692276
787,0.029121503233909607,196,
789,,197,0.02867128513753414
791,0.031050536781549454,197,
794,,198,0.03370644524693489
795,0.036093227565288544,198,
799,,199,0.022535191848874092
799,0.03235723450779915,199,
803,0.028793200850486755,200,
804,,201,0.02841031551361084
807,0.03087993897497654,201,
809,,202,0.03601698577404022
811,0.039283256977796555,202,
814,,203,0.034661613404750824
815,0.030202364549040794,203,
819,,204,0.029801370576024055
819,0.031078582629561424,204,
823,0.031076781451702118,205,
824,,206,0.031485773622989655
827,0.030020589008927345,206,
829,,207,0.02669195644557476
831,0.03001399338245392,207,
834,,208,0.028266537934541702
835,0.028718065470457077,208,
839,,209,0.018151309341192245
839,0.026725854724645615,209,
843,0.02770436927676201,210,
844,,211,0.023600511252880096
847,0.025986047461628914,211,
849,,212,0.02237727865576744
851,0.026858655735850334,212,
854,,213,0.026201916858553886
855,0.02586820162832737,213,
859,,214,0.03080642968416214
859,0.024396229535341263,214,
863,0.02579083852469921,215,
864,,216,0.022567270323634148
867,0.026128485798835754,216,
869,,217,0.02303302474319935
871,0.02549910359084606,217,
874,,218,0.0278170146048069
875,0.026285743340849876,218,
879,,219,0.03524274006485939
879,0.02590387873351574,219,
883,0.026945436373353004,220,
884,,221,0.023373395204544067
887,0.02436542697250843,221,
889,,222,0.0227960217744112
891,0.025544600561261177,222,
894,,223,0.026921715587377548
895,0.02579948492348194,223,
899,,224,0.019440878182649612
899,0.022984430193901062,224,
903,0.02404910884797573,225,
904,,226,0.023197388276457787
907,0.022995389997959137,226,
909,,227,0.020961271598935127
911,0.023869559168815613,227,
914,,228,0.021423140540719032
915,0.023403309285640717,228,
919,,229,0.024159010499715805
919,0.021733153611421585,229,
923,0.02183278650045395,230,
924,,231,0.022319676354527473
927,0.02336101606488228,231,
929,,232,0.021291213110089302
931,0.02322140894830227,232,
934,,233,0.021620579063892365
935,0.02129824087023735,233,
939,,234,0.020618459209799767
939,0.0219892505556345,234,
943,0.02284850925207138,235,
944,,236,0.02448456734418869
947,0.022067707031965256,236,
949,,237,0.022173907607793808
951,0.020062921568751335,237,
954,,238,0.021186478435993195
955,0.019602982327342033,238,
959,,239,0.01910800114274025
959,0.019560448825359344,239,
963,0.01955711469054222,240,
964,,241,0.021126102656126022
967,0.01911287009716034,241,
969,,242,0.02145763859152794
971,0.019604332745075226,242,
974,,243,0.015886660665273666
975,0.019595105201005936,243,
979,,244,0.0177958644926548
979,0.01986515335738659,244,
983,0.02031608112156391,245,
984,,246,0.02128392830491066
987,0.02320566587150097,246,
989,,247,0.019936634227633476
991,0.021578794345259666,247,
994,,248,0.020091896876692772
995,0.024397557601332664,248,
999,,249,0.0254888366907835
999,0.024669913575053215,249,
1003,0.02472219243645668,250,
1004,,251,0.022520950064063072
1007,0.022201906889677048,251,
1009,,252,0.02073420025408268
1011,0.022725673392415047,252,
1014,,253,0.022371651604771614
1015,0.0225802231580019,253,
1019,,254,0.017670735716819763
1019,0.018907412886619568,254,
1023,0.01886032707989216,255,
1024,,256,0.020344223827123642
1027,0.01779969409108162,256,
1029,,257,0.019951798021793365
1031,0.01822846196591854,257,
1034,,258,0.019532380625605583
1035,0.019200600683689117,258,
1039,,259,0.02021862007677555
1039,0.018681133165955544,259,
1043,0.01799914427101612,260,
1044,,261,0.02041623741388321
1047,0.01829630136489868,261,
1049,,262,0.019464809447526932
1051,0.018718931823968887,262,
1054,,263,0.020728042349219322
1055,0.018884852528572083,263,
1059,,264,0.024920174852013588
1059,0.018457308411598206,264,
1063,0.017863942310214043,265,
1064,,266,0.016740987077355385
1067,0.017818812280893326,266,
1069,,267,0.017040269449353218
1071,0.017403291538357735,267,
1074,,268,0.018568046391010284
1075,0.018027475103735924,268,
1079,,269,0.014480208046734333
1079,0.01748310960829258,269,
1083,0.01742507703602314,270,
1084,,271,0.016786059364676476
1087,0.01706584356725216,271,
1089,,272,0.0194478128105402
1091,0.017138561233878136,272,
1094,,273,0.016297921538352966
1095,0.017688799649477005,273,
1099,,274,0.011607421562075615
1099,0.017766527831554413,274,
1103,0.017265642061829567,275,
1104,,276,0.018163271248340607
1107,0.017201824113726616,276,
1109,,277,0.015787923708558083
1111,0.018272599205374718,277,
1114,,278,0.016177570447325706
1115,0.020486749708652496,278,
1119,,279,0.02034350298345089
1119,0.020615868270397186,279,
1123,0.019600002095103264,280,
1124,,281,0.019266461953520775
1127,0.01899825967848301,281,
1129,,282,0.01691437140107155
1131,0.01820274442434311,282,
1134,,283,0.01852116547524929
1135,0.01793842576444149,283,
1139,,284,0.017740990966558456
1139,0.017298206686973572,284,
1143,0.017148548737168312,285,
1144,,286,0.01656128466129303
1147,0.017451532185077667,286,
1149,,287,0.018211519345641136
1151,0.016997283324599266,287,
1154,,288,0.01713801547884941
1155,0.01666906848549843,288,
1159,,289,0.01657128520309925
1159,0.01706080324947834,289,
1163,0.017902154475450516,290,
1164,,291,0.01568395458161831
1167,0.018939325585961342,291,
1169,,292,0.019327636808156967
1171,0.019033102318644524,292,
1174,,293,0.01685618981719017
1175,0.018891766667366028,293,
1179,,294,0.010600109584629536
1179,0.01832817681133747,294,
1183,0.018209975212812424,295,
1184,,296,0.017325300723314285
1187,0.017962340265512466,296,
1189,,297,0.01693100482225418
1191,0.01732994057238102,297,
1194,,298,0.016047775745391846
1195,0.017226064577698708,298,
1199,,299,0.009448174387216568
1199,0.01648682914674282,299,
1203,0.016230348497629166,300,
1204,,301,0.016310792416334152
1207,0.016829712316393852,301,
1209,,302,0.017119763419032097
1211,0.018727323040366173,302,
1214,,303,0.01813632994890213
1215,0.01871168240904808,303,
1219,,304,0.024927880614995956
1219,0.017792552709579468,304,
1223,0.01761111058294773,305,
1224,,306,0.017797937616705894
1227,0.019227735698223114,306,
1229,,307,0.021298177540302277
1231,0.02481391467154026,307,
1234,,308,0.021004769951105118
1235,0.01828560046851635,308,
1239,,309,0.014211305417120457
1239,0.017736323177814484,309,
1243,0.01865137182176113,310,
1244,,311,0.01773182675242424
1247,0.018311085179448128,311,
1249,,312,0.01946338824927807
1251,0.018405502662062645,312,
1254,,313,0.020205562934279442
1255,0.017078403383493423,313,
1259,,314,0.010878347791731358
1259,0.016680194064974785,314,
1263,0.016285207122564316,315,
