step,epoch,train/loss,valid/loss
0,0,8.890318870544434,
1,0,1.4028548002243042,
2,0,0.7443506121635437,
3,0,0.7304664850234985,
3,0,,0.6865085363388062
4,1,0.6959621906280518,
5,1,0.624660074710846,
6,1,0.5725135803222656,
7,1,0.5505361557006836,
7,1,,0.4058223068714142
8,2,0.40650221705436707,
9,2,0.4410363435745239,
10,2,0.47906601428985596,
11,2,0.48071762919425964,
11,2,,0.3862835168838501
12,3,0.3682384192943573,
13,3,0.31823864579200745,
14,3,0.29001161456108093,
15,3,0.3136008381843567,
15,3,,0.29476478695869446
16,4,0.2937135100364685,
17,4,0.2767351269721985,
18,4,0.2727111577987671,
19,4,0.27601900696754456,
19,4,,0.27929988503456116
20,5,0.2689439058303833,
21,5,0.256945937871933,
22,5,0.2568247318267822,
23,5,0.2448703497648239,
23,5,,0.26467540860176086
24,6,0.2583276629447937,
25,6,0.2553958594799042,
26,6,0.2560544013977051,
27,6,0.24639277160167694,
27,6,,0.24954405426979065
28,7,0.24272264540195465,
29,7,0.2463119626045227,
30,7,0.24812184274196625,
31,7,0.24981947243213654,
31,7,,0.24751518666744232
32,8,0.2434644103050232,
33,8,0.24039623141288757,
34,8,0.23714573681354523,
35,8,0.23556996881961823,
35,8,,0.24810093641281128
36,9,0.24074743688106537,
37,9,0.24137800931930542,
38,9,0.23602579534053802,
39,9,0.23454490303993225,
39,9,,0.253745436668396
40,10,0.2486756145954132,
41,10,0.25484520196914673,
42,10,0.25528621673583984,
43,10,0.26450008153915405,
43,10,,0.2361937016248703
44,11,0.22874294221401215,
45,11,0.2347358763217926,
46,11,0.2419910728931427,
47,11,0.24250245094299316,
47,11,,0.23777233064174652
48,12,0.23146860301494598,
49,12,0.23177964985370636,
50,12,0.23164387047290802,
51,12,0.2309485226869583,
51,12,,0.23448871076107025
52,13,0.22948332130908966,
53,13,0.22832447290420532,
54,13,0.23341703414916992,
55,13,0.2231164127588272,
55,13,,0.23193813860416412
56,14,0.22717685997486115,
57,14,0.22775956988334656,
58,14,0.22786475718021393,
59,14,0.23741252720355988,
59,14,,0.2295711636543274
60,15,0.2278577834367752,
61,15,0.22642603516578674,
62,15,0.22464554011821747,
63,15,0.2312726080417633,
63,15,,0.23009948432445526
64,16,0.22497771680355072,
65,16,0.22403433918952942,
66,16,0.22620411217212677,
67,16,0.2289981245994568,
67,16,,0.2264438271522522
68,17,0.22497853636741638,
69,17,0.22540974617004395,
70,17,0.22345350682735443,
71,17,0.22927552461624146,
71,17,,0.22660870850086212
72,18,0.2233167290687561,
73,18,0.2243531346321106,
74,18,0.22343359887599945,
75,18,0.22790028154850006,
75,18,,0.22761063277721405
76,19,0.22508293390274048,
77,19,0.22039689123630524,
78,19,0.22197134792804718,
79,19,0.23226085305213928,
79,19,,0.22364307940006256
80,20,0.2211642563343048,
81,20,0.22171564400196075,
82,20,0.22070273756980896,
83,20,0.22179625928401947,
83,20,,0.22405125200748444
84,21,0.22164659202098846,
85,21,0.21927577257156372,
86,21,0.22116675972938538,
87,21,0.21754370629787445,
87,21,,0.22253955900669098
88,22,0.21994788944721222,
89,22,0.21961209177970886,
90,22,0.220545694231987,
91,22,0.21689514815807343,
91,22,,0.22259482741355896
92,23,0.21987882256507874,
93,23,0.2191113978624344,
94,23,0.21944010257720947,
95,23,0.21871647238731384,
95,23,,0.22221286594867706
96,24,0.21862806379795074,
97,24,0.2180430144071579,
98,24,0.2198144942522049,
99,24,0.21936997771263123,
99,24,,0.22159162163734436
100,25,0.21564672887325287,
101,25,0.2223215103149414,
102,25,0.2184748500585556,
103,25,0.21447406709194183,
103,25,,0.22367507219314575
104,26,0.22178398072719574,
105,26,0.22435007989406586,
106,26,0.21723581850528717,
107,26,0.221443310379982,
107,26,,0.22618454694747925
108,27,0.22074539959430695,
109,27,0.22399622201919556,
110,27,0.22117191553115845,
111,27,0.22168876230716705,
111,27,,0.23304709792137146
112,28,0.2302156686782837,
113,28,0.24272781610488892,
114,28,0.24303562939167023,
115,28,0.23045556247234344,
115,28,,0.21721991896629333
116,29,0.2158227562904358,
117,29,0.2190878987312317,
118,29,0.2192510962486267,
119,29,0.21364377439022064,
119,29,,0.21896089613437653
120,30,0.21569398045539856,
121,30,0.2141614854335785,
122,30,0.21709562838077545,
123,30,0.21506212651729584,
123,30,,0.21774449944496155
124,31,0.2150229811668396,
125,31,0.21567082405090332,
126,31,0.21668606996536255,
127,31,0.215185284614563,
127,31,,0.21561665832996368
128,32,0.21318413317203522,
129,32,0.21456857025623322,
130,32,0.21504449844360352,
131,32,0.215097576379776,
131,32,,0.21597233414649963
132,33,0.21211457252502441,
133,33,0.21622052788734436,
134,33,0.21355774998664856,
135,33,0.21174027025699615,
135,33,,0.21818026900291443
136,34,0.21435289084911346,
137,34,0.22105690836906433,
138,34,0.21457472443580627,
139,34,0.21151557564735413,
139,34,,0.21919304132461548
140,35,0.21522462368011475,
141,35,0.22609323263168335,
142,35,0.2222428023815155,
143,35,0.20875151455402374,
143,35,,0.21337325870990753
144,36,0.21137908101081848,
145,36,0.21187879145145416,
146,36,0.2149994671344757,
147,36,0.21448537707328796,
147,36,,0.21244600415229797
148,37,0.21056319773197174,
149,37,0.2083815038204193,
150,37,0.21505066752433777,
151,37,0.21177905797958374,
151,37,,0.2113519161939621
152,38,0.20819787681102753,
153,38,0.20996512472629547,
154,38,0.21066099405288696,
155,38,0.21153412759304047,
155,38,,0.21228764951229095
156,39,0.20805829763412476,
157,39,0.21030983328819275,
158,39,0.21089747548103333,
159,39,0.21040526032447815,
159,39,,0.2109432965517044
160,40,0.20966297388076782,
161,40,0.21487808227539062,
162,40,0.20751504600048065,
163,40,0.2056063562631607,
163,40,,0.2102639377117157
164,41,0.20958879590034485,
165,41,0.20772385597229004,
166,41,0.20611752569675446,
167,41,0.2063971757888794,
167,41,,0.20714491605758667
168,42,0.20500893890857697,
169,42,0.20497086644172668,
170,42,0.20448678731918335,
171,42,0.20942439138889313,
171,42,,0.20691074430942535
172,43,0.20726515352725983,
173,43,0.2049400359392166,
174,43,0.20365025103092194,
175,43,0.20311518013477325,
175,43,,0.21287862956523895
176,44,0.20770585536956787,
177,44,0.20622415840625763,
178,44,0.20176808536052704,
179,44,0.20003724098205566,
179,44,,0.20334210991859436
180,45,0.20398899912834167,
181,45,0.20060159265995026,
182,45,0.20650926232337952,
183,45,0.19477799534797668,
183,45,,0.20068731904029846
184,46,0.19851404428482056,
185,46,0.20698301494121552,
186,46,0.20394958555698395,
187,46,0.19441021978855133,
187,46,,0.20489758253097534
188,47,0.19850748777389526,
189,47,0.19784903526306152,
190,47,0.200363427400589,
191,47,0.20337770879268646,
191,47,,0.19765518605709076
192,48,0.1964583843946457,
193,48,0.2101634293794632,
194,48,0.21902720630168915,
195,48,0.19968876242637634,
195,48,,0.1960827112197876
196,49,0.19572177529335022,
197,49,0.2062709778547287,
198,49,0.19904719293117523,
199,49,0.19207145273685455,
199,49,,0.19787177443504333
200,50,0.1938377469778061,
201,50,0.19311274588108063,
202,50,0.1928158700466156,
203,50,0.19323307275772095,
203,50,,0.19452328979969025
204,51,0.1926502138376236,
205,51,0.19303014874458313,
206,51,0.19032904505729675,
207,51,0.18843579292297363,
207,51,,0.19367486238479614
208,52,0.1913587749004364,
209,52,0.19067606329917908,
210,52,0.1901179850101471,
211,52,0.19118976593017578,
211,52,,0.1906917244195938
212,53,0.18807803094387054,
213,53,0.1922447234392166,
214,53,0.18775613605976105,
215,53,0.18928177654743195,
215,53,,0.1894659548997879
216,54,0.1861714869737625,
217,54,0.19263602793216705,
218,54,0.18655630946159363,
219,54,0.17550110816955566,
219,54,,0.18738439679145813
220,55,0.186616450548172,
221,55,0.18841612339019775,
222,55,0.18742986023426056,
223,55,0.1989174485206604,
223,55,,0.21121257543563843
224,56,0.20914840698242188,
225,56,0.19068622589111328,
226,56,0.19865204393863678,
227,56,0.22078728675842285,
227,56,,0.20288905501365662
228,57,0.19882160425186157,
229,57,0.18629205226898193,
230,57,0.19061289727687836,
231,57,0.18362413346767426,
231,57,,0.2046625018119812
232,58,0.20154470205307007,
233,58,0.21008288860321045,
234,58,0.1916854977607727,
235,58,0.18774999678134918,
235,58,,0.18847236037254333
236,59,0.18891850113868713,
237,59,0.18427954614162445,
238,59,0.18686869740486145,
239,59,0.1843085139989853,
239,59,,0.19268620014190674
240,60,0.19354954361915588,
241,60,0.1934095025062561,
242,60,0.1851004958152771,
243,60,0.18153665959835052,
243,60,,0.20279482007026672
244,61,0.20091870427131653,
245,61,0.18951331079006195,
246,61,0.18427912890911102,
247,61,0.18847061693668365,
247,61,,0.1841423362493515
248,62,0.1830483078956604,
249,62,0.18931788206100464,
250,62,0.18847592175006866,
251,62,0.1821526437997818,
251,62,,0.19583047926425934
252,63,0.19775724411010742,
253,63,0.21370774507522583,
254,63,0.1992352455854416,
255,63,0.18286819756031036,
255,63,,0.18857985734939575
256,64,0.18428552150726318,
257,64,0.1856989562511444,
258,64,0.18449531495571136,
259,64,0.1866220235824585,
259,64,,0.1830451339483261
260,65,0.1791110783815384,
261,65,0.17949078977108002,
262,65,0.18111756443977356,
263,65,0.18450333178043365,
263,65,,0.18171560764312744
264,66,0.1815185546875,
265,66,0.176377534866333,
266,66,0.18003447353839874,
267,66,0.18624386191368103,
267,66,,0.17974220216274261
268,67,0.1805344521999359,
269,67,0.17825812101364136,
270,67,0.17678824067115784,
271,67,0.17498379945755005,
271,67,,0.17766979336738586
272,68,0.17720717191696167,
273,68,0.17643366754055023,
274,68,0.17754632234573364,
275,68,0.18327435851097107,
275,68,,0.17828796803951263
276,69,0.1765460968017578,
277,69,0.17749488353729248,
278,69,0.172495037317276,
279,69,0.18349386751651764,
279,69,,0.17667436599731445
280,70,0.1760038584470749,
281,70,0.17613564431667328,
282,70,0.17393659055233002,
283,70,0.17490577697753906,
283,70,,0.1750345230102539
284,71,0.1731378436088562,
285,71,0.17572161555290222,
286,71,0.17457713186740875,
287,71,0.171596497297287,
287,71,,0.1738971769809723
288,72,0.17085802555084229,
289,72,0.1736208200454712,
290,72,0.17658179998397827,
291,72,0.16445988416671753,
291,72,,0.17286479473114014
292,73,0.16978654265403748,
293,73,0.17694182693958282,
294,73,0.17696864902973175,
295,73,0.16566632688045502,
295,73,,0.19027602672576904
296,74,0.19654959440231323,
297,74,0.2079109251499176,
298,74,0.1866885870695114,
299,74,0.16807249188423157,
299,74,,0.17135639488697052
300,75,0.16948053240776062,
301,75,0.1684872955083847,
302,75,0.1677258163690567,
303,75,0.16225944459438324,
303,75,,0.1699720025062561
304,76,0.16779549419879913,
305,76,0.1668701469898224,
306,76,0.16714352369308472,
307,76,0.1547892540693283,
307,76,,0.1790389120578766
308,77,0.1719735562801361,
309,77,0.17127536237239838,
310,77,0.1676819771528244,
311,77,0.17295295000076294,
311,77,,0.1662272959947586
312,78,0.16543620824813843,
313,78,0.16873201727867126,
314,78,0.1625176966190338,
315,78,0.1695176512002945,
315,78,,0.17650550603866577
316,79,0.17751941084861755,
317,79,0.1644410490989685,
318,79,0.17310582101345062,
319,79,0.17068281769752502,
319,79,,0.17418843507766724
320,80,0.17010371387004852,
321,80,0.16144627332687378,
322,80,0.1642945110797882,
323,80,0.1674431562423706,
323,80,,0.16800729930400848
324,81,0.16180312633514404,
325,81,0.16257484257221222,
326,81,0.16899725794792175,
327,81,0.17331641912460327,
327,81,,0.16264919936656952
328,82,0.1605786830186844,
329,82,0.164571151137352,
330,82,0.16796323657035828,
331,82,0.14946810901165009,
331,82,,0.16154110431671143
332,83,0.16150213778018951,
333,83,0.16697561740875244,
334,83,0.16233594715595245,
335,83,0.1470893919467926,
335,83,,0.1617613285779953
336,84,0.16029764711856842,
337,84,0.16136512160301208,
338,84,0.15739542245864868,
339,84,0.15696781873703003,
